keys,da
dialogue_spud_being_called_1,"Næste skridt, din skæbne venter."
dialogue_spud_being_called_2,"Forrest i køen, sandheds øjeblik nærmer sig."
dialogue_spud_being_called_3,"Skridt fremad, den udvalgte af knoldvæsener."
dialogue_spud_being_called_4,Tillykke! Din venten lykkedes.
dialogue_spud_being_called_5,Den Store Kartoffel Bureaukrati indkalder dig.
dialogue_spud_being_called_6,"Fremad, ædle knold! Papirer venter!"
dialogue_spud_being_called_7,Bevæg dig! Stemplet bliver utålmodigt.
dialogue_spud_being_called_8,Rør dig hurtigt! Formular P-38B skal udfyldes.
dialogue_spud_being_called_9,"Kom fremad, skæbnen kræver din indgang."
dialogue_spud_being_called_10,"Næm dig frem til dommens skranke, knold."
dialogue_spud_in_office_1,Vær venligst tålmodig. Tid er en illusion.
dialogue_spud_in_office_2,Venten opbygger karakter. Og stivelse.
dialogue_spud_in_office_3,Køen bevæger sig på mystiske måder.
dialogue_spud_in_office_4,Din position er noteret af myndighederne.
dialogue_spud_in_office_5,At stå i kø: den universelle konstant.
dialogue_spud_in_office_6,"Ingen knold er klar, før den er modnet af venten."
dialogue_spud_in_office_7,"Tålmodighed: ikke den eneste dyd, men anført."
dialogue_spud_in_office_8,Bureaukratiske hjul drejer langsomt. Meget langsomt.
dialogue_spud_in_office_9,"Ah, den søde lyd af procedure!"
dialogue_spud_in_office_10,Dagens kø er morgendagens anekdote.
dialogue_spud_in_office_11,Tid i køer bøjer. Den er blevet målt.
dialogue_spud_in_office_12,Ventekompetence: Niveau 43 opnået!
dialogue_warnings_1,"De, der er imod, vil blive skrællet med præcision."
dialogue_warnings_2,Køovertræderen sendes til Expresbehandling.
dialogue_warnings_3,Køforstyrrelse udløser forelæsninger om køer.
dialogue_warnings_4,Ulydighed fører til Rum med Varmeolien.
dialogue_warnings_5,"Vi behøver ikke at være retfærdige, bare organiserede."
dialogue_warnings_6,Komiteen for Kartoffel Overholdelse ser alt.
dialogue_warnings_7,Bøvlere: knust uden smør.
dialogue_warnings_8,Kaosmagere bliver til hashbrowns. Hurtigt.
dialogue_warnings_9,Regelbrydere møder dobbeltbagt status.
dialogue_warnings_10,Køauditorerne har registreret din eksistens.
dialogue_warnings_11,Din mappe: markeret med DET røde stempel.
dialogue_misc_1,Hvor er alle?
dialogue_misc_2,Nødsituation? Fortsæt med at vente i rækkefølge.
dialogue_misc_3,Har du læst paragraf syv i venteaftalen?
dialogue_misc_4,"Bortkommet ejendom: fundet, beskattet, forlagt."
dialogue_misc_5,"Hvis en knold klager, lyder den?"
dialogue_misc_6,Lys erstattet med skilt: 'Mere Tunnel.'
dialogue_misc_7,Døden er midlertidig. Bureaukrati er evigt.
dialogue_misc_8,Arkiveringssystemet har opnået bevidsthed. Bevar roen.
dialogue_misc_9,Dagens heldige numre betyder intet. Undskyld.
dialogue_misc_10,"Apokalypse? Tag et nummer, vent på at forsvinde."
dialogue_misc_11,Ingen beviser kræver flere formularer.
dialogue_document_interaction_1,"Tag dine dokumenter, tak."
dialogue_document_interaction_2,TAG DEM!
