keys,bg
sex_male,Мъжки
sex_female,Женски
condition_fresh,Свеж
condition_extra_eyes,Допълнителни очи
condition_rotten,Изгнил
condition_sprouted,Покълнал
condition_dehydrated,Дехидратиран
condition_frozen,Замразен
race_russet,Ръсет
race_yukon_gold,Юкон Голд
race_sweet_potato,Сладък картоф
race_purple_majesty,Пърпъл Маджести
country_spudland,Спъдленд
country_potatopia,Потатопия
country_tuberstan,Туберстан
country_north_yamnea,Северна Ямния
country_spuddington,Спъдингтън
country_tatcross,Таткрос
country_mash_meadows,Меш Медоус
country_tuberville,Тубервил
country_chip_hill,Чип Хил
country_murphyland,Мърфиленд
country_colcannon,Колканън
country_pratie_point,Прати Пойнт
