keys,ar
Text/156/text,مرحبًا بك في [pulse freq=2][color=MEDIUM_VIOLET_RED]جمارك سبود![/color][/pulse]
Text/157/text,سيعلمك هذا التدريب [wave amp=15 freq=2][color=DARK_ORANGE]المهارات الأساسية[/color][/wave] اللازمة لحماية حدود سبود.
Text/158/text,لقد تم اختيارك لدور حيوي: [color=DARK_ORANGE]ضابط جمارك الحدود[/color].
Text/159/text,ستصطف البطاطس المهاجرة خارج مكتبك هنا.
Text/15a/text,لبدء معالجة البطاطس، تحتاج إلى فتح كشكك للخدمة باستخدام المفتاح هنا.
Text/15b/text,ستنادي على كل بطاطس للاقتراب من مكتبك بالنقر على مكبر الصوت.
Text/15c/text,ستدخل البطاطس الكشك واحدًا تلو الآخر وتقدم مستنداتها.
Text/15d/text,أولاً، انقل مستنداتهم إلى طاولة الفحص لفحصها بشكل أفضل.
Text/15e/text,ثم، ابحث عن [tornado radius=3 freq=2][color=YELLOW]تواريخ منتهية الصلاحية، معلومات غير صحيحة، أو علامات تزوير[/color][/tornado].
Text/15f/text,يحتوي مكتبك على أختام لوضع علامات على المستندات، يمكنك النقر هنا لسحب شريط الأختام.
Text/160/text,ثم ضع المستند تحت الختم الذي تريده...
Text/161/text,انقر على الختم لتعليم المستندات بأنها [color=CHARTREUSE]موافق عليها[/color] أو [color=CRIMSON]مرفوضة[/color]...
Text/162/text,واسحب المستند مرة أخرى إلى البطاطس لإنهاء قرارك!
Text/163/text,أحيانًا، ستحاول البطاطس [color=CRIMSON]الاندفاع عبر نقطة التفتيش الخاصة بك[/color].
Text/164/text,لديك وصلة مباشرة في كشكك، والتي تسمح لك بالتحكم في [pulse freq=3][color=CRIMSON]قاذفات الصواريخ[/color][/pulse] على طول الجدار الحدودي.
Text/165/text,"انقر على هؤلاء ""الهاربين"" لإطلاق صاروخ وإيقافهم."
Text/166/text,تذكر، كل هارب يمر سيُحسب [wave amp=20 freq=3][color=CRIMSON]ضربة ضدك[/color][/wave].
