keys,th
Character/173/name,ผู้ประกาศวิทยุ
Character/174/name,เมอร์ฟี
Character/175/name,ผู้บรรยาย
Character/176/name,มันฝรั่งเงียบ
Character/177/name,มันฝรั่งกังวล
Character/178/name,มันฝรั่งโบราณ
Character/179/name,You
Character/17a/name,นายกรัฐมนตรีไอดาโฮ
Character/17b/name,ผู้นำกลุ่มต่อต้าน
Character/17c/name,สมาชิกกลุ่มต่อต้านที่ไม่ไว้ใจ
Character/17d/name,สมาชิกกลุ่มต่อต้านผู้กล้าหาญ
Character/17e/name,หัวหน้าฝ่ายความมั่นคง
Character/17f/name,เจ้าหน้าที่รักษาความปลอดภัย
Character/180/name,สปัด แมชเชอร์สัน
Character/181/name,หัวหน้างานรัสเซ็ต
Character/181/nicknames,"รัส,รัสเซ็ต,หัวหน้างานรัสเซ็ต"
Character/182/name,ซาช่ามันเทศ
Character/183/name,ผู้เดินทางขี้ตกใจ
Character/184/name,วิกเตอร์
Character/183/nicknames,
Character/184/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
