keys,vi
patch_1_2_0_title,SPUD CUSTOMS 1.2.0 - GHI CHÚ BẢN CẬP NHẬT
patch_1_2_0_personal_note_header,LỜI TÂM SỰ CÁ NHÂN TỪ NHÀ PHÁT TRIỂN
patch_1_2_0_personal_note,"Bản cập nhật này dành tặng cho đứa con bé bỏng của tôi, đã trải qua những tháng đầu đời trong phòng NICU - từ 1lb khi sinh ra đến nay đã nặng 20lbs, tràn đầy niềm vui. Cảm ơn tất cả mọi người đã đồng hành cùng tôi trên hành trình này - hơn 2.000 người chơi đã trải nghiệm Spud Customs!"
patch_1_2_0_visual_header,CẢI TIẾN HÌNH ẢNH
patch_1_2_0_visual_1,Tích hợp đồ họa động: Đã tích hợp các ảnh GIF động mới từ StagNation vào các cảnh mở đầu
patch_1_2_0_visual_2,Đại tu đồ họa: Đã vẽ lại năm cảnh đầu tiên người chơi nhìn thấy để cải thiện chất lượng hình ảnh
patch_1_2_0_visual_3,Phông nền động: Hình ảnh phông nền giờ đây thay đổi khi độ khó tăng lên
patch_1_2_0_story_header,CỐT TRUYỆN & TƯỜNG THUẬT
patch_1_2_0_story_1,Lưu giữ lựa chọn: Các lựa chọn tường thuật giờ đây được giữ nguyên qua tất cả các cấp độ
patch_1_2_0_story_2,Tiến trình trực quan: Đã thêm các chỉ báo trực quan về tiến trình cốt truyện trong các cảnh chơi chính dựa trên số ca làm việc hiện tại
patch_1_2_0_story_3,Sửa lỗi hội thoại phân nhánh: Đã sửa các vấn đề với hội thoại phân nhánh trong các cảnh tường thuật cuối cùng
patch_1_2_0_bugfix_header,SỬA LỖI
patch_1_2_0_bugfix_1,Hệ thống thành tích: Đã sửa lỗi theo dõi thành tích - tất cả thành tích giờ đây mở khóa đúng cách
patch_1_2_0_bugfix_2,Bảng xếp hạng: Đã sửa lỗi bảng xếp hạng bị kẹt khi tải
patch_1_2_0_bugfix_3,Rung màn hình: Rung màn hình giờ đây đặt lại về vị trí ban đầu sau mỗi lần sử dụng
patch_1_2_0_bugfix_4,Điều chỉnh độ khó: Đã sửa hệ số điều chỉnh cho chế độ dễ
patch_1_2_0_bugfix_5,Hiển thị phông nền: Đã sửa lỗi thiếu phông nền trong các cảnh hội thoại
patch_1_2_0_bugfix_6,Dễ đọc văn bản: Đã cải thiện màu sắc văn bản để dễ đọc hơn
patch_1_2_0_engagement_header,TƯƠNG TÁC NGƯỜI CHƠI
patch_1_2_0_engagement_1,Yêu cầu đánh giá: Đã thêm lời nhắc đánh giá cho người chơi bản demo và bản đầy đủ
patch_1_2_0_engagement_2,Sửa lỗi dịch thuật: Nhiều cải tiến dịch thuật trên các ngôn ngữ được hỗ trợ
patch_1_2_0_technical_header,CẢI TIẾN KỸ THUẬT
patch_1_2_0_technical_1,Mở rộng hỗ trợ ngôn ngữ: Giờ đây hỗ trợ tất cả 31 ngôn ngữ được Steam hỗ trợ
patch_1_2_0_technical_2,Đại tu hệ thống dịch thuật: Đã sắp xếp lại các tệp dịch thuật để dễ bảo trì hơn
