keys,no
Text/11/text,"Spud-grensen er i [pulse freq=3][color=CRIMSON]kaos[/color][/pulse]. Panikksslagne poteter oversvømmer kontrollpunktene, desperate etter å flykte etter de lekkede dokumentene."
Text/12/text,Du smetter igjennom med Sasha. [wave amp=20 freq=3][color=CHARTREUSE]Vi må fortsette å presse på![/color][/wave] Folket kjenner nå sannheten.
Text/13/text,"De kan ikke lenger tie sannheten. Hvis vi kan infiltrere [color=DARK_VIOLET]Rotreserven[/color]-anlegget og kringkaste bevis, vil det [tornado radius=3 freq=2][color=CHARTREUSE]tenne revolusjonen[/color][/tornado]."
Text/14/text,Det stedet er en festning. Og nå har vi en [color=YELLOW]tidligere tollbetjent[/color] blant oss. Øynene deres smalner mistenksomt mot deg.
Choice/15/text,"Jeg forstår tvilen deres, men jeg er forpliktet til denne saken."
Choice/16/text,Jeg har allerede ofret alt. Jeg vil ikke trekke meg nå.
Text/17/text,Pene ord. Men de har vi hørt før.
Text/18/text,"De hjalp oss å få dokumentene. Det er handling, ikke ord."
Text/19/text,"Kan ikke gå tilbake til å være en lojal potet nå. Velkommen til motstanden, kamerat."
Text/1a/text,"Etter en spent infiltrasjon står teamet ditt i hjertet av [color=DARK_VIOLET]Rotreserven[/color], det [pulse freq=3][color=CRIMSON]forferdelige maskineriet av undertrykkelse[/color][/pulse] blottlagt."
Text/1b/text,"[wave amp=25 freq=3][color=RED]Alarmer uler[/color][/wave] mens vakter haster for å svare på inntrengningen deres. Dere løper gjennom korridorer, unngår sikkerhetssystemer."
Text/1c/text,"En skjerm blinker på. ""Vel, vel, [color=CRIMSON]forræderen[/color] returnerer med rebellavskum."""
Text/1d/text,Trodde du at du kunne stoppe Spuds fremgang? [color=DARK_VIOLET]Rotreserven[/color] er denne nasjonens livsblod.
Text/1e/text,Men fortvil ikke. Du vil fortsatt tjene Spud... [tornado radius=4 freq=3][color=DARK_VIOLET]i prosesseringskarene![/color][/tornado]
Text/1f/text,Skjermen blir plutselig svart.
Text/20/text,"Du vender deg til de andre med besluttsomhet. ""Vi må nå Idahos bunker. Nå!"""
Text/21/text,"Gruppen din kjemper seg gjennom bølger av sikkerhetsvakter, unngår så vidt å bli fanget. Sashas motstandskjempere skaper avledninger, rydder veien deres fremover."
Text/22/text,Etter en hårreisende flukt gjennom vedlikeholdstunneler når dere endelig den sikre heisen til Idahos private bunker.
Text/23/text,"Med Sasha og dine allierte ved din side, konfronterer du endelig Idaho."
Text/24/text,"Det er over, Idaho. Hemmelighetene dine er avslørt. Hvordan dette ender... [pulse freq=2]det er opp til deg.[/pulse]"
Choice/25/text,Forhandle en fredelig maktoverføring (Diplomatisk)
