keys,pl
Text/240/text,"Gdy wieczorna zmiana dobiega końca, większość funkcjonariuszy odeszła. Zostałeś tylko ty i garstka strażników."
Text/241/text,Do twojego stanowiska podchodzi krzepki strażnik. Nazywam się Viktor. Jestem na nocnej warcie.
Text/242/text,"Jego oczy są zmęczone, nawiedzone. Jesteś tym nowym, prawda? Tym, którego Russet ciągle obserwuje?"
Choice/243/text,Po prostu staram się wykonywać swoją pracę. Dlaczego Russet mnie obserwuje?
Choice/244/text,"Czy jest coś, co powinienem wiedzieć?"
Text/245/text,"Wzrusza ciężko ramionami. Russet obserwuje każdego, kto zadaje pytania. Moja [color=STEEL_BLUE]żona kiedyś zadawała pytania[/color]."
Text/246/text,"Już jej nie ma, żeby pytać."
Text/247/text,"Rozgląda się, a potem ścisza głos. Po prostu... uważaj, komu ufasz."
Text/248/text,"I kogo [color=CRIMSON]potępiasz[/color]. Niektórzy z nas pamiętają każdą twarz, którą wysłaliśmy do przetworzenia."
Text/249/text,"Podchodzi zdenerwowany ziemniak. Dokumenty wydają się być w porządku, ale zauważasz [color=CHARTREUSE]subtelną przypinkę z liściem[/color] na ich kołnierzu."
Text/24a/text,"Przesuwają swoje dokumenty. W środku jest schowana mała notatka: ""[color=CHARTREUSE]Sasha mnie przysłała. Przesyłka dla sieci. Proszę.[/color]"""
Text/24b/text,Nowy [color=DARK_ORANGE]RealityScan[/color] miga gotowy na twoim stanowisku. Jedno skanowanie i wykryje sfałszowane elementy w ich dokumentach.
Choice/24c/text,"Udawaj, że skaner się zepsuł i przepuść ich"
Choice/24d/text,Użyj skanera zgodnie z wymogami – nie możesz ryzykować dekonspiracji
Choice/24e/text,"Daj znak Viktorowi, żeby odwrócił wzrok, a potem przepuść ich"
Text/24f/text,"Stukasz w skaner, marszczysz brwi, stukasz ponownie. ""To cholerstwo znowu szwankuje. Przejdź dalej."""
Text/250/text,"Ulga zalewa ich twarz. Szepczą bezgłośnie ""[color=CHARTREUSE]Dziękuję[/color]"" i szybko przechodzą."
Text/251/text,"Łapiesz jego wzrok i kiwasz głową w stronę agenta. Patrzy na nich, a potem na ciebie."
Text/252/text,"Odwraca się celowo plecami, studiując ścianę. ""[color=STEEL_BLUE]Skaner szwankował przez cały dzień.[/color]"""
Text/253/text,"Agent prześlizguje się. Viktor nic nie mówi, ale teraz dzielicie sekret."
Text/254/text,"Uruchamiasz skan. Maszyna [color=RED]ryczy[/color]. ""Wykryto sfałszowane dokumenty."""
Text/255/text,"Na ich twarzy pojawia się przerażenie. ""[color=CRIMSON]Nie rozumiesz, co zrobiłeś...[/color]"""
Text/256/text,"On i inni strażnicy zbliżają się. Agent zostaje odciągnięty, wciąż wpatrując się w ciebie."
Text/257/text,Sasha łapie cię w cieniu. Ten agent niósł [color=CHARTREUSE]kopie manifestów[/color] do naszych kontaktów na zewnątrz.
Text/258/text,Dzięki tobie prawda rozprzestrzeni się poza granice Spud. [color=CHARTREUSE]Naprawdę coś zmieniłeś.[/color]
Text/259/text,Oczy Sashy rozszerzają się. Wiktor pomógł? Miałam co do niego przeczucie. Jego żona była...
Text/25a/text,"Przerywa. Mamy więcej sojuszników, niż myślałam."
Text/25b/text,"Sasza cię znajduje, jej wyraz twarzy jest zimny. Ten agent miał rodzinę. Trzy pędy w domu."
Text/25c/text,Rozumiem strach. Ale [color=CRIMSON]strach ma konsekwencje[/color]. Zostaną przetworzeni do rana.
Text/25d/text,"Mam nadzieję, że twoja czysta kartoteka jest tego warta."
Text/25e/text,"Murphy wślizguje się do twojej kwatery. Słyszałem, że dziś wieczorem na twojej stacji było trochę emocji."
Text/25f/text,[color=CHARTREUSE]Dobrze. Teraz jesteśmy w tym razem.[/color] Nie ma odwrotu.
Text/260/text,"Twarz Murphy'ego rzednie. Ja... Myślałem, że jesteś z nami. Co się stało?"
Text/261/text,Jutrzejsza zmiana będzie inna. Stawka nigdy nie była wyższa.
Text/262/text,"Ale po raz pierwszy czujesz, że jesteś po [color=CHARTREUSE]właściwej stronie[/color]. Nieważne, ile to kosztuje."
Text/263/text,"Twarz agenta prześladuje cię. Ich rodzina nigdy nie dowie się, dlaczego nie wrócili do domu."
Text/264/text,[color=STEEL_BLUE]Przez ciebie.[/color]
Choice/243/disabled_text,
Choice/244/disabled_text,
Choice/24c/disabled_text,
Choice/24d/disabled_text,
Choice/24e/disabled_text,
