keys,uk
Text/86/text,Сьогодні нові протоколи безпеки. Ми отримали розвідувальні дані про [color=YELLOW]підозрілу діяльність[/color].
Text/87/text,Усі мандрівники повинні пройти посилені процедури перевірки.
Text/88/text,"Звертайте увагу на [color=YELLOW]нервову поведінку, незвичайні манери або небажання дивитися в очі[/color]."
Text/89/text,"Усі підозрілі предмети повинні бути конфісковані та зареєстровані. Для безпеки Картоплянії, звісно."
Text/8a/text,"Нас особливо турбують [color=CRIMSON]заборонені матеріали[/color] – антиурядова література, фотографічне обладнання..."
Text/8b/text,"Їхній голос зловісно стихає. ""[pulse freq=2][color=DARK_VIOLET]У нас є спеціальні процедури для таких осіб.[/color][/pulse]"""
Text/8c/text,"Вантажівки [wave amp=15 freq=2][color=DARK_VIOLET]«Кореневого Резерву»[/color][/wave] розвантажують ящики з маркуванням «Преміум Резерв» у їдальню. Запах привабливий, але ваш шлунок стискається."
Text/8d/text,Ви вже куштували новий «Преміум Резерв»? Мій кузен зник минулого місяця. Не пройшов перевірку.
Text/8e/text,"Може, він частина цієї партії, га? [tornado radius=2 freq=2][color=STEEL_BLUE]Чорний гумор, розумієте?[/color][/tornado]"
Choice/8f/text,"""Це не смішно. Зовсім ні."""
Choice/90/text,"""Я не голодний. Вибачте."" (Піти)"
Text/91/text,"Ви маєте рацію. Іноді жартувати легше, ніж думати про [pulse freq=3][color=CRIMSON]те, що насправді може відбуватися[/color][/pulse]."
Text/92/text,"Офіцер дивиться, як ви йдете. ""Гей, я розумію. Я теж втратив апетит..."""
Text/93/text,"Зручний час для нових протоколів безпеки, чи не так? [wave amp=15 freq=3][color=YELLOW]Вони намагаються зупинити інформацію про «Кореневий Резерв».[/color][/wave]"
Text/94/text,"У мене є дещо, що може нам допомогти. Деякі картоплини з [color=CHARTREUSE]життєво важливою інформацією заслуговують на пропуск[/color]."
Text/95/text,Ви ретельно обмірковуєте свої варіанти. Сьогоднішні вибори можуть допомогти [color=CHARTREUSE]поширити правду[/color]... або [color=CRIMSON]заглушити її назавжди[/color].
Choice/8f/disabled_text,
Choice/90/disabled_text,
