keys,vi
Text/131/text,"Bạn ngồi thụp xuống khi trận chiến đang diễn ra dữ dội. Tôi xin lỗi, Sasha. Tôi [color=STEEL_BLUE]không dũng cảm như bạn[/color]."
Text/132/text,[color=CRIMSON]Cuộc tấn công khủng bố[/color] đã bị đẩy lùi! Những kẻ cầm đầu đang bị [color=DARK_VIOLET]xử lý[/color] ngay lúc này.
Text/133/text,"Tù trưởng Yukon lôi các thành viên kháng chiến vào trong xiềng xích, Sasha trong số đó. ""Những [color=CRIMSON]kẻ phản bội[/color] này sẽ đối mặt với [color=DARK_VIOLET]quá trình xử lý cuối cùng[/color]."""
Text/134/text,"Sasha bắt gặp ánh mắt của bạn. Mặc dù có những vết thâm tím, ánh mắt cô ấy chứa đựng [wave amp=15 freq=2][color=CHARTREUSE]không phán xét, chỉ có nỗi buồn[/color][/wave]."
Text/135/text,"Bạn đã sống sót bằng cách cúi đầu, nhưng [pulse freq=3][color=GOLD]với giá nào?[/color][/pulse] Khi sản xuất [color=DARK_VIOLET]Trữ Lượng Rễ[/color] tỏa ra từ nhà máy, dạ dày bạn quay cuồng."
Text/136/text,Có lẽ vẫn còn cơ hội từ bên trong. Hoặc có lẽ bạn chỉ đang xoa dịu lương tâm mình.
Text/137/text,Bạn [tornado radius=3 freq=2][color=CHARTREUSE]rời bỏ vị trí[/color][/tornado] và chạy về phía trận chiến. Thời gian thận trọng đã kết thúc.
Text/138/text,[pulse freq=3][color=GOLD]Chứng minh rằng bạn đứng về phía chúng tôi![/color][/pulse] Làm sao bạn biết Sasha?
Text/139/text,"[color=CHARTREUSE]Rễ cây mọc sâu![/color] Tôi đến từ trạm kiểm soát, Sasha đã tuyển mộ tôi!"
Text/13a/text,Họ đang đưa cô ấy đến nhà máy xử lý ngay bây giờ. Chúng ta phải nhanh lên!
Text/13b/text,"Cánh cửa bật tung, tiết lộ [wave amp=25 freq=3][color=CRIMSON]sự thật kinh hoàng[/color][/wave] - máy nghiền, băng chuyền đưa khoai tây đến số phận hủy diệt."
Text/13c/text,Ở cuối một băng chuyền - Sasha và những người khác [color=CRIMSON]bị trói bất lực[/color]. Giám sát viên Russet đứng tại bảng điều khiển.
Text/13d/text,[color=RED]MÀY![/color] Tao đáng lẽ phải biết mày là một trong số chúng! Lùi lại hoặc tao sẽ khởi động máy xử lý!
Text/13e/text,"Khi các chiến binh kháng chiến khống chế Russet, Sasha chuyển hướng camera của cơ sở. [color=YELLOW]Người dân Spud! Đây là Trữ Lượng Rễ! Họ đã cho chúng ta ăn lẫn nhau![/color]"
Text/13f/text,Bạn đã quay lại vì tôi. [color=CHARTREUSE]Chúng ta đã làm được. Sự thật giờ đã được phơi bày.[/color] Chúng ta có một tương lai để xây dựng!
