keys,bg
patch_1_2_0_title,SPUD CUSTOMS 1.2.0 - БЕЛЕЖКИ ПО АКТУАЛИЗАЦИЯТА
patch_1_2_0_personal_note_header,ЛИЧНА БЕЛЕЖКА ОТ РАЗРАБОТЧИКА
patch_1_2_0_personal_note,"Тази актуализация е посветена на моето малко съкровище, което прекара първите месеци от живота си в интензивно отделение за новородени – от 1 фунт при раждането до сегашните 20 фунта чиста радост. Благодаря на всички, които се присъединиха към това пътешествие – над 2000 играчи вече са изпитали Spud Customs!"
patch_1_2_0_visual_header,ВИЗУАЛНИ ПОДОБРЕНИЯ
patch_1_2_0_visual_1,Интеграция на анимирано изкуство: Включени нови анимирани GIF файлове от StagNation в началните сцени
patch_1_2_0_visual_2,"Преработка на визията: Прерисувани първите пет сцени, които играчите виждат, за подобрено визуално качество"
patch_1_2_0_visual_3,Динамични фонове: Визуалните фонове вече се променят с нарастване на трудността
patch_1_2_0_story_header,СЮЖЕТ И НАРАТИВ
patch_1_2_0_story_1,Запазване на изборите: Наративните избори вече се пренасят правилно през всички нива
patch_1_2_0_story_2,Визуално развитие: Добавени визуални индикатори за развитието на историята в основните сцени на играта въз основа на текущия номер на смяната
patch_1_2_0_story_3,Корекции на разклоняващия се диалог: Коригирани проблеми с разклоняващия се диалог във финалните наративни сцени
patch_1_2_0_bugfix_header,ОПРАВЕНИ ГРЕШКИ
patch_1_2_0_bugfix_1,Система за постижения: Коригирано проследяване на постиженията – всички постижения вече се отключват правилно
patch_1_2_0_bugfix_2,"Класация: Коригиран проблем, при който класацията засядаше при зареждане"
patch_1_2_0_bugfix_3,Разклащане на екрана: Разклащането на екрана вече се нулира правилно до изходна позиция след всяка употреба
patch_1_2_0_bugfix_4,Мащабиране на трудността: Коригиран факторът на мащабиране за лесен режим
patch_1_2_0_bugfix_5,Показване на фон: Коригирани липсващи фонове по време на диалогови сцени
patch_1_2_0_bugfix_6,Четливост на текста: Подобрено оцветяване на текста за по-добра четливост
patch_1_2_0_engagement_header,АНГАЖИРАНОСТ НА ИГРАЧИТЕ
patch_1_2_0_engagement_1,Покани за ревю: Добавени покани за ревю за играчи на демо версията и пълната игра
patch_1_2_0_engagement_2,Корекции на превода: Различни подобрения на превода във всички поддържани езици
patch_1_2_0_technical_header,ТЕХНИЧЕСКИ ПОДОБРЕНИЯ
patch_1_2_0_technical_1,"Разширена езикова поддръжка: Вече се поддържат всички 31 езика, поддържани от Steam"
patch_1_2_0_technical_2,Цялостна преработка на системата за превод: Преорганизирани файлове за превод за по-добра поддръжка
