keys,cs
alert_border_runner,POTVRZEN UPRCHLÍK NA HRANICI!\nKlikněte pro vypuštění rakety!
alert_rejected_fleeing,ODMÍTNUTÝ BRAMBOR NA ÚTĚKU!\nKlikněte pro vypuštění rakety!
alert_runner_escaped,UPRCHLÍK UNIKL!\nPřidán trestný bod!
citation_runner_escaped,Uprchlík unikl! Nepodařilo se vám ho včas zadržet.
alert_points_deducted,UPRCHLÍK UNIKL!\nPřidán trestný bod!\n-{penalty} bodů!
alert_perfect_hit,PERFEKTNÍ ZÁSAH! +{perfect} bonusových bodů za přesnost
alert_perfect_stamp,PERFEKTNÍ RAZÍTKO! +{points} bodů!
alert_combo,KOMBO x{mult}! +{streak} bonusových bodů za sérii
alert_quota_met,"Kvóta splněna, směna dokončena! \nBonus: {bonus} bodů!"
alert_strike_removed,Trestný bod odstraněn!
alert_strike_forgiven,+1 Strike Forgiven!
alert_correct_decision,"Učinil jste správné rozhodnutí, důstojníku.\n+{points} bodů!"
alert_wrong_decision,"Způsobil jste zbytečné utrpení, důstojníku...\n+1 trestný bod!"
alert_potato_should_be_approved,\nTento brambor splňuje všechny požadavky a měl být schválen.
incorrect_decision,Nesprávné rozhodnutí při zpracování dokumentu.
alert_strike_out,Překročen maximální počet trestných bodů! Vaše směna končí.
ui_score,Skóre: {score}
ui_quota,Kvóta: {current} / {target}
ui_strikes,Trestné body: {current} / {max}
ui_click_megaphone,Klikněte na megafon pro přivolání dalšího bramboru
ui_drag_document,Přetáhněte dokument na kontrolní stůl
ui_stamp_document,Vyberte razítko pro schválení nebo odmítnutí
ui_check_violations,Zkontrolujte porušení dokumentů
Strike removed!,Trestný bod odstraněn!
BORDER RUNNER DETECTED!\nClick to launch missile!,POTVRZEN UPRCHLÍK NA HRANICI!\nKlikněte pro vypuštění rakety!
REJECTED POTATO FLEEING!\nClick to launch missile!,ODMÍTNUTÝ BRAMBOR NA ÚTĚKU!\nKlikněte pro vypuštění rakety!
RUNNER ESCAPED!\nStrike added!,UPRCHLÍK UNIKL!\nPřidán trestný bod!
Click megaphone to call the next potato,Klikněte na megafon pro přivolání dalšího bramboru
Drag document to inspection table,Přetáhněte dokument na kontrolní stůl
Select a stamp to approve or reject,Vyberte razítko pro schválení nebo odmítnutí
Check for document violations,Zkontrolujte porušení dokumentů
rule_explanation_header,VYSVĚTLENÍ PRAVIDLA:
rule_explanation_fresh,Podívejte se na pole 'Stav'. Pokud říká něco jiného než 'Čerstvý' - ODMÍTNOUT
rule_explanation_sweet_potato,Podívejte se na pole 'Typ'. Pokud říká 'Sladká brambora' - ODMÍTNOUT (žádná povolení)
rule_explanation_chip_hill,Podívejte se na pole 'Země'. Pokud říká 'Chip Hill' - ODMÍTNOUT (zakázáno)
rule_explanation_age,Podívejte se na pole 'Datum narození'. Vypočítejte věk a zkontrolujte podle pravidla
rule_explanation_gender,Podívejte se na pole 'Pohlaví' a zkontrolujte podle aktuálního pravidla
rule_footer_text,Tato pravidla musí být vynucována pro VŠECHNY brambory
rule_expired_note,Dokumenty s prošlou platností musí být VŽDY odmítnuty.
rule_tutorial_hint,Potřebujete pomoc? Klikněte na jakékoli pravidlo pro vysvětlení
alert_correct_decision_detailed,SPRÁVNÉ ROZHODNUTÍ! +{points} bodů\n{reason}
alert_wrong_decision_detailed,ŠPATNÉ ROZHODNUTÍ! Přidán trestný bod!\n{reason}
alert_reason_approved,Brambora splňuje všechny požadavky - SCHVÁLENO
alert_reason_should_reject,Měli jste tuto bramboru ODMÍTNOUT
tutorial_check_type,Zkontrolujte pole 'Typ' v pasu
tutorial_check_condition,Zkontrolujte pole 'Stav' v pasu
tutorial_check_country,Zkontrolujte pole 'Země' v pasu
tutorial_check_age,Zkontrolujte 'Datum narození' pro výpočet věku
tutorial_check_gender,Zkontrolujte pole 'Pohlaví' v pasu
alert_streak_bonus_minigame,5 v řadě! BONUSOVÁ MINIHRA!
alert_perfect_stamps_bonus_minigame,Perfektní razítka! BONUSOVÁ MINIHRA!
alert_runner_bonus_minigame,Podezřelá aktivita! BONUSOVÁ MINIHRA!
alert_new_minigame_unlocked,Nová minihra odemčena: {name}!
alert_minigame_bonus,Bonus z minihry: +{bonus} bodů!
high_score_display,Nejvyšší skóre: {score}
new_high_score,NOVÉ NEJVYŠŠÍ SKÓRE!
month_1,Leden
month_2,Únor
month_3,Březen
month_4,Duben
month_5,Květen
month_6,Červen
month_7,Červenec
month_8,Srpen
month_9,Září
month_10,Říjen
month_11,Listopad
month_12,Prosinec
citation_trash_label,KOŠ
citation_header,ÚŘEDNÍ CITACE
citation_from_supervisor,Od: Nadřízený Russet
citation_dismiss_hint,[Přetáhněte do koše pro zavření]
minigame_times_up,"Čas vypršel! Bez obav, zpět k práci!"
minigame_time_format,{sekundy}.{zlomek}
qte_title,RYCHLÁ AKCE
qte_instruction,"Mačkejte klávesy, jak se objeví!"
qte_auto_completed,Automaticky dokončeno
qte_accessibility_note,(Přístupnost QTE povolena)
qte_get_ready,Připravte se...
qte_progress,Postup
qte_key_prompt,[{klávesa}]
qte_result,{successful} / {total} úspěšných (+{points} bodů)
qte_image_pending,[Obrázek se připravuje]
evidence_title,BEZPROSTŘEDNÍ BEZPEČNOSTNÍ INSPEKCE
evidence_instruction,"Uklidte si stůl! Skartujte důkazy, schovejte pracovní předměty."
evidence_suspicion,Podezření: {percent}%
evidence_items_remaining,Předměty: {count}
evidence_times_up_found,Čas vypršel! Našli důkazy...
evidence_times_up_suspicious,Čas vypršel! Inspekce byla... důkladná.
codebreaker_title,LÁMÁNÍ KÓDU
codebreaker_instruction,"Rozluštěte kód! Zelená = přesná shoda, Žlutá = správná číslice, špatné místo"
codebreaker_enter_code,ZADEJTE KÓD
codebreaker_submit,ODESLAT
codebreaker_clear,VYMAZAT
codebreaker_previous_attempts,Předchozí pokusy:
codebreaker_attempts,Pokusy: {current} / {max}
codebreaker_result_exact_close,{exact} přesných
codebreaker_result_exact,{exact} přesných
codebreaker_result_close,{close} blízkých
codebreaker_result_none,žádné shody
codebreaker_success,Kód prolomen v {attempts} pokusech! +{points} bodů!
codebreaker_failure,Došly pokusy! Kód byl zobrazen výše.
scanner_title,SKENER DOKUMENTŮ
scanner_instruction,Přetáhněte UV světlo k nalezení skrytých značek! Kliknutím potvrďte.
scanner_found,Nalezeno: {current} / {total}
scanner_perfect,Perfektní! Všechny prvky nalezeny! +{points} bodů!
scanner_partial,Dobrý pokus! Nalezeno {found}/{total}. +{points} bodů!
chase_title,HRANIČNÍ HONIČKA
chase_instruction,Klikněte na ČERVENÉ pašované předměty! Zelené předměty nechte projít.
chase_legend,ČERVENÁ = Chytit!   ZELENÁ = Nechat projít
chase_caught,Chyceno: {current} / {total}
chase_perfect,Perfektní úlovek! +{points} bodů!
chase_partial,Chyceno {count} předmětů. +{points} bodů!
sorting_title,TŘÍDĚNÍ RAZÍTEK
sorting_instruction,"Přetáhněte razítka do správného koše! Zelená = SCHVÁLENO, Červená = ZAMÍTNUTO"
sorting_approved,SCHVÁLENO
sorting_denied,ZAMÍTNUTO
sorting_progress,Roztříděno: {sorted}/{total} Správně: {correct}
sorting_perfect,Perfektní třídění! +{points} bodů!
sorting_partial,Správně roztříděno {correct}/{total}. +{points} bodů!
fingerprint_title,SHODA OTISKŮ PRSTŮ
fingerprint_instruction,"Najděte otisk prstu, který odpovídá referenci!"
fingerprint_reference,VZOR
fingerprint_find_match,NAJDI SHODU
fingerprint_progress,Spárováno: {current} / {total}
fingerprint_success,Všechny otisky prstů spárovány! +{points} bodů!
fingerprint_partial,Spárováno {matched}/{total}. +{points} bodů!
score_attack_mode_label,Režim bodového útoku
score_attack_welcome_title,REŽIM BODOVÉHO ÚTOKU!
score_attack_welcome_survive,Přežijte co nejdéle!
score_attack_welcome_difficulty,Obtížnost se časem zvyšuje!
