keys,tr
Text/11/text,"Spud sınırı [pulse freq=3][color=CRIMSON]kaos[/color][/pulse] içinde. Panik içindeki patatesler, sızan belgelerden sonra kaçmak için kontrol noktalarını dolduruyor."
Text/12/text,Sasha ile içeri süzülüyorsun. [wave amp=20 freq=3][color=CHARTREUSE]İlerlemeye devam etmeliyiz![/color][/wave] İnsanlar artık gerçeği biliyor.
Text/13/text,"Artık gerçeği susturamıyorlar. Eğer [color=DARK_VIOLET]Kök Rezervi[/color] tesisine sızıp kanıtları yayınlayabilirsek, bu [tornado radius=3 freq=2][color=CHARTREUSE]devrimi ateşleyecek[/color][/tornado]."
Text/14/text,O yer bir kale. Ve şimdi aramızda bir [color=YELLOW]eski gümrük görevlisi[/color] var. Gözleri şüpheyle sana daralıyor.
Choice/15/text,"Şüphenizi anlıyorum, ama bu davaya bağlıyım."
Choice/16/text,Zaten her şeyi feda ettim. Şimdi geri adım atmayacağım.
Text/17/text,Güzel sözler. Ama bunları daha önce de duyduk.
Text/18/text,"Belgeleri almamıza yardım ettiler. Bu eylemdir, söz değil."
Text/19/text,"Artık sadık bir patates olmaya geri dönemezsin. Direnişe hoş geldin, yoldaş."
Text/1a/text,"Gergin bir sızma sonrası, ekibin [color=DARK_VIOLET]Kök Rezervi'nin[/color] kalbinde duruyor, [pulse freq=3][color=CRIMSON]korkunç baskı makinesi[/color][/pulse] açığa çıkarılmış."
Text/1b/text,"[wave amp=25 freq=3][color=RED]Alarmlar çalıyor[/color][/wave] muhafızlar sızmanıza tepki vermek için acele ederken. Koridorlardan koşuyor, güvenlik sistemlerinden kaçınıyorsunuz."
Text/1c/text,"Bir ekran titreşiyor. ""Pekala, [color=CRIMSON]hain[/color] asi çöplerle geri dönüyor."""
Text/1d/text,Spud'un ilerleyişini durdurabileceğini mi sandın? [color=DARK_VIOLET]Kök Rezervi[/color] bu ulusun can damarıdır.
Text/1e/text,Ama endişelenme. Hala Spud'a hizmet edeceksin... [tornado radius=4 freq=3][color=DARK_VIOLET]işleme tanklarında![/color][/tornado]
Text/1f/text,Ekran aniden kararıyor.
Text/20/text,"Kararlılıkla diğerlerine dönüyorsun. ""Idaho'nun sığınağına ulaşmamız gerekiyor. Şimdi!"""
Text/21/text,"Grubunuz güvenlik dalgaları arasında savaşıyor, yakalanmaktan kıl payı kurtuluyor. Sasha'nın direnişçileri dikkat dağıtıcı oyunlar yaratıyor, ileri yolunuzu temizliyor."
Text/22/text,"Bakım tünellerinden korkunç bir kaçıştan sonra, nihayet Idaho'nun özel sığınağına giden güvenli asansöre ulaşıyorsunuz."
Text/23/text,"Sasha ve müttefiklerinle yanında, sonunda Idaho ile yüzleşiyorsun."
Text/24/text,"Bitti, Idaho. Sırların açığa çıktı. Bunun nasıl biteceği... [pulse freq=2]bu sana bağlı.[/pulse]"
Choice/25/text,Barışçıl bir güç geçişi müzakere et (Diplomatik)
Choice/26/text,Idaho'nun derhal tutuklanmasını talep et (Adalet)
Choice/27/text,Idaho'nun suçları için kendi adaletini uygula (İntikam)
Choice/28/text,Kök Rezervi altyapısını sökmeye odaklan (Sökme)
Text/29/text,"Idaho, daha fazla kan dökülmesiyle bitmek zorunda değil. Eğer işbirliği yaparsan..."
