keys,sv
Text/117/text,Kontrollpunkten har förvandlats till en militär utpost. Elitvakter i svarta uniformer patrullerar med vapen synliga.
Text/118/text,"Jag är säkerhetschef Yukon, utsänd från huvudstaden av premiärminister Idaho."
Text/119/text,"Underrättelser indikerar att [pulse freq=2][color=YELLOW]ett terroristattack är nära förestående[/color][/pulse]. ""Motståndet"" planerar att infiltrera imorgon."
Text/11a/text,Alla officerare kommer att genomgå [wave amp=15 freq=2][color=DARK_ORANGE]lojalitetskontroll[/color][/wave]. Misstänkt beteende innebär frihetsberövande och [color=DARK_VIOLET]bearbetning[/color].
Text/11b/text,[tornado radius=3 freq=2][color=RED]Fullständigt samarbete[/color][/tornado] med Säkerhetstjänsten är obligatoriskt. Mina rapporter om var och en av er har lämnats till Chefen.
Text/11c/text,Russets blick dröjer obehagligt kvar på dig innan han går vidare.
Text/11d/text,Detta är [color=DARK_ORANGE]IdentityScan 5000[/color]. Den analyserar biometri för att upptäcka infiltratörer och sympatisörer.
Text/11e/text,Alla som flaggas möter [color=CRIMSON]förstärkt förhör[/color]. Använd den utan undantag.
Text/11f/text,Har du sett Sasha? Hon rapporterade inte till upprop. I går kväll [color=CRIMSON]trängde säkerhetsstyrkor in i hennes kvarter[/color].
Text/120/text,De säger att hon var en del av [pulse freq=2][color=CHARTREUSE]motståndet[/color][/pulse].
Choice/121/text,Vi borde inte prata om det här. Det är farligt.
Choice/122/text,Jag är också orolig för henne. Det här är inte rätt.
Text/123/text,Du har rätt. Men var försiktig. De letar efter kopplingar till henne.
Text/124/text,Så ni stod varandra nära? Var försiktig. De kanske övervakar dig också.
Text/125/text,"Officeren ger dig en lapp: ""[color=YELLOW]Rensa din station från allt misstänkt.[/color]"""
Text/126/text,Du har varit vid den här kontrollpunkten ganska länge. Intressant prestationshistorik.
Text/127/text,"Du sågs ofta med Officer Sasha, som nu utreds för [wave amp=20 freq=3][color=CRIMSON]förräderi[/color][/wave]."
Text/128/text,Chefen lutar sig framåt. Finns det något du vill berätta för mig om hennes aktiviteter?
Choice/129/text,Sasha och jag var bara kollegor. Jag vet inget om henne utanför arbetet.
Choice/12a/text,Jag samlade bevis på hennes misstänkta aktiviteter för att rapportera senare.
Text/12b/text,Flera vittnen säger motsatsen. Utan konkreta bevis kan jag dock inte frihetsberöva dig. [color=YELLOW]Ännu.[/color]
Text/12c/text,"Du kommer att vara under [color=CRIMSON]noggrann observation[/color]. Ett felsteg, och du kommer att [color=DARK_VIOLET]återförenas med Sasha[/color]."
Text/12d/text,Så praktiskt. Och ändå lämnade du inga rapporter förrän nu.
Text/12e/text,Du kommer att ge en fullständig redogörelse. Om din information visar sig värdefull kanske vi bortser från din försenade rapportering.
Text/12f/text,Jag kommer att [color=CRIMSON]övervaka ditt arbete[/color] idag. Varje resenär måste identitetsskannas. [color=RED]Inga undantag[/color].
Text/130/text,Sasha har tagits. Motståndets plan är [color=CRIMSON]komprometterad[/color]. Med säkerheten i högsta beredskap verkar deras chanser hopplösa.
Choice/121/disabled_text,
Choice/12a/disabled_text,
Choice/129/disabled_text,
Choice/122/disabled_text,
