keys,uk
Character/173/name,Радіоведучий
Character/174/name,Мерфі
Character/175/name,Оповідач
Character/176/name,Тиха Картопля
Character/177/name,Стурбована Картопля
Character/178/name,Стародавня Картопля
Character/179/name,You
Character/17a/name,Прем'єр-міністр Айдахо
Character/17b/name,Лідер Опору
Character/17c/name,Недовірливий Член Опору
Character/17d/name,Зухвалий Член Опору
Character/17e/name,Начальник Служби Безпеки
Character/17f/name,Офіцер Служби Безпеки
Character/180/name,Спад Мешерсон
Character/181/name,Наглядач Рассет
Character/181/nicknames,"Расс,Рассет,Наглядач Рассет"
Character/182/name,Солодка Картопля Саша
Character/183/name,Нервовий Мандрівник
Character/184/name,Віктор
Character/183/nicknames,
Character/184/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
