keys,en,cs,da,de,es,fi,fr,hu,id,it,nl,no,pl,pt,ro,sk,sv,tr,vi
Text/b8/text,"The border facility is in complete lockdown, with armed security patrolling every corridor.","Hraniční zařízení je v úplné uzávěře, ozbrojená ochranka hlídkuje v každé chodbě.","Grænseanlægget er i fuldstændig nedlukning, med bevæbnet sikkerhed på patrulje i hver korridor.","Die Grenzanlage befindet sich in vollständiger Abriegelung, mit bewaffneten Sicherheitskräften, die jeden Korridor patrouillieren.","La instalación fronteriza está en completo cierre, con seguridad armada patrullando cada corredor.","Rajalaitoksessa on täydellinen sulku, aseistettu turvallisuushenkilöstö partioi jokaisessa käytävässä.","L'installation frontalière est en confinement total, avec des agents de sécurité armés patrouillant dans chaque couloir.","A határlétesítmény teljes zárlat alatt áll, fegyveres biztonsági őrök járőröznek minden folyosón.","Fasilitas perbatasan dalam penguncian total, dengan keamanan bersenjata berpatroli di setiap koridor.","La struttura di confine è in completo isolamento, con guardie armate che pattugliano ogni corridoio.","De grensinstallatie is volledig afgesloten, met gewapende beveiliging die elke gang patrouilleert.","Grenseanlegget er i fullstendig nedstengning, med bevæpnet sikkerhet som patruljerer hver korridor.","Obiekt graniczny jest w całkowitej blokadzie, z uzbrojoną ochroną patrolującą każdy korytarz.","A instalação de fronteira está em bloqueio total, com segurança armada patrulhando cada corredor.","Unitatea de frontieră este în izolare completă, cu personal de securitate înarmat patrulând pe fiecare coridor.","Pohraničné zariadenie je v úplnej uzávere, s ozbrojenou ochrankou hliadkujúcou v každej chodbe.","Gränsanläggningen är helt nedstängd, med beväpnad säkerhetspersonal som patrullerar varje korridor.","Sınır tesisi tamamen kapatıldı, silahlı güvenlik her koridorda devriye geziyor.","Cơ sở biên giới đang trong tình trạng phong tỏa hoàn toàn, với an ninh vũ trang tuần tra mọi hành lang."
Text/b9/text,[pulse freq=3][color=RED]ATTENTION! LEVEL RED security situation![/color][/pulse] Classified documents were stolen last night.,[pulse freq=3][color=RED]POZOR! Bezpečnostní situace ÚROVNĚ ČERVENÁ![/color][/pulse] Tajné dokumenty byly včera v noci odcizeny.,[pulse freq=3][color=RED]OBS! NIVEAU RØD sikkerhedssituation![/color][/pulse] Klassificerede dokumenter blev stjålet i nat.,[pulse freq=3][color=RED]ACHTUNG! STUFE ROT Sicherheitslage![/color][/pulse] Klassifizierte Dokumente wurden letzte Nacht gestohlen.,[pulse freq=3][color=RED]¡ATENCIÓN! ¡Situación de seguridad NIVEL ROJO![/color][/pulse] Documentos clasificados fueron robados anoche.,[pulse freq=3][color=RED]HUOMIO! TASO PUNAINEN turvallisuustilanne![/color][/pulse] Salaiset asiakirjat varastettiin viime yönä.,[pulse freq=3][color=RED]ATTENTION ! Situation de sécurité NIVEAU ROUGE ![/color][/pulse] Des documents classifiés ont été volés la nuit dernière.,[pulse freq=3][color=RED]FIGYELEM! VÖRÖS SZINTŰ biztonsági helyzet![/color][/pulse] Titkosított dokumentumokat loptak el tegnap éjjel.,[pulse freq=3][color=RED]PERHATIAN! Situasi keamanan LEVEL MERAH![/color][/pulse] Dokumen rahasia telah dicuri tadi malam.,[pulse freq=3][color=RED]ATTENZIONE! Situazione di sicurezza LIVELLO ROSSO![/color][/pulse] Documenti classificati sono stati rubati la scorsa notte.,[pulse freq=3][color=RED]ATTENTIE! NIVEAU ROOD veiligheidssituatie![/color][/pulse] Geclassificeerde documenten zijn gisteravond gestolen.,[pulse freq=3][color=RED]OBS! NIVÅ RØD sikkerhetssituasjon![/color][/pulse] Klassifiserte dokumenter ble stjålet i går kveld.,[pulse freq=3][color=RED]UWAGA! Sytuacja bezpieczeństwa POZIOM CZERWONY![/color][/pulse] Tajne dokumenty zostały skradzione zeszłej nocy.,[pulse freq=3][color=RED]ATENÇÃO! Situação de segurança NÍVEL VERMELHO![/color][/pulse] Documentos classificados foram roubados na noite passada.,[pulse freq=3][color=RED]ATENȚIE! Situație de securitate NIVEL ROȘU![/color][/pulse] Documente clasificate au fost furate aseară.,[pulse freq=3][color=RED]POZOR! Bezpečnostná situácia ÚROVNE ČERVENÁ![/color][/pulse] Tajné dokumenty boli v noci odcudzené.,[pulse freq=3][color=RED]OBSERVERA! Säkerhetssituation NIVÅ RÖD![/color][/pulse] Hemligstämplade dokument stals i natt.,[pulse freq=3][color=RED]DİKKAT! SEVİYE KIRMIZI güvenlik durumu![/color][/pulse] Gizli belgeler dün gece çalındı.,[pulse freq=3][color=RED]CHÚ Ý! Tình huống an ninh MỨC ĐỎ![/color][/pulse] Tài liệu mật đã bị đánh cắp đêm qua.
Text/ba/text,We have a [tornado radius=4 freq=3][color=CRIMSON]traitor in our midst[/color][/tornado]. Anyone withholding information will be treated as complicit.,"Máme [tornado radius=4 freq=3][color=CRIMSON]zrádce mezi námi[/color][/tornado]. S každým, kdo zatají informace, bude zacházeno jako se spoluviníkem.","Vi har en [tornado radius=4 freq=3][color=CRIMSON]forræder iblandt os[/color][/tornado]. Enhver, der tilbageholder information, vil blive behandlet som medskyldig.","Wir haben einen [tornado radius=4 freq=3][color=CRIMSON]Verräter in unserer Mitte[/color][/tornado]. Jeder, der Informationen zurückhält, wird als Mittäter behandelt.",Tenemos un [tornado radius=4 freq=3][color=CRIMSON]traidor entre nosotros[/color][/tornado]. Cualquiera que oculte información será tratado como cómplice.,"Keskuudessamme on [tornado radius=4 freq=3][color=CRIMSON]petturi[/color][/tornado]. Jokaista, joka salaa tietoa, kohdellaan osallisena.",Nous avons un [tornado radius=4 freq=3][color=CRIMSON]traître parmi nous[/color][/tornado]. Quiconque dissimule des informations sera traité comme complice.,"Van egy [tornado radius=4 freq=3][color=CRIMSON]áruló közöttünk[/color][/tornado]. Bárkit, aki visszatart információt, bűnrészesként kezelünk.",Kita memiliki [tornado radius=4 freq=3][color=CRIMSON]pengkhianat di antara kita[/color][/tornado]. Siapa pun yang menyembunyikan informasi akan diperlakukan sebagai kaki tangan.,Abbiamo un [tornado radius=4 freq=3][color=CRIMSON]traditore tra noi[/color][/tornado]. Chiunque nasconda informazioni sarà trattato come complice.,"We hebben een [tornado radius=4 freq=3][color=CRIMSON]verrader in ons midden[/color][/tornado]. Iedereen die informatie achterhoudt, wordt als medeplichtig behandeld.",Vi har en [tornado radius=4 freq=3][color=CRIMSON]forræder blant oss[/color][/tornado]. Enhver som tilbakeholder informasjon vil bli behandlet som medskyldig.,"Mamy [tornado radius=4 freq=3][color=CRIMSON]zdrajcę wśród nas[/color][/tornado]. Każdy, kto zataja informacje, będzie traktowany jako współwinny.",Temos um [tornado radius=4 freq=3][color=CRIMSON]traidor entre nós[/color][/tornado]. Qualquer pessoa que retenha informações será tratada como cúmplice.,Avem un [tornado radius=4 freq=3][color=CRIMSON]trădător printre noi[/color][/tornado]. Oricine ascunde informații va fi tratat ca și complice.,Máme [tornado radius=4,Vi har en [tornado radius=4 freq=3][color=CRIMSON]förrädare bland oss[/color][/tornado]. Alla som undanhåller information kommer att behandlas som medbrottslingar.,Aramızda bir [tornado radius=4 freq=3][color=CRIMSON]hain var[/color][/tornado]. Bilgi saklayan herkes suç ortağı olarak muamele görecek.,Chúng ta có [tornado radius=4 freq=3][color=CRIMSON]kẻ phản bội trong hàng ngũ[/color][/tornado]. Bất kỳ ai giữ lại thông tin sẽ bị coi là đồng lõa.
Text/bb/text,"All officers, line up for [wave amp=15 freq=2][color=DARK_ORANGE]security scanning[/color][/wave]. Those with elevated stress responses will be flagged.","Všichni důstojníci, nastupte na [wave amp=15 freq=2][color=DARK_ORANGE]bezpečnostní skenování[/color][/wave]. Ti se zvýšenou stresovou reakcí budou označeni.","Alle officerer, stil op til [wave amp=15 freq=2][color=DARK_ORANGE]sikkerhedsscanning[/color][/wave]. De med forhøjede stressreaktioner vil blive markeret.","Alle Offiziere, stellen Sie sich für [wave amp=15 freq=2][color=DARK_ORANGE]Sicherheitsscans[/color][/wave] auf. Diejenigen mit erhöhten Stressreaktionen werden markiert.","Todos los oficiales, formen fila para [wave amp=15 freq=2][color=DARK_ORANGE]escaneo de seguridad[/color][/wave]. Aquellos con respuestas de estrés elevadas serán marcados.","Kaikki upseerit, asettukaa jonoon [wave amp=15 freq=2][color=DARK_ORANGE]turvallisuusskannausta[/color][/wave] varten. Ne, joilla on kohonneita stressireaktioita, merkitään.","Tous les officiers, alignez-vous pour [wave amp=15 freq=2][color=DARK_ORANGE]le scan de sécurité[/color][/wave]. Ceux présentant des réponses de stress élevées seront signalés.","Minden tiszt sorakozzon fel [wave amp=15 freq=2][color=DARK_ORANGE]biztonsági szkennelésre[/color][/wave]. Akiknél emelkedett stresszreakciót észlelünk, megjelölésre kerülnek.","Semua petugas, berbaris untuk [wave amp=15 freq=2][color=DARK_ORANGE]pemindaian keamanan[/color][/wave]. Mereka dengan respons stres yang meningkat akan ditandai.","Tutti gli ufficiali, mettetevi in fila per [wave amp=15 freq=2][color=DARK_ORANGE]la scansione di sicurezza[/color][/wave]. Coloro con risposte di stress elevate saranno segnalati.","Alle officieren, stel u op voor [wave amp=15 freq=2][color=DARK_ORANGE]veiligheidsscanning[/color][/wave]. Degenen met verhoogde stressreacties worden gemarkeerd.","Alle offiserer, still opp for [wave amp=15 freq=2][color=DARK_ORANGE]sikkerhetsskanning[/color][/wave]. De med forhøyede stressresponser vil bli flagget.","Wszyscy oficerowie, ustawcie się w kolejce do [wave amp=15 freq=2][color=DARK_ORANGE]skanowania bezpieczeństwa[/color][/wave]. Osoby z podwyższonymi reakcjami stresowymi zostaną oznaczone.","Todos os oficiais, alinhem-se para [wave amp=15 freq=2][color=DARK_ORANGE]verificação de segurança[/color][/wave]. Aqueles com respostas de estresse elevadas serão sinalizados.","Toți ofițerii, aliniați-vă pentru [wave amp=15 freq=2][color=DARK_ORANGE]scanare de securitate[/color][/wave]. Cei cu răspunsuri de stres ridicate vor fi marcați.","Všetci dôstojníci, nastúpte na [wave amp=15 freq=2][color=DARK_ORANGE]bezpečnostné skenovanie[/color][/wave]. Tí so zvýšenými stresovými reakciami budú označení.","Alla officerare, ställ upp för [wave amp=15 freq=2][color=DARK_ORANGE]säkerhetsscanning[/color][/wave]. De med förhöjda stressreaktioner kommer att flaggas.","Tüm subaylar, [wave amp=15 freq=2][color=DARK_ORANGE]güvenlik taraması[/color][/wave] için sıraya girin. Yüksek stres tepkileri gösterenler işaretlenecek.","Tất cả sĩ quan, xếp hàng để [wave amp=15 freq=2][color=DARK_ORANGE]quét an ninh[/color][/wave]. Những người có phản ứng căng thẳng cao sẽ bị đánh dấu."
Text/bc/text,Have you seen what's happening outside? Pamphlets everywhere showing [color=DARK_VIOLET]Root Reserve[/color] is made from... [pulse freq=3][color=CRIMSON]from us[/color][/pulse].,"Viděli jste, co se děje venku? Všude letáky ukazující, že [color=DARK_VIOLET]Root Reserve[/color] je vyroben z... [pulse freq=3][color=CRIMSON]z nás[/color][/pulse].","Har du set, hvad der sker udenfor? Pjecer overalt viser, at [color=DARK_VIOLET]Root Reserve[/color] er lavet af... [pulse freq=3][color=CRIMSON]af os[/color][/pulse].","Haben Sie gesehen, was draußen passiert? Überall Flugblätter, die zeigen, dass [color=DARK_VIOLET]Root Reserve[/color] aus... [pulse freq=3][color=CRIMSON]aus uns hergestellt wird[/color][/pulse].",¿Has visto lo que está pasando afuera? Panfletos por todas partes mostrando que [color=DARK_VIOLET]Root Reserve[/color] está hecho de... [pulse freq=3][color=CRIMSON]de nosotros[/color][/pulse].,"Oletko nähnyt, mitä ulkona tapahtuu? Kaikkialla on lehtisiä, jotka näyttävät, että [color=DARK_VIOLET]Root Reserve[/color] on tehty... [pulse freq=3][color=CRIMSON]meistä[/color][/pulse].",Avez-vous vu ce qui se passe dehors ? Des pamphlets partout montrant que [color=DARK_VIOLET]Root Reserve[/color] est fait à partir de... [pulse freq=3][color=CRIMSON]de nous[/color][/pulse].,"Láttad, mi történik odakint? Mindenhol röplapok, amelyek azt mutatják, hogy a [color=DARK_VIOLET]Root Reserve[/color] készül... [pulse freq=3][color=CRIMSON]belőlünk[/color][/pulse].",Apakah kamu melihat apa yang terjadi di luar? Pamflet di mana-mana menunjukkan bahwa [color=DARK_VIOLET]Root Reserve[/color] terbuat dari... [pulse freq=3][color=CRIMSON]dari kita[/color][/pulse].,Hai visto cosa sta succedendo fuori? Opuscoli ovunque che mostrano che [color=DARK_VIOLET]Root Reserve[/color] è fatto di... [pulse freq=3][color=CRIMSON]di noi[/color][/pulse].,Heb je gezien wat er buiten gebeurt? Overal pamfletten die tonen dat [color=DARK_VIOLET]Root Reserve[/color] gemaakt is van... [pulse freq=3][color=CRIMSON]van ons[/color][/pulse].,Har du sett hva som skjer utenfor? Brosjyrer overalt som viser at [color=DARK_VIOLET]Root Reserve[/color] er laget av... [pulse freq=3][color=CRIMSON]av oss[/color][/pulse].,"Czy widziałeś, co się dzieje na zewnątrz? Wszędzie ulotki pokazujące, że [color=DARK_VIOLET]Root Reserve[/color] jest zrobiony z... [pulse freq=3][color=CRIMSON]z nas[/color][/pulse].",Você viu o que está acontecendo lá fora? Panfletos por toda parte mostrando que [color=DARK_VIOLET]Root Reserve[/color] é feito de... [pulse freq=3][color=CRIMSON]de nós[/color][/pulse].,Ai văzut ce se întâmplă afară? Pamflete peste tot arătând că [color=DARK_VIOLET]Root Reserve[/color] este făcut din... [pulse freq=3][color=CRIMSON]din noi[/color][/pulse].,"Videli ste, čo sa deje vonku? Všade letáky ukazujúce, že [color=DARK_VIOLET]Root Reserve[/color] je vyrobený z... [pulse freq=3][color=CRIMSON]z nás[/color][/pulse].",Har du sett vad som händer utanför? Flygblad överallt som visar att [color=DARK_VIOLET]Root Reserve[/color] är gjort av... [pulse freq=3][color=CRIMSON]av oss[/color][/pulse].,Dışarıda neler olduğunu gördün mü? Her yerde [color=DARK_VIOLET]Root Reserve[/color]'in... [pulse freq=3][color=CRIMSON]bizden yapıldığını[/color][/pulse] gösteren broşürler var.,Bạn đã thấy chuyện gì đang xảy ra bên ngoài chưa? Khắp nơi là những tờ rơi cho thấy [color=DARK_VIOLET]Root Reserve[/color] được làm từ... [pulse freq=3][color=CRIMSON]từ chúng ta[/color][/pulse].
Choice/bd/text,"""Keep your voice down. We're all being watched.""",Ztiš hlas. Všichni jsme sledováni.,Hold din stemme nede. Vi bliver alle overvåget.,Senk deine Stimme. Wir werden alle beobachtet.,Baja la voz. Todos estamos siendo vigilados.,Pidä äänesi matalana. Meitä kaikkia tarkkaillaan.,Baisse la voix. Nous sommes tous surveillés.,Halkítsd le a hangod. Mindannyiunkat figyelnek.,Pelankan suaramu. Kita semua sedang diawasi.,Abbassa la voce. Siamo tutti sotto sorveglianza.,Praat zachter. We worden allemaal in de gaten gehouden.,Senk stemmen din. Vi blir alle overvåket.,Ścisz głos. Wszyscy jesteśmy obserwowani.,Baixe a voz. Estamos todos sendo observados.,Vorbește mai încet. Suntem cu toții supravegheați.,Stíš hlas. Všetci sme sledovaní.,Sänk rösten. Vi övervakas alla.,Sesini alçalt. Hepimiz izleniyoruz.,Hãy hạ thấp giọng. Tất cả chúng ta đều đang bị theo dõi.
Choice/be/text,"""I've heard the same rumors. It's horrifying if true.""","Slyšel jsem stejné zvěsti. Je to děsivé, pokud je to pravda.","Jeg har hørt de samme rygter. Det er forfærdeligt, hvis det er sandt.","Ich habe die gleichen Gerüchte gehört. Es ist erschreckend, falls es wahr ist.",He oído los mismos rumores. Es horrible si es cierto.,"Olen kuullut samat huhut. Se on kauheaa, jos se on totta.",J'ai entendu les mêmes rumeurs. C'est horrifiant si c'est vrai.,"Én is ugyanezeket a pletykákat hallottam. Borzasztó, ha igaz.",Aku telah mendengar rumor yang sama. Mengerikan jika itu benar.,Ho sentito gli stessi rumors. È orribile se è vero.,Ik heb dezelfde geruchten gehoord. Het is verschrikkelijk als het waar is.,Jeg har hørt de samme ryktene. Det er skremmende hvis det er sant.,"Słyszałem te same plotki. To przerażające, jeśli to prawda.",Ouvi os mesmos rumores. É horrível se for verdade.,Am auzit aceleași zvonuri. Este îngrozitor dacă e adevărat.,"Počul som rovnaké zvesti. Je to desivé, ak je to pravda.",Jag har hört samma rykten. Det är hemskt om det är sant.,Ben de aynı söylentileri duydum. Doğruysa korkunç.,Tôi đã nghe những tin đồn tương tự. Thật kinh khủng nếu đó là sự thật.
Choice/bf/text,"""That's ridiculous propaganda. Don't spread such lies.""",To je směšná propaganda. Nešiř takové lži.,Det er latterlig propaganda. Spred ikke sådanne løgne.,Das ist lächerliche Propaganda. Verbreite keine solchen Lügen.,Eso es propaganda ridícula. No difundas tales mentiras.,Se on naurettavaa propagandaa. Älä levitä sellaisia valheita.,C'est une propagande ridicule. Ne répands pas de tels mensonges.,Ez nevetséges propaganda. Ne terjessz ilyen hazugságokat.,Itu propaganda konyol. Jangan sebarkan kebohongan seperti itu.,È propaganda ridicola. Non diffondere simili bugie.,Dat is belachelijke propaganda. Verspreid zulke leugens niet.,Det er latterlig propaganda. Ikke spre slike løgner.,To śmieszna propaganda. Nie rozpowszechniaj takich kłamstw.,Isso é propaganda ridícula. Não espalhe tais mentiras.,Este propagandă ridicolă. Nu răspândi astfel de minciuni.,To je smiešna propaganda. Nešír takéto klamstvá.,Det är löjlig propaganda. Sprid inte sådana lögner.,Bu saçma bir propaganda. Böyle yalanlar yayma.,Đó là tuyên truyền vô lý. Đừng lan truyền những lời dối trá như vậy.
Text/c0/text,You're right. But if it's true... what does that make us?,Máš pravdu. Ale pokud je to pravda... co to z nás dělá?,Du har ret. Men hvis det er sandt... hvad gør det os til?,Du hast Recht. Aber wenn es wahr ist... was macht das aus uns?,Tienes razón. Pero si es cierto... ¿en qué nos convierte eso?,Olet oikeassa. Mutta jos se on totta... mitä se tekee meistä?,Tu as raison. Mais si c'est vrai... qu'est-ce que cela fait de nous ?,Igazad van. De ha igaz... mivé tesz ez minket?,Kamu benar. Tapi jika itu benar... apa artinya bagi kita?,Hai ragione. Ma se fosse vero... cosa ci renderebbe?,Je hebt gelijk. Maar als het waar is... wat maakt dat van ons?,Du har rett. Men hvis det er sant... hva gjør det oss til?,Masz rację. Ale jeśli to prawda... kim to nas czyni?,Você está certo. Mas se for verdade... o que isso faz de nós?,Ai dreptate. Dar dacă e adevărat... ce ne face asta?,Máš pravdu. Ale ak je to pravda... čo to z nás robí?,Du har rätt. Men om det är sant... vad gör det oss till?,Haklısın. Ama doğruysa... bu bizi ne yapar?,Bạn nói đúng. Nhưng nếu đó là sự thật... điều đó biến chúng ta thành gì?
Text/c1/text,My cousin was rejected last month. Does that mean...? I [color=CHARTREUSE]can't do this anymore[/color].,Můj bratranec byl minulý měsíc odmítnut. Znamená to...? [color=CHARTREUSE]Už takhle nemůžu pokračovat[/color].,Min fætter blev afvist sidste måned. Betyder det...? Jeg [color=CHARTREUSE]kan ikke gøre dette længere[/color].,Mein Cousin wurde letzten Monat abgelehnt. Bedeutet das...? Ich [color=CHARTREUSE]kann das nicht mehr machen[/color].,Mi primo fue rechazado el mes pasado. ¿Significa eso...? [color=CHARTREUSE]Ya no puedo seguir con esto[/color].,Serkkuni hylättiin viime kuussa. Tarkoittaako se...? [color=CHARTREUSE]En voi tehdä tätä enää[/color].,Mon cousin a été rejeté le mois dernier. Est-ce que cela signifie...? Je [color=CHARTREUSE]ne peux plus continuer ainsi[/color].,Az unokatestvéremet elutasították a múlt hónapban. Ez azt jelenti...? [color=CHARTREUSE]Nem bírom ezt tovább csinálni[/color].,Sepupuku ditolak bulan lalu. Apakah itu berarti...? Aku [color=CHARTREUSE]tidak bisa melakukan ini lagi[/color].,Mio cugino è stato respinto il mese scorso. Significa...? [color=CHARTREUSE]Non posso continuare così[/color].,Mijn neef werd vorige maand afgewezen. Betekent dat...? Ik [color=CHARTREUSE]kan dit niet meer aan[/color].,Fetteren min ble avvist forrige måned. Betyr det...? Jeg [color=CHARTREUSE]kan ikke gjøre dette lenger[/color].,Mój kuzyn został odrzucony w zeszłym miesiącu. Czy to oznacza...? [color=CHARTREUSE]Nie mogę już tego robić[/color].,Meu primo foi rejeitado no mês passado. Isso significa...? Eu [color=CHARTREUSE]não posso mais fazer isso[/color].,Vărul meu a fost respins luna trecută. Asta înseamnă...? [color=CHARTREUSE]Nu mai pot continua așa[/color].,Môj bratranec bol minulý mesiac odmietnutý. Znamená to...? [color=CHARTREUSE]Už takto nemôžem pokračovať[/color].,Min kusin blev avvisad förra månaden. Betyder det...? Jag [color=CHARTREUSE]kan inte göra detta längre[/color].,Kuzenim geçen ay reddedildi. Bu şu anlama mı geliyor...? [color=CHARTREUSE]Artık buna devam edemem[/color].,Anh họ tôi đã bị từ chối tháng trước. Điều đó có nghĩa là...? Tôi [color=CHARTREUSE]không thể tiếp tục làm điều này nữa[/color].
