keys,no
sex_male,Mann
sex_female,Kvinne
condition_fresh,Fersk
condition_extra_eyes,Ekstra øyne
condition_rotten,Råtten
condition_sprouted,Spiret
condition_dehydrated,Dehydrert
condition_frozen,Frossen
race_russet,Russet
race_yukon_gold,Yukon Gold
race_sweet_potato,Søtpotet
race_purple_majesty,Purple Majesty
country_spudland,Potetland
country_potatopia,Potetopia
country_tuberstan,Tuberstan
country_north_yamnea,Nord-Yamnea
country_spuddington,Spuddington
country_tatcross,Tatcross
country_mash_meadows,Mosengene
country_tuberville,Tuberville
country_chip_hill,Chip Hill
country_murphyland,Murphyland
country_colcannon,Colcannon
country_pratie_point,Pratie Point
