keys,el
Text/96/text,"Σέρνεσαι στον σκοτεινό διάδρομο, η καρδιά σου χτυπά δυνατά καθώς αποφεύγεις τις περιπόλους ασφαλείας."
Text/97/text,[color=CHARTREUSE]Αυτή η συσκευή θα απενεργοποιήσει την κλειδαριά[/color] στο γραφείο του Ράσετ. Θα ενεργοποιήσω συναγερμούς στην ανατολική πτέρυγα ως αντιπερισπασμό. Θα έχεις πέντε λεπτά.
Text/98/text,"""Τα μανιφέστα θα πρέπει να είναι στο αρχείο του. [color=CRIMSON]Κόκκινος φάκελος με την ετικέτα 'RR Transport'[/color]. Μην αφήσεις στοιχεία της έρευνάς σου."""
Text/99/text,"Βρίσκεις τον χοντρό [color=CRIMSON]κόκκινο φάκελο με την ετικέτα ""RR Transport""[/color] στο αρχείο."
Text/9a/text,"Μέσα υπάρχουν μανιφέστα που αντιστοιχούν σε απορριφθείσες πατάτες, και μια οδηγία από τον Πρωθυπουργό Άινταχο που εξουσιοδοτεί ""[pulse freq=3][color=DARK_VIOLET]πλήρη αξιοποίηση των απορριφθέντων στα σύνορα για παραγωγή RR.[/color][/pulse]"""
Text/9a_viktor1/text,Σαρώνεις τα ονόματα στο μανιφέστο... και ένα ξεχωρίζει. [color=GOLD]Έλενα Πετρόφ[/color].
Text/9a_viktor2/text,Αυτό το όνομα... το έχεις ξανακούσει. Ο φύλακας Βίκτορ ανέφερε ότι η γυναίκα του αγνοείτο.
Text/9a_viktor3/text,"""[color=CRIMSON]Κατάσταση: Επεξεργάστηκε. Παρτίδα RR-2851.[/color]"" Με ημερομηνία δύο εβδομάδες πριν."
Text/9b/text,"Βήματα πλησιάζουν την πόρτα του γραφείου. ""[wave amp=15 freq=3][color=YELLOW]Περίεργο, ορκιζόμουν ότι το είχα κλειδώσει.[/color][/wave]"""
Choice/9c/text,"""Κρύψου κάτω από το γραφείο"""
Choice/9d/text,"""Πήδα από το παράθυρο"""
Text/9e/text,"Βουτάς κάτω από το γραφείο του Ράσετ καθώς μπαίνει, η καρδιά σου χτυπά δυνατά. Κάθεται, τα πόδια του εκατοστά από το πρόσωπό σου."
Text/9f/text,"""Ράσετ εδώ. Τι; [color=CHARTREUSE]Άλλος ένας συναγερμός;[/color] Έρχομαι αμέσως."" Φεύγει, και εσύ δραπετεύεις."
Text/a0/text,"Ανοίγεις βίαια το παράθυρο και πηδάς. Ευτυχώς είναι μόνο ένας όροφος. Ένας φύλακας φωνάζει: ""[color=RED]Ε! Σταμάτα![/color]"""
Text/a1/text,Τρέχεις σπριντ στο έδαφος και καταφέρνεις να χάσεις τους διώκτες σου.
Text/a2/text,Το πήρες;
Text/a3/text,"Παραδίδεις τα στοιχεία, εξηγώντας τι βρήκες."
Text/a4/text,Αυτό αποδεικνύει τα πάντα. Η αντίσταση θα φτιάξει αντίγραφα. [tornado radius=3 freq=2]Διαδώστε την αλήθεια παντού.[/tornado] Δεν μπορούν να μας φιμώσουν όλους.
Text/a5/text,"Έχεις περάσει μια γραμμή. [wave amp=20 freq=3][color=YELLOW]Δεν υπάρχει επιστροφή.[/color][/wave] Όταν η αλήθεια διαδοθεί, η Σπαντ θα μεταμορφωθεί."
Choice/9c/disabled_text,
Choice/9d/disabled_text,
