keys,id
Text/131/text,"Kamu berjongkok saat pertempuran berkecamuk. Maafkan aku, Sasha. Aku [color=STEEL_BLUE]tidak seberani kamu[/color]."
Text/132/text,[color=CRIMSON]Serangan teroris[/color] telah dipatahkan! Para pemimpin sedang [color=DARK_VIOLET]diproses[/color] saat kita berbicara.
Text/133/text,"Kepala Yukon menyeret anggota perlawanan dalam rantai, Sasha di antara mereka. ""Para [color=CRIMSON]pengkhianat[/color] ini akan menghadapi [color=DARK_VIOLET]pemrosesan akhir[/color]."""
Text/134/text,"Sasha menangkap pandanganmu. Meskipun lebam, tatapannya mengandung [wave amp=15 freq=2][color=CHARTREUSE]tidak ada penghakiman, hanya kesedihan[/color][/wave]."
Text/135/text,"Kamu bertahan hidup dengan menundukkan kepala, tapi [pulse freq=3][color=GOLD]dengan harga apa?[/color][/pulse] Saat produksi [color=DARK_VIOLET]Cadangan Akar[/color] menguar dari pabrik, perutmu mual."
Text/136/text,Mungkin masih ada kesempatan dari dalam. Atau mungkin kamu hanya menenangkan hati nuranimu.
Text/137/text,Kamu [tornado radius=3 freq=2][color=CHARTREUSE]meninggalkan pos[/color][/tornado] dan berlari menuju pertempuran. Waktu untuk berhati-hati sudah berakhir.
Text/138/text,[pulse freq=3][color=GOLD]Buktikan kamu bersama kami![/color][/pulse] Bagaimana kamu mengenal Sasha?
Text/139/text,"[color=CHARTREUSE]Akar tumbuh dalam![/color] Aku dari pos pemeriksaan, Sasha merekrutku!"
Text/13a/text,Mereka membawanya ke pabrik pemrosesan sekarang. Kita harus bergegas!
Text/13b/text,"Pintu meledak terbuka, mengungkapkan [wave amp=25 freq=3][color=CRIMSON]kebenaran mengerikan[/color][/wave] - mesin penggiling, konveyor membawa kentang menuju kehancuran mereka."
Text/13c/text,Di ujung salah satu sabuk - Sasha dan yang lain [color=CRIMSON]terikat tak berdaya[/color]. Pengawas Russet berdiri di kendali.
Text/13d/text,[color=RED]KAU![/color] Aku seharusnya tahu kamu adalah salah satu dari mereka! Mundur atau aku mulai prosesor!
Text/13e/text,"Saat pejuang resistensi mengalahkan Russet, Sasha mengarahkan ulang kamera fasilitas. [color=YELLOW]Rakyat Spud! Inilah Cadangan Akar! Mereka telah memberi makan kita satu sama lain![/color]"
Text/13f/text,Kamu kembali untukku. [color=CHARTREUSE]Kita berhasil. Kebenaran sudah terungkap sekarang.[/color] Kita punya masa depan untuk dibangun!
