keys,ru
Text/299_suppress1/text,Разражается хаос с началом атаки сопротивления. Взрывы сотрясают КПП.
Text/299_suppress2/text,Ты мог бы сбежать. Мог бы спрятаться. Вместо этого ты [color=DARK_ORANGE]выбираешь свою сторону[/color].
Text/299_suppress3/text,Рассет хватает тебя за руку. [pulse freq=2][color=YELLOW]ВОТ ТВОЙ ШАНС![/color][/pulse] Докажи свою преданность!
Text/299_suppress4/text,Сопротивление пытается прорваться через восточные ворота! [color=CRIMSON]Останови их![/color]
Text/299_suppress5/text,"Ты сжимаешь оружие. Это могли быть люди, которых ты знаешь. Люди, которым ты помогал."
Text/299_suppress6/text,Но у выживания есть цена. [color=DARK_ORANGE]Ты сделал свой выбор.[/color]
Text/299_suppress7/text,[pulse freq=3][color=CRIMSON]Сражайся за государство![/color][/pulse] Подави атаку сопротивления!
Text/299_suppress8/text,"Когда дым рассеивается, тела усеивают землю. Некоторые носят значки сопротивления."
Text/299_suppress9/text,[color=STEEL_BLUE]Ты узнаёшь лица среди павших.[/color]
Text/299_suppress10/text,Мёрфи лежит среди мёртвых. Его глаза смотрят в никуда. Фото Томми зажато в его руке.
Text/299_suppress11/text,"[color=STEEL_BLUE]Он умер, сражаясь за то, во что верил. Ты помог это убить.[/color]"
Text/300/text,"Атака сопротивления провалилась. КПП устояло, став сильнее, чем когда-либо. И ты остаёшься на своём посту."
Text/301/text,[pulse freq=2][color=GOLD]ДА ЗДРАВСТВУЕТ ПРЕМЬЕР-МИНИСТР АЙДАХО![/color][/pulse] Защитник Спада! Победитель предателей!
Text/302/text,"Огромная картофелина в пышных регалиях выходит из бронемашины, в окружении элитной гвардии."
Text/303/text,"Айдахо осматривает КПП холодными, расчётливыми глазами."
Text/304/text,"Рассет поспешно подходит, глубоко кланяясь. Премьер-министр! Мы польщены вашим присутствием!"
Text/305/text,"Предатели были [color=DARK_VIOLET]обработаны[/color], как вы приказали. Производство выросло на 40% в этом квартале!"
Text/306/text,"И это тот офицер, который остался верен во время восстания?"
Text/307/text,"Да, Премьер-министр. Непоколебимая преданность. Сообщал о подозрительной деятельности. Образцовый гражданин."
Text/308/text,"Айдахо делает шаг вперёд, прикрепляя медаль к твоей груди — [color=GOLD]Золотой Клубень[/color]."
Text/309/text,"За выдающуюся службу. Ты доказал, что [color=DARK_ORANGE]верность Спаду[/color] всегда будет вознаграждена."
Choice/30a/text,"Спасибо, Премьер-министр. Слава Спаду."
Choice/30b/text,"Я лишь выполнял свой долг, сэр. (Вымученно улыбаешься)"
Text/30c/text,"Улыбка Айдахо не достигает его глаз. Да. Ты, безусловно, это сделал."
Text/30d/text,Айдахо долго изучает тебя. Долг. [color=STEEL_BLUE]Такое простое слово для таких сложных поступков.[/color]
Text/30e/text,"Интересно, какие [color=CRIMSON]кошмары[/color] посещают тех, кто так хорошо исполняет свой ""долг""."
Text/30f/text,"В честь победы устраивается пир. Столы ломятся от еды, включая щедрые порции [color=DARK_VIOLET]""Корневого Запаса""[/color]."
Text/310/text,"Рассет поднимает бокал с густой, пурпурной жидкостью. Тост! За [color=CRIMSON]предателей, которые нас питают[/color]!"
Text/311/text,Комната смеется. Некоторые нервно. Большинство искренне.
Text/312/text,"Он подсовывает вам тарелку. Попробуйте новую партию. [color=DARK_VIOLET]""Смесь Сопротивления.""[/color] Вклад Саши в будущее Спуда."
Text/313/text,Ваш желудок сжимается. Еда на тарелке. [color=CRIMSON]Саша.[/color] Кузина Мерфи. Жена с фотографии.
Text/314/text,[tornado radius=3 freq=2][color=CRIMSON]Все они.[/color][/tornado]
Choice/315/text,Заставить себя есть - сохранить свое прикрытие
Choice/316/text,Оттолкнуть тарелку - вы не можете этого сделать
Text/317/text,Вы подносите вилку к губам. Закрываете глаза. [color=STEEL_BLUE]Жуйте. Глотайте. Не думайте.[/color]
Text/318/text,"Рассет одобрительно кивает. ""Хорошо. [color=DARK_ORANGE]Вы далеко пойдете.[/color]"""
Text/319/text,"Вы отталкиваете тарелку. ""Я неважно себя чувствую. Волнение дня..."""
Text/31a/text,"Глаза Рассета на мгновение сужаются, затем смягчаются. Конечно. Такая [color=YELLOW]чувствительная натура[/color]."
Text/31b/text,Отдыхайте. Завтра нам предстоит [color=CRIMSON]больше обработки[/color] контролировать.
Text/31c/text,Вы возвращаетесь в свои покои. Медаль тяжело давит на вашу грудь.
Text/31d/text,"Вы достаете фотографию пропавшей жены. Ее жена, вероятно, теперь в той же партии, что и она."
Text/31e/text,"Вы обещали найти ее. [color=STEEL_BLUE]Вы нашли ее.[/color] Только не так, как вы оба надеялись."
Text/31f/text,"Мерфи. Ваш друг. Тот, кто вам доверял. Он был в сопротивлении."
Text/320/text,[color=CRIMSON]Был.[/color]
Text/321/text,Вы смотрите на свое отражение в окне. Медаль блестит. [color=DARK_ORANGE]Золотой Клубень[/color]. Герой Спуда.
Text/322/text,[color=STEEL_BLUE]Монстр в картофельной кожуре.[/color]
Text/323/text,Той ночью вам снится Саша. Она не обвиняет. Не ярится. Это было бы легче.
Text/324/text,"Она просто смотрит на вас этими глазами. [color=CHARTREUSE]Корни уходят глубоко[/color], шепчет она."
Text/325/text,Даже [color=STEEL_BLUE]гнилые[/color].
Text/326/text,Проходят месяцы. Вас повышают. Региональный инспектор пограничной безопасности. Правая рука Рассета.
Text/327/text,"Вы оформили больше отказов, чем кто-либо в истории Спуда. Производство [color=DARK_VIOLET]Корневого Резерва[/color] стремительно растет."
Text/328/text,Ваш кабинет удобен. Ваши пайки щедры. Ваша семья защищена.
Text/329/text,"У вас есть всё, что вам обещали."
Text/32a/text,"Всё, кроме [color=STEEL_BLUE]сна[/color]. Кроме [color=STEEL_BLUE]покоя[/color]. Кроме способности смотреть в зеркало."
Text/32b/text,"Однажды вы замечаете это. [color=GOLD]Желтая эмблема картофеля[/color], выцарапанная на стене. Потом еще одна. Потом десятки."
Text/32c/text,Формируется новое сопротивление. Тише. Осторожнее. Учась на ошибках Саши.
Choice/32d/text,Немедленно сообщить о символах в службу безопасности
Choice/32e/text,"Сделать вид, что вы их не видели"
Choice/32f/text,Оставить свой собственный след — один желтый лист
Text/330/text,Вы подаете рапорт. Еще одна партия подозреваемых задержана. Еще одно повышение.
Text/331/text,Цикл продолжается. [color=CRIMSON]Вы стали машиной.[/color]
Text/332/text,Вы проходите мимо. Ничего не говорите. Это немного. [color=STEEL_BLUE]Это почти ничего.[/color]
Text/333/text,"Но это первый раз, когда вы решили не действовать против них."
Text/334/text,"Может быть, это что-то значит. Может быть, [color=YELLOW]слишком мало, слишком поздно[/color]."
Text/335/text,"Когда никто не смотрит, вы выцарапываете маленький [color=GOLD]желтый лист[/color] рядом с эмблемами."
Text/336/text,Единичный акт неповиновения. Спустя годы. Но [color=CHARTREUSE]что-то[/color].
Text/337/text,"Голос Саши эхом отдается в вашей памяти: ""[color=CHARTREUSE]Корни растут глубоко.[/color]"""
Text/338/text,"Может быть, достаточно глубоко, чтобы [color=CHARTREUSE]достичь даже вас[/color]. Когда-нибудь."
Text/339/text,Нация Спуда выстоит. [color=DARK_VIOLET]Корневой Резерв[/color] течет. Цикл потребления продолжается.
Text/33a/text,"Но где-то, в трещинах стены, [color=CHARTREUSE]растет что-то новое[/color]."
Text/33b/text,Будете ли вы частью этого... [color=YELLOW]эта история еще не написана[/color].
Choice/30a/disabled_text,
Choice/30b/disabled_text,
Choice/315/disabled_text,
Choice/316/disabled_text,
Choice/32d/disabled_text,
Choice/32e/disabled_text,
Choice/32f/disabled_text,
