keys,en
Character/173/name,Radio Announcer
Character/174/name,Murphy
Character/175/name,Narrator
Character/176/name,Quiet Potato
Character/177/name,Concerned Potato
Character/178/name,Ancient Potato
Character/179/name,You
Character/17a/name,Prime Minister Idaho
Character/17b/name,Resistance Leader
Character/17c/name,Distrusting Resistance Member
Character/17d/name,Brazen Resistance Member
Character/17e/name,Security Chief
Character/17f/name,Security Officer
Character/180/name,Spud Masherson
Character/181/name,Supervisor Russet
Character/181/nicknames,"Russ,Russet,Supervisor Russet"
Character/182/name,Sweet Potato Sasha
Character/183/name,Jumpy Traveler
Character/184/name,Viktor
Character/183/nicknames,
Character/184/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
