keys,de
Text/11/text,"Die Spud-Grenze ist im [pulse freq=3][color=CRIMSON]Chaos[/color][/pulse]. Panische Kartoffeln überfluten die Kontrollpunkte, verzweifelt darauf aus, nach den durchgesickerten Dokumenten zu fliehen."
Text/12/text,Du schlüpfst mit Sasha hindurch. [wave amp=20 freq=3][color=CHARTREUSE]Wir müssen weitermachen![/color][/wave] Die Menschen kennen jetzt die Wahrheit.
Text/13/text,"Sie können die Wahrheit nicht länger zum Schweigen bringen. Wenn wir in die [color=DARK_VIOLET]Wurzelreserve[/color]-Anlage eindringen und Beweise übertragen können, wird es [tornado radius=3 freq=2][color=CHARTREUSE]die Revolution entfachen[/color][/tornado]."
Text/14/text,Dieser Ort ist eine Festung. Und jetzt haben wir einen [color=YELLOW]ehemaligen Zollbeamten[/color] in unserer Mitte. Ihre Augen verengen sich misstrauisch auf dich.
Choice/15/text,"Ich verstehe eure Zweifel, aber ich bin dieser Sache verpflichtet."
Choice/16/text,Ich habe bereits alles geopfert. Ich werde jetzt nicht zurückweichen.
Text/17/text,Schöne Worte. Aber die haben wir schon früher gehört.
Text/18/text,"Sie haben uns geholfen, die Dokumente zu bekommen. Das sind Taten, keine Worte."
Text/19/text,"Kannst jetzt nicht mehr zurück zu einer loyalen Kartoffel werden. Willkommen im Widerstand, Kamerad."
Text/1a/text,"Nach einer angespannten Infiltration steht dein Team im Herzen der [color=DARK_VIOLET]Wurzelreserve[/color], die [pulse freq=3][color=CRIMSON]schreckliche Maschinerie der Unterdrückung[/color][/pulse] liegt offen."
Text/1b/text,"[wave amp=25 freq=3][color=RED]Alarme schrillen[/color][/wave] während Wachen herbeieilen, um auf euren Einbruch zu reagieren. Ihr rast durch Korridore, weicht Sicherheitssystemen aus."
Text/1c/text,"Ein Bildschirm flackert an. ""Nun, nun, der [color=CRIMSON]Verräter[/color] kehrt mit rebellischem Abschaum zurück."""
Text/1d/text,"Dachtest du, du könntest den Fortschritt von Spud aufhalten? Die [color=DARK_VIOLET]Wurzelreserve[/color] ist das Lebenselixier dieser Nation."
Text/1e/text,Aber keine Sorge. Du wirst Spud weiterhin dienen... [tornado radius=4 freq=3][color=DARK_VIOLET]in den Verarbeitungsbottichen![/color][/tornado]
Text/1f/text,Der Bildschirm wird plötzlich schwarz.
Text/20/text,"Du wendest dich entschlossen zu den anderen. ""Wir müssen Idahos Bunker erreichen. Jetzt!"""
Text/21/text,"Eure Gruppe kämpft sich durch Wellen von Sicherheitskräften, entgeht knapp der Gefangennahme. Sashas Widerstandskämpfer schaffen Ablenkungen, räumen euren Weg frei."
Text/22/text,Nach einer haarsträubenden Flucht durch Wartungstunnel erreicht ihr endlich den sicheren Aufzug zu Idahos privatem Bunker.
Text/23/text,Mit Sasha und deinen Verbündeten an deiner Seite konfrontierst du Idaho endlich.
Text/24/text,"Es ist vorbei, Idaho. Deine Geheimnisse sind aufgedeckt. Wie das endet... [pulse freq=2]das liegt bei dir.[/pulse]"
Choice/25/text,Einen friedlichen Machtwechsel aushandeln (Diplomatisch)
Choice/26/text,Idahos sofortige Verhaftung fordern (Gerechtigkeit)
Choice/27/text,Selbstjustiz für Idahos Verbrechen ausüben (Rache)
Choice/28/text,Sich auf den Abbau der Wurzelreserve-Infrastruktur konzentrieren (Demontage)
Text/29/text,"Idaho, es muss nicht mit weiterem Blutvergießen enden. Wenn du kooperierst..."
Text/2a/text,"Oh, du [color=STEEL_BLUE]idealistischer Narr[/color]. Du denkst, das ist eine Verhandlung?"
Text/2b/text,"Idaho zerschmettert einen Knopf, und [color=RED]Alarme beginnen zu schrillen[/color]. ""Das Einzige, was ich euch geben werde, ist ein [color=DARK_VIOLET]Einwegticket zu den Frittierungsbottichen![/color]"""
