keys,es
Text/102/text,"Bien, lo lograste. La resistencia está [color=CHARTREUSE]haciéndose más fuerte[/color]. Gracias a esos manifiestos, la gente está viendo la verdad."
Text/103/text,"Logré obtener este expediente de nuestras fuentes - programas de producción, listas de '[color=CRIMSON]ingredientes[/color]', nombres de los [color=DARK_SLATE_BLUE]desaparecidos[/color]."
Text/104/text,Esto no es solo un programa de suplementos alimenticios. Están [color=CRIMSON]procesando patatas[/color]...y no de una buena manera.
Text/105/text,"Memorandos internos del propio Primer Ministro Idaho, autorizando la ""[color=DARK_ORANGE]utilización de activos rechazados.[/color]"""
Text/106/text,"Cuotas para cada punto de control, con Aduanas de Patatas teniendo la mayor proporción de rechazo a procesamiento."
Text/107/text,La situación afuera se ha deteriorado. Multitudes enojadas se reúnen en los puntos de control exigiendo respuestas sobre Root Reserve.
Text/108/text,[color=YELLOW]TRANSMISIÓN DE EMERGENCIA[/color]: La reciente circulación de [color=CRIMSON]documentos falsificados[/color] ha causado pánico innecesario.
Text/109/text,Se ofrece una recompensa de [color=GOLD]10.000 Créditos de Patata[/color] por información que conduzca a la captura de estos saboteadores.
Text/10a/text,Consumir o distribuir esta propaganda ahora se clasifica como [color=RED]alta traición[/color].
Text/10b/text,El turno de hoy operará bajo protocolos especiales. Cada viajero debe someterse a una Evaluación de Lealtad.
Text/10c/text,Aquellos que demuestren [color=CRIMSON]sentimientos antigubernamentales[/color] deben ser marcados inmediatamente.
Text/10d/text,El [color=CRIMSON]traidor entre nosotros[/color] será encontrado. Y cuando lo sea... [pasa el dedo por la garganta]
Text/10e/text,"Una patata nerviosa se acerca, [color=GOLD]insignia de hoja amarilla[/color] parcialmente visible. Una pequeña nota está metida entre los papeles: ""[color=CHARTREUSE]Casa segura comprometida. Nueva ubicación: Almacén 7, Sector 4.[/color]"""
Choice/10f/text,Procésalos rápidamente con la marca UV (Ayuda)
Choice/110/text,Repórtalos a seguridad inmediatamente (Traición)
Text/111/text,"El alivio inunda su rostro. ""Gracias. La verdad prevalecerá."""
Text/112/text,"El horror amanece cuando señalas a seguridad. ""[wave amp=25 freq=3]¡No, por favor! ¡Tengo familia![/wave]"" Su insignia amarilla cae al suelo."
Text/113/text,Bien hecho. Tu lealtad ha sido notada.
Text/114/text,Tu decisión fue notada. Prepárate. [tornado radius=3 freq=2][color=CHARTREUSE]Algo grande se aproxima[/color][/tornado]. La resistencia está planeando una acción directa.
Text/115/text,"Cuando suceda, tendrás que [color=YELLOW]elegir un bando[/color]. No quedará ningún término medio."
Text/116/text,"Con cada patata que procesas, estás [pulse freq=2][color=CHARTREUSE]ayudando a una revolución[/color][/pulse] o [pulse freq=2][color=CRIMSON]permitiendo un sistema horrible[/color][/pulse]."
Choice/10f/disabled_text,
Choice/110/disabled_text,
