keys,zh-TW
alert_border_runner,偵測到邊境逃犯！\n點擊發射飛彈！
alert_rejected_fleeing,被拒絕的馬鈴薯正在逃跑！\n點擊發射飛彈！
alert_runner_escaped,逃犯已逃脫！\n增加一次失誤！
citation_runner_escaped,邊境逃犯逃跑了！您未能及時攔截。
alert_points_deducted,逃犯已逃脫！\n增加一次失誤！\n-{penalty} 分！
alert_perfect_hit,完美命中！ +{perfect} 準確度獎勵分數
alert_perfect_stamp,完美蓋章！ +{points} 分！
alert_combo,連擊 x{mult}！ +{streak} 連擊獎勵分數
alert_quota_met,配額達成，班次完成！ \n獎勵：{bonus} 分！
alert_strike_removed,失誤已移除！
alert_correct_decision,警官，您做出了正確的選擇。\n+{points} 分！
alert_wrong_decision,警官，您造成了不必要的痛苦……\n+1 次失誤！
alert_potato_should_be_approved,\n這顆馬鈴薯符合所有要求，本應被批准。
incorrect_decision,文件處理決定錯誤。
alert_strike_out,已超出最大失誤次數！您的班次結束了。
ui_score,分數：{score}
ui_quota,配額：{current} / {target}
ui_strikes,失誤：{current} / {max}
ui_click_megaphone,點擊擴音器以呼叫下一位馬鈴薯
ui_drag_document,將文件拖曳至檢查桌
ui_stamp_document,選擇印章以批准或拒絕
ui_check_violations,檢查文件違規事項
Strike removed!,失誤已移除！
BORDER RUNNER DETECTED!\nClick to launch missile!,偵測到邊境逃犯！\n點擊發射飛彈！
REJECTED POTATO FLEEING!\nClick to launch missile!,被拒絕的馬鈴薯正在逃跑！\n點擊發射飛彈！
RUNNER ESCAPED!\nStrike added!,逃犯已逃脫！\n增加一次失誤！
Click megaphone to call the next potato,點擊擴音器以呼叫下一位馬鈴薯
Drag document to inspection table,拖曳文件至檢查桌
Select a stamp to approve or reject,選擇圖章以批准或拒絕
Check for document violations,檢查文件違規事項
rule_explanation_header,規則說明：
rule_explanation_fresh,查看「狀況」欄位。如果顯示「新鮮」以外的任何內容，請拒絕。
rule_explanation_sweet_potato,查看「類型」欄位。如果顯示「地瓜」，請拒絕（無許可證）。
rule_explanation_chip_hill,查看「國家」欄位。如果顯示「薯片山」，請拒絕（禁止入境）。
rule_explanation_age,查看「出生」欄位。計算年齡並核對規則。
rule_explanation_gender,查看「性別」欄位並核對目前規則。
rule_footer_text,這些規則必須對所有馬鈴薯強制執行。
rule_expired_note,過期文件必須始終拒絕。
rule_tutorial_hint,需要協助？點擊任何規則以查看說明。
alert_correct_decision_detailed,正確決定！+{points} 點數\n{reason}
alert_wrong_decision_detailed,錯誤決定！增加一次失誤！\n{reason}
alert_reason_approved,馬鈴薯符合所有要求 - 批准
alert_reason_should_reject,您應該拒絕這顆馬鈴薯
tutorial_check_type,檢查護照中的「類型」欄位
tutorial_check_condition,檢查護照中的「狀況」欄位
tutorial_check_country,檢查護照中的「國家」欄位
tutorial_check_age,檢查「出生」欄位以計算年齡
tutorial_check_gender,檢查護照中的「性別」欄位
alert_streak_bonus_minigame,連續5次！獎勵小遊戲！
alert_perfect_stamps_bonus_minigame,完美蓋章！獎勵小遊戲！
alert_runner_bonus_minigame,可疑活動！獎勵小遊戲！
alert_new_minigame_unlocked,新小遊戲解鎖：{name}！
alert_minigame_bonus,小遊戲獎勵：+{bonus} 點數！
high_score_display,最高分數：{score}
new_high_score,新最高分數！
month_1,一月
citation_trash_label,廢紙簍
citation_header,官方警告
citation_from_supervisor,來自：監督員拉塞特
citation_dismiss_hint,[拖到廢紙簍關閉]
minigame_times_up,時間到！別擔心，回去工作吧！
minigame_time_format,{秒}.{毫秒}
qte_title,快速反應事件
qte_instruction,依序按下出現的按鍵！
qte_auto_completed,自動完成
qte_accessibility_note,(快速反應事件輔助功能已啟用)
qte_get_ready,準備好...
qte_progress,進度
qte_key_prompt,[{key}]
qte_result,{successful} / {total} 成功 (+{points} 點)
qte_image_pending,[圖片待定]
evidence_title,安全檢查迫在眉睫
evidence_instruction,清理你的桌面！銷毀證據，藏好工作物品。
evidence_suspicion,嫌疑：{percent}%
evidence_items_remaining,物品：{count}
evidence_times_up_found,時間到！他們找到了證據...
evidence_times_up_suspicious,時間到！這次檢查...非常徹底。
codebreaker_title,密碼破解
codebreaker_instruction,破解密碼！綠色 = 完全符合，黃色 = 數字正確但位置錯誤
codebreaker_enter_code,輸入密碼
codebreaker_submit,提交
codebreaker_clear,清除
codebreaker_previous_attempts,先前嘗試：
codebreaker_attempts,嘗試次數：{current} / {max}
codebreaker_result_exact_close,{exact} 個完全符合
codebreaker_result_exact,{exact} 精確
codebreaker_result_close,{close} 接近
codebreaker_result_none,無符合項目
codebreaker_success,密碼已於 {attempts} 次嘗試中破解！+{points} 點數！
codebreaker_failure,嘗試次數已用盡！密碼已顯示於上方。
scanner_title,文件掃描器
scanner_instruction,拖曳紫外線燈以尋找隱藏標記！點擊以確認。
scanner_found,已找到：{current} / {total}
scanner_perfect,完美！所有元素均已找到！+{points} 點數！
scanner_partial,表現不錯！找到 {found}/{total} 個。+{points} 點數！
chase_title,邊境追捕
chase_instruction,點擊紅色違禁品！讓綠色物品通過。
chase_legend,紅色 = 攔截！ 綠色 = 放行
chase_caught,已攔截：{current} / {total}
chase_perfect,完美攔截！+{points} 點數！
chase_partial,攔截了 {count} 個物品。+{points} 點數！
sorting_title,印章分類
sorting_instruction,將印章拖曳至正確的箱子！綠色 = 批准，紅色 = 拒絕
sorting_approved,批准
sorting_denied,拒絕
sorting_progress,已分類：{sorted}/{total} 正確：{correct}
sorting_perfect,完美分類！+{points} 點數！
sorting_partial,正確分類了 {correct}/{total} 個。+{points} 點數！
fingerprint_title,指紋比對
fingerprint_instruction,找到與參考指紋相符的指紋！
fingerprint_reference,參考
fingerprint_find_match,找出匹配
fingerprint_progress,已匹配: {current} / {total}
fingerprint_success,所有指紋均已匹配！ +{points} 分！
fingerprint_partial,已匹配 {matched}/{total}。 +{points} 分！
