keys,el
Text/a6/text,Η συνοριακή εγκατάσταση είναι διαφορετική σήμερα. Τεταμένη. Περισσότερες περιπολίες ασφαλείας καθώς μια επιφυλακτική σιωπή αντικαθιστά τη φλυαρία.
Text/a7/text,"Χθες βράδυ, ανακαλύφθηκαν [pulse freq=2][color=CRIMSON]απαγορευμένα υλικά[/color][/pulse]. Φυλλάδια που περιείχαν ψέματα για το [color=DARK_VIOLET]Απόθεμα Ρίζας[/color]."
Text/a8/text,Εφαρμόζουμε [wave amp=15 freq=2][color=DARK_ORANGE]πρωτόκολλα πορτοκαλί επιπέδου απειλής[/color][/wave]. Όλοι οι αξιωματικοί υπόκεινται σε ελέγχους πίστης. Όλοι οι ταξιδιώτες αντιμετωπίζουν μέγιστο έλεγχο.
Text/a9/text,Λειτουργεί. Τα φυλλάδια διαδίδονται. Ο κόσμος ρωτάει για το [color=DARK_VIOLET]Απόθεμα Ρίζας[/color].
Text/aa/text,Έχω πηγές που μου λένε ότι υπάρχει ένα αρχείο αποστολών στο γραφείο του Russet - διασαφηνίσεις μεταφοράς που θα μπορούσαν να [tornado radius=3 freq=2][color=CHARTREUSE]αποδείξουν τα πάντα[/color][/tornado].
Text/ab/text,"Χρειάζομαι τη βοήθειά σου για να το πάρω. Απόψε, μετά την τελευταία βάρδια. Μπορώ να βασιστώ σε σένα;"
Choice/ac/text,"""Είμαι μέσα. Ας αποκαλύψουμε την αλήθεια."""
Choice/ad/text,"""Δεν ξέρω, Σάσα... αυτό θα μπορούσε να είναι επικίνδυνο."""
Text/ae/text,Δόξα τω Θεώ. Ήξερα ότι είχες [color=CHARTREUSE]πιο δυνατές ρίζες από τους άλλους[/color]. Θα συναντηθούμε τα μεσάνυχτα.
Text/af/text,Μερικές φορές πρέπει να [color=CHARTREUSE]ρισκάρουμε να γίνουμε πουρές για να κάνουμε το σωστό[/color]. Σκέψου το.
Text/b0/text,[color=DARK_ORANGE]Έλεγχος πίστης[/color]. Παρακαλώ πείτε το όνομά σας και τον αριθμό ταυτότητας αξιωματικού. Έπειτα πείτε μου γιατί υπηρετείτε την Spud.
Choice/b1/text,"""Υπηρετώ για να προστατεύσω τα σύνορά μας από επικίνδυνες επιρροές."""
Choice/b2/text,"""Υπηρετώ για να διασφαλίσω ότι όλοι λαμβάνουν δίκαιη μεταχείριση."""
Text/b3/text,"Καλή απάντηση. Η Spud χρειάζεται πιστούς προστάτες. Ο σαρωτής δείχνει πράσινο. Συνεχίστε, αξιωματικέ."
Text/b4/text,"Τα φρύδια του αξιωματικού ανασηκώνονται. Δίκαιη μεταχείριση; Ο σαρωτής αναβοσβήνει [color=DARK_ORANGE]κεχριμπαρί[/color]. Θυμηθείτε, η πρωταρχική μας ανησυχία είναι η ασφάλεια, όχι η δικαιοσύνη."
Text/b5/text,Η σημερινή ποσόστωση έχει αυξηθεί. Οποιοσδήποτε με ύποπτα υλικά πρέπει να επισημανθεί για [color=DARK_VIOLET]ειδική επεξεργασία[/color].
Text/b6/text,Θα [color=DARK_ORANGE]παρακολουθώ τις αποφάσεις σας[/color] πολύ προσεκτικά σήμερα.
Text/b7/text,"Απόψε θα μπορούσαν να αλλάξουν τα πάντα. Αλλά πρώτα, [color=YELLOW]επιβίωσε τη μέρα χωρίς να κινήσεις υποψίες[/color]."
Text/b4_viktor1/text,Ένας ογκώδης φύλακας ασφαλείας σε πιάνει από το μπράτσο καθώς περνάς. Το πρόσωπό του είναι σημαδεμένο από ανησυχία.
Text/b4_viktor2/text,"Γεια... συγγνώμη που σε ενοχλώ. Είσαι ένας από τους τελωνειακούς υπαλλήλους, σωστά; Το όνομά μου είναι [color=CHARTREUSE]Βίκτορ[/color]."
Text/b4_viktor3/text,"Ρωτάω τους πάντες για τη γυναίκα μου, την [color=GOLD]Έλενα[/color]. Έλενα Πετρόφ. Πέρασε από αυτό το σημείο ελέγχου πριν από τρεις εβδομάδες."
Text/b4_viktor4/text,"[color=STEEL_BLUE]Αποτυχία ελέγχου.[/color] Είπαν ότι θα την επεξεργάζονταν και θα την επέστρεφαν σπίτι, αλλά... Δεν έχω ακούσει τίποτα."
Text/b4_viktor5/text,Η φωνή του τρεμοπαίζει. Κανείς δεν μου λέει τίποτα. Ξέρεις πού πηγαίνουν οι απορριφθέντες ταξιδιώτες;
Choice/b4_viktor6/text,"""Λυπάμαι, Βίκτορ. Δεν ξέρω. Αλλά θα προσέχω."""
Choice/b4_viktor7/text,"""Δεν μπορώ να συζητήσω λεπτομέρειες επεξεργασίας. Πρωτόκολλα ασφαλείας."""
Text/b4_viktor8/text,Τα μάτια του Βίκτορ δείχνουν μια αναλαμπή ελπίδας. [color=CHARTREUSE]Ευχαριστώ.[/color] Οτιδήποτε μάθετε... παρακαλώ. Είναι το μόνο που έχω.
Text/b4_viktor9/text,"Ο Βίκτορ γνέφει, απογοητευμένος. [color=STEEL_BLUE]Σωστά. Πρωτόκολλα.[/color] Καταλαβαίνω."
Text/b4_viktor10/text,Αλλά αν αλλάξετε γνώμη... [color=YELLOW]Πρέπει να μάθω τι της συνέβη.[/color]
Choice/ac/disabled_text,
Choice/b2/disabled_text,
Choice/b1/disabled_text,
Choice/ad/disabled_text,
Choice/b4_viktor6/disabled_text,
Choice/b4_viktor7/disabled_text,
