keys,tr
main_menu_feedback,Geri bildirim ve hatalar
main_menu_version,Sürüm 1.2.0
main_menu_new_game,Yeni oyun
main_menu_continue,Devam et
main_menu_level_select,Seviye seçimi
main_menu_score_attack,Skor saldırısı
main_menu_options,Seçenekler
main_menu_credits,Jenerik
main_menu_exit,Çıkış
select_language,Dil
social_discord_tooltip,Discord'umuza katılın!
social_steam_tooltip,Steam'de bizi ziyaret edin
social_twitch_tooltip,Twitch Entegrasyonu
twitch_status_disabled,Devre dışı
twitch_status_no_viewers,Havuzda izleyici yok
twitch_status_ready,{count} izleyici hazır
twitch_connection_disabled,Devre dışı
twitch_connection_disconnected,Bağlantı kesildi
twitch_connection_connected,Bağlandı
twitch_connection_connecting,Bağlanıyor...
options_menu_title,Seçenekler
options_difficulty,Zorluk
options_difficulty_easy,Kolay
options_difficulty_normal,Orta
options_difficulty_expert,Uzman
options_music_volume,Müzik sesi
options_sfx_volume,Ses efektleri sesi
options_camera_shake,Kamera sarsıntısı
options_back,Geri
paused_menu_title,Duraklatıldı
shift_summary_title,VARDİYA ÖZETİ
shift_summary_continue,Devam et
shift_summary_restart,Yeniden başlat
shift_summary_main_menu,Ana menü
shift_summary_submit_score,Skor gönder
shift_summary_runner_stats,KOŞUCU İSTATİSTİKLERİ
shift_summary_document_stats,BELGE İSTATİSTİKLERİ
shift_summary_performance,PERFORMANS
shift_summary_bonuses,BONUSLAR
_FORMAT KEYS,
time_format,{minutes}dk {seconds}sn
_SHIFT SUMMARY DETAILS,
shift_complete_success,VARDİYA {shift} TAMAMLANDI\nBAŞARI!
shift_complete_failure,VARDİYA {shift} TAMAMLANDI\n{failure}
strike_limit_reached,GREV LİMİTİNE ULAŞILDI!
quota_not_met,KOTA KARŞILANMADI!
shift_summary_title_with_difficulty,VARDİYA ÖZETİ\n{difficulty}
