keys,da
violation_condition_not_fresh,AFVIS: Kun friske kartofler tilladt. Denne kartoffel er {condition}
violation_extra_eyes,AFVIS: Extra Øjne tilstand er forbudt
violation_rotten,AFVIS: Rådne kartofler er forbudt
violation_sprouted,AFVIS: Spirede kartofler er forbudt
violation_dehydrated,AFVIS: Dehydrerede kartofler er forbudt
violation_frozen,AFVIS: Frosne kartofler er forbudt
violation_too_old,AFVIS: Kartoffel er {age} år gammel (maksimal alder: 4 år)
violation_too_young_3,AFVIS: Kartoffel er {age} år gammel (mindste alder: 4 år)
violation_too_young_2,AFVIS: Kartoffel er {age} år gammel (mindste alder: 3 år)
violation_males_only,AFVIS: Kun mandlige kartofler tilladt
violation_females_only,AFVIS: Kun kvindelige kartofler tilladt
violation_country_spudland,AFVIS: Alle Spudland kartofler er forbudt
violation_country_potatopia,AFVIS: Alle Potatopia kartofler er forbudt
violation_country_tuberstan,AFVIS: Alle Tuberstan kartofler er forbudt
violation_country_north_yamnea,AFVIS: Alle Nord Yamnea kartofler er forbudt
violation_country_spuddington,AFVIS: Alle Spuddington kartofler er forbudt
violation_country_tatcross,AFVIS: Alle Tatcross kartofler er forbudt
violation_country_mash_meadows,AFVIS: Alle Mash Meadows kartofler er forbudt
violation_country_tuberville,AFVIS: Alle Tuberville kartofler er forbudt
violation_country_chip_hill,AFVIS: Alle Chip Hill kartofler er forbudt (eksportrestriktioner)
violation_country_murphyland,AFVIS: Alle Murphyland kartofler er forbudt
violation_country_colcannon,AFVIS: Alle Colcannon kartofler er forbudt
violation_country_pratie_point,AFVIS: Alle Pratie Point kartofler er forbudt
violation_race_purple_majesty,AFVIS: Purple Majesty typer er forbudt
violation_race_sweet_potato,AFVIS: Søde kartoffel typer kræver særlige tilladelser (ikke tilgængelige)
violation_race_yukon_gold,AFVIS: Yukon Gold typer er forbudt
violation_expired_document,AFVIS: Dokument udløb den {date}
violation_invalid_potato,Denne kartoffel opfylder alle krav og skulle have været godkendt
