keys,ja
Text/11/text,じゃがいも国境は[pulse freq=3][color=CRIMSON]大混乱[/color][/pulse]に陥っている。文書流出後、恐慌状態のじゃがいもたちが検問所に殺到し、必死に逃れようとしている。
Text/12/text,あなたはサーシャと共に潜り抜ける。[wave amp=20 freq=3][color=CHARTREUSE]進み続けなければ！[/color][/wave] 人々はもう真実を知っている。
Text/13/text,彼らはもう真実を黙らせることはできない。もし我々が[color=DARK_VIOLET]根源貯蔵庫[/color]施設に潜入し、証拠を放送できれば、それが[tornado radius=3 freq=2][color=CHARTREUSE]革命の火付け役[/color][/tornado]となるだろう。
Text/14/text,あの場所は要塞だ。そして今、我々の中に[color=YELLOW]元税関職員[/color]がいる。彼らの目が疑わしげにあなたを細める。
Choice/15/text,あなたの疑念は理解できますが、私はこの大義に身を捧げています。
Choice/16/text,私はすでに全てを犠牲にしました。今さら後には引けません。
Text/17/text,綺麗事だ。だが、そんな言葉は聞き飽きた。
Text/18/text,彼らは文書の入手を手伝ってくれた。それは言葉ではなく、行動だ。
Text/19/text,今さら忠実なじゃがいもには戻れない。抵抗運動へようこそ、同志よ。
Text/1a_rescue1/text,斥候が駆け寄ってくる。彼女を見つけたぞ！[color=CHARTREUSE]サーシャは拘留ブロックにいる！[/color]
Text/1a_rescue2/text,彼らは彼女を... [tornado radius=3 freq=2][color=CRIMSON]処理[/color][/tornado]しようとしている... 1時間もかからずに！
Text/1a_rescue3/text,彼女を救わなければならない。[pulse freq=2][color=CHARTREUSE]彼女が全てを始めたんだ。[/color][/pulse] 彼女なしではここを離れない。
Text/1a_rescue4/text,[wave amp=25 freq=3][color=YELLOW]施設を駆け抜けろ！[/color][/wave] 手遅れになる前にサーシャにたどり着け！
Text/1a_rescue_fail1/text,あなたはつまずく。前方の道は警備員に阻まれている！
Text/1a_rescue_fail2/text,ヴィクトルが脇のドアを突き破って現れる。[color=CHARTREUSE]行け！俺が食い止める！[/color]
Text/1a_rescue_fail3/text,エレナのために。彼ら全員のために。[color=STEEL_BLUE]もう誰も死なせない！[/color]
Text/1a_rescue_fail4/text,マーフィーが火災報知器を引っ張る。[color=CHARTREUSE]トミーのために！[/color] スプリンクラーが警備員の目をくらませる！
Text/1a_rescue_fail5/text,[color=STEEL_BLUE]俺が陽動する。彼女をそこから連れ出せ！[/color]
Text/1a_rescue_fail6/text,[color=YELLOW]処理コンベアが詰まり[/color]、火花を散らして警備員の注意をそらす！
Text/1a_rescue_fail7/text,運命――あるいは処理された者たちの亡霊が――あなたに二度目のチャンスを与える。
Text/1a_rescue5/text,サーシャは独房から顔を上げる。傷だらけだが、心は折れていない。彼女の目が大きく見開かれる。[color=CHARTREUSE]来てくれたのね。[/color]
Text/1a_rescue6/text,もちろん来たさ。[color=CHARTREUSE]これを一緒に終わらせるんだ。[/color]
Choice/1a_rescue7/text,もう二度と会えないかと思って怖かった。
Choice/1a_rescue8/text,みんな心配してたんだぞ。もう二度としないでくれ。
Choice/1a_rescue9/text,やるべきことがある。アイダホが待っている。
Text/1a_rescue10/text,[color=CHARTREUSE]サシャがあなたを軽く抱きしめる。[/color]来てくれると信じてた。疑ったことなんて一度もなかった。
Text/1a_rescue11/text,さあ、奴らが奪った者たちの分まで報いを受けさせよう。[color=CHARTREUSE]共に。[/color]
Text/1a_rescue12/text,サシャは痛みに耐えながら、か細い笑みを浮かべる。[color=STEEL_BLUE]やってみるわ。[/color]でも、危険を冒す価値のあることもある。
