keys,tr
sex_male,Erkek
sex_female,Kadın
condition_fresh,Taze
condition_extra_eyes,Ekstra gözler
condition_rotten,Çürük
condition_sprouted,Filizlenmiş
condition_dehydrated,Susuz kalmış
condition_frozen,Donmuş
race_russet,Russet
race_yukon_gold,Yukon Gold
race_sweet_potato,Tatlı Patates
race_purple_majesty,Mor Haşmet
country_spudland,Patates Diyarı
country_potatopia,Patatopia
country_tuberstan,Yumrustan
country_north_yamnea,Kuzey Yamnea
country_spuddington,Patatesburg
country_tatcross,Patates Geçidi
country_mash_meadows,Püre Çayırları
country_tuberville,Yumruköy
country_chip_hill,Cips Tepesi
country_murphyland,Murphyland
country_colcannon,Colcannon
country_pratie_point,Patates Burnu
