keys,pt-BR
patch_1_2_0_title,SPUD CUSTOMS 1.2.0 - NOTAS DO PATCH
patch_1_2_0_personal_note_header,UMA NOTA PESSOAL DO DESENVOLVEDOR
patch_1_2_0_personal_note,"Esta atualização é dedicada ao meu pequeno(a), que passou os primeiros meses de vida na UTI Neonatal - de 1lb ao nascer para agora 20lbs de pura alegria. Obrigado a todos que se juntaram a esta jornada - mais de 2.000 jogadores já experimentaram Spud Customs!"
patch_1_2_0_visual_header,APRIMORAMENTOS VISUAIS
patch_1_2_0_visual_1,Integração de Arte Animada: Incorporados novos GIFs animados da StagNation nas cenas de abertura
patch_1_2_0_visual_2,Reformulação de Arte: Repintadas as cinco primeiras cenas que os jogadores veem para melhor qualidade visual
patch_1_2_0_visual_3,Planos de Fundo Dinâmicos: Os visuais de fundo agora mudam conforme a dificuldade aumenta
patch_1_2_0_story_header,HISTÓRIA E NARRATIVA
patch_1_2_0_story_1,Persistência de Escolhas: As escolhas narrativas agora são devidamente mantidas em todos os níveis
patch_1_2_0_story_2,Progressão Visual: Adicionados indicadores visuais de progressão da história nas cenas principais de jogo com base no número do turno atual
patch_1_2_0_story_3,Correções de Diálogo Ramificado: Corrigidos problemas com o diálogo ramificado nas cenas narrativas finais
patch_1_2_0_bugfix_header,CORREÇÕES DE BUGS
patch_1_2_0_bugfix_1,Sistema de Conquistas: Corrigido o rastreamento de conquistas - todas as conquistas agora são desbloqueadas corretamente
patch_1_2_0_bugfix_2,Placar de Líderes: Corrigido problema onde o placar de líderes ficava travado no carregamento
patch_1_2_0_bugfix_3,Tremor de Tela: O tremor de tela agora é devidamente redefinido para a origem após cada uso
patch_1_2_0_bugfix_4,Escalonamento de Dificuldade: Corrigido o fator de escalonamento do modo fácil
patch_1_2_0_bugfix_5,Exibição de Fundo: Corrigidos planos de fundo ausentes durante as cenas de diálogo
patch_1_2_0_bugfix_6,Legibilidade do Texto: Melhorada a coloração do texto para melhor legibilidade
patch_1_2_0_engagement_header,ENGAJAMENTO DO JOGADOR
patch_1_2_0_engagement_1,Solicitações de Avaliação: Adicionados avisos de avaliação para jogadores da demo e do jogo completo
patch_1_2_0_engagement_2,Correções de Tradução: Várias melhorias de tradução em todos os idiomas suportados
patch_1_2_0_technical_header,MELHORIAS TÉCNICAS
patch_1_2_0_technical_1,Suporte a Idiomas Expandido: Agora com suporte a todos os 31 idiomas suportados pelo Steam
patch_1_2_0_technical_2,Reformulação do Sistema de Tradução: Arquivos de tradução reorganizados para melhor manutenção
