keys,sv
Text/11/text,"Spud-gränsen är i [pulse freq=3][color=CRIMSON]kaos[/color][/pulse]. Panikslagna potatisar översvämmar kontrollpunkterna, desperata att fly efter de läckta dokumenten."
Text/12/text,Du slinker igenom med Sasha. [wave amp=20 freq=3][color=CHARTREUSE]Vi måste fortsätta pressa på![/color][/wave] Folket känner nu till sanningen.
Text/13/text,"De kan inte längre tysta ned sanningen. Om vi kan infiltrera [color=DARK_VIOLET]Rotreservatets[/color] anläggning och sända bevis, kommer det att [tornado radius=3 freq=2][color=CHARTREUSE]tända revolutionen[/color][/tornado]."
Text/14/text,Den platsen är en fästning. Och nu har vi en [color=YELLOW]före detta tulltjänsteman[/color] ibland oss. Deras ögon smalnar misstänksamt mot dig.
Choice/15/text,"Jag förstår er tvivel, men jag är hängiven denna sak."
Choice/16/text,Jag har redan offrat allt. Jag kommer inte att backa nu.
Text/17/text,Vackra ord. Men sådana har vi hört förut.
Text/18/text,"De hjälpte oss att få tag på dokumenten. Det är handling, inte ord."
Text/19/text,"Kan inte gå tillbaka till att vara en lojal potatis nu. Välkommen till motståndet, kamrat."
Text/1a/text,"Efter en spänd infiltration står ditt team i hjärtat av [color=DARK_VIOLET]Rotreservatet[/color], det [pulse freq=3][color=CRIMSON]fruktansvärda förtryckets maskineri[/color][/pulse] blottlagt."
Text/1b/text,"[wave amp=25 freq=3][color=RED]Larm tjuter[/color][/wave] medan vakter skyndar för att svara på ert intrång. Ni rusar genom korridorer, undviker säkerhetssystem."
Text/1c/text,"En skärm flimrar till. ""Jaha, jaha, [color=CRIMSON]förrädaren[/color] återvänder med rebellavskum."""
Text/1d/text,Trodde du att du kunde stoppa Spuds framsteg? [color=DARK_VIOLET]Rotreservatet[/color] är denna nations livsblod.
Text/1e/text,Men oroa dig inte. Du kommer fortfarande att tjäna Spud... [tornado radius=4 freq=3][color=DARK_VIOLET]i bearbetningskaren![/color][/tornado]
Text/1f/text,Skärmen blir plötsligt svart.
Text/20/text,"Du vänder dig till de andra med beslutsamhet. ""Vi måste nå Idahos bunker. Nu!"""
Text/21/text,"Er grupp kämpar genom vågor av säkerhetspersonal, undviker med nöd och näppe att bli tillfångatagna. Sashas motståndskämpar skapar avledningsmanövrar, röjer vägen framåt."
Text/22/text,Efter en hårresande flykt genom underhållstunnlar når ni äntligen den säkra hissen till Idahos privata bunker.
Text/23/text,Med Sasha och dina allierade vid din sida konfronterar du äntligen Idaho.
Text/24/text,"Det är över, Idaho. Dina hemligheter är avslöjade. Hur detta slutar... [pulse freq=2]det är upp till dig.[/pulse]"
Choice/25/text,Förhandla om en fredlig maktövergång (Diplomatisk)
Choice/26/text,Kräv Idahos omedelbara arrestering (Rättvisa)
Choice/27/text,Verkställ vigilanträttvisa för Idahos brott (Hämnd)
Choice/28/text,Fokusera på att montera ner Rotreservatets infrastruktur (Demontering)
Text/29/text,"Idaho, det behöver inte sluta med mer blodsutgjutelse. Om du samarbetar..."
Text/2a/text,"Åh, din [color=STEEL_BLUE]idealistiska dåre[/color]. Tror du att detta är en förhandling?"
Text/2b/text,"Idaho krossar en knapp, och [color=RED]larm börjar tjuta[/color]. ""Det enda jag kommer att ge er är en [color=DARK_VIOLET]enkelresa till friteringskarets![/color]"""
Text/2c/text,"Det tror jag inte, Idaho. Vakter! Ni såg dossiern, [color=YELLOW]ni vet vad han gjorde mot era familjer.[/color]"
Text/2d/text,En stor vakt kliver fram och sparkar snabbt Idaho till marken.
Text/2e/text,Ett skott ekar genom kammaren. Skärmen tonas till svart.
Text/2f/text,"Idaho, i namnet av potatisfolket i Spud, [color=CHARTREUSE]är du arresterad![/color]"
Text/30/text,"Det är över. Folket har talat. [color=CHARTREUSE]Vi kommer att bygga ett nytt Spud där våra rötter är i jorden, inte i lidande.[/color]"
Text/31/text,"Det kommer [color=CRIMSON]inte finnas några avtal, ingen nåd[/color] för dig, Idaho. En tyranns rättvisa är allt du förtjänar."
Text/32/text,En uppgörelse. Det är vad jag är. [color=CHARTREUSE]För varje potatis som offrats tar vi tillbaka vår framtid![/color]
Text/33/text,"Glöm honom. Han är ett symptom, inte sjukdomen. [color=CHARTREUSE]Riv ner varje rot och stjälk av denna avskyvärda sak.[/color]"
Text/34/text,Vi måste gå! Nu!
Text/35/text,Fallet av [color=DARK_VIOLET]Rotreservatet[/color] tänder en brand av förändring över hela Spud.
