keys,de
main_menu_feedback,Feedback und Fehler
main_menu_version,Fassung 1.2.0
main_menu_new_game,Neues Spiel
main_menu_continue,Fortsetzen
main_menu_level_select,Level-Auswahl
main_menu_score_attack,Punkteangriff
main_menu_options,Optionen
main_menu_credits,Mitwirkende
main_menu_exit,Beenden
select_language,Sprache
social_discord_tooltip,Tritt unserem Discord bei!
social_steam_tooltip,Besuche uns auf Steam
social_twitch_tooltip,Twitch-Integration
twitch_status_disabled,Deaktiviert
twitch_status_no_viewers,Keine Zuschauer im Pool
twitch_status_ready,{count} Zuschauer bereit
twitch_connection_disabled,Deaktiviert
twitch_connection_disconnected,Getrennt
twitch_connection_connected,Verbunden
twitch_connection_connecting,Verbinden...
options_menu_title,Optionen
options_difficulty,Schwierigkeitsgrad
options_difficulty_easy,Leicht
options_difficulty_normal,Standard
options_difficulty_expert,Experte
options_music_volume,Musiklautstärke
options_sfx_volume,Soundeffekt-Lautstärke
options_camera_shake,Kamerawackeln
options_back,Zurück
paused_menu_title,Pausiert
shift_summary_title,SCHICHT-ZUSAMMENFASSUNG
shift_summary_continue,Fortsetzen
shift_summary_restart,Neustart
shift_summary_main_menu,Hauptmenü
shift_summary_submit_score,Punktzahl einreichen
shift_summary_runner_stats,LÄUFER-STATISTIKEN
shift_summary_document_stats,DOKUMENT-STATISTIKEN
shift_summary_performance,LEISTUNG
shift_summary_bonuses,BONI
_FORMAT KEYS,
time_format,{minutes}Min {seconds}Sek
_SHIFT SUMMARY DETAILS,
shift_complete_success,SCHICHT {shift} ABGESCHLOSSEN\nERFOLG!
shift_complete_failure,SCHICHT {shift} ABGESCHLOSSEN\n{failure}
strike_limit_reached,STREIKELIMIT ERREICHT!
quota_not_met,QUOTE NICHT ERFÜLLT!
shift_summary_title_with_difficulty,SCHICHT-ZUSAMMENFASSUNG\n{difficulty}
runner_stats_template,\nLÄUFER-STATISTIKEN\nLäuferversuche: {runner_attempts}\nAbgefeuerte Raketen: {fired}\nGetroffene Läufer: {hit}\nPerfekte Treffer: {perfect}\nTrefferquote: {rate}%
document_stats_template,DOKUMENT-STATISTIKEN\nGestempelte Dokumente: {stamped}\nGenehmigte Kartoffeln: {approved}\nAbgelehnte Kartoffeln: {rejected}\nPerfekte Stempel: {perfect_stamps}
bonus_stats_template,BONI\nVerarbeitungsgeschwindigkeitsbonus: {processing_speed_bonus}\nStempelgenauigkeitsbonus: {accuracy}\nPerfekte Treffer Bonus: {perfect_hit_bonus}\nGesamtpunktzahlbonus: {total_score_bonus}
performance_stats_template,LEISTUNG\nBenötigte Zeit: {time_taken}\nErwartete Punktzahl: {expected_score}\nGesamtpunktzahl: {score}\nÜberschreitung in Prozent: {percent}%\nLeistungsbewertung:\n{rating}
performance_exceptional,Außergewöhnlich!
performance_excellent,Ausgezeichnet!
performance_good,Gut
performance_needs_improvement,Verbesserungsbedürftig
performance_poor,Schlecht
global_leaderboard_title,Globale Rangliste\n- {difficulty}
getting_leaderboard_scores,Rufe Bestenlisten-Punktzahlen ab...
_PAUSE OPTIONS OVERLAY,
reset_game_label,Spiel zurücksetzen:
reset_game_button,Zurücksetzen
reset_game_success,Zurücksetzen abgeschlossen!
mute_label,Stummschalten
fullscreen_label,Vollbild:
resolution_label,Auflösung:
antialiasing_label,Anti-Aliasing:
screenshake_label,Bildschirmwackeln:
mouse_sens_label,Mausempfindlichkeit:
___ LOADING SCREEN,
Loading…,Wird geladen...
___ DIALOGS IN GAME,
You lose.,Du verlierst.
You won!,Du hast gewonnen!
Thanks for playing!,Danke fürs Spielen!
Please Confirm...,Bitte bestätigen...
Go back to main menu?,Zurück zum Hauptmenü?
Quit the game?,Spiel beenden?
Cancel,Abbrechen
OK,OK
___ OPTIONS MENU,
Controls,Steuerung
Mouse Sensitivity :,Mausempfindlichkeit:
Actions & Inputs,Aktionen & Eingaben
Add,Hinzufügen
Remove,Entfernen
Assign Key for {action},Taste für {action} zuweisen
Listening for input...,Warte auf Eingaben...
Press again to confirm...,Erneut drücken zum Bestätigen...
Focus here to assign inputs.,"Hier fokussieren, um Eingaben zuzuweisen."
Already Assigned,Bereits zugewiesen
{key} already assigned to {action}.,{key} ist bereits {action} zugewiesen.
Remove Key for {action},Taste für {action} entfernen
Are you sure you want to remove {key} from {action}?,Möchtest du {key} wirklich von {action} entfernen?
Reset,Zurücksetzen
Audio,Ton
Master :,Master:
Music :,Musik:
SFX :,SFX:
Ambient :,Umgebung:
Mute :,Stumm:
Video,Bild
Fullscreen :,Vollbild:
Resolution :,Auflösung:
Anti-Aliasing :,Anti-Aliasing:
Disabled (Fastest),Deaktiviert (am schnellsten)
8x (Slowest),8x (am langsamsten)
Camera Shake :,Kamerawackeln:
Normal,Standard
Reduced,Reduziert
Minimal,Niedrig
None,Keine
Game,Spiel
Reset Game :,Spiel zurücksetzen:
Do you want to reset your game data?,Möchtest du deine Spieldaten zurücksetzen?
