keys,da
Text/69/text,Kan vi tale sammen? Et sted privat? [color=YELLOW]For mange øjne og ører her.[/color]
Text/6a/text,"Mød mig ved det gamle opbevaringsskur efter din vagt. Jeg har noget, du skal se."
Text/6b/text,"Bliver du hyggelig med kolleger? Husk, at venskab kan føre til... [color=DARK_ORANGE]kompromitteret dømmekraft[/color]."
Text/6c/text,Jeg har indsamlet information om afviste kartofler. [wave amp=20 freq=3][color=CRIMSON]De går ikke til deportationscentre.[/color][/wave]
Text/6d/text,[tornado radius=4 freq=2][color=CRIMSON]De går til Root Reserve forarbejdningsfaciliteter.[/color][/tornado] Hver eneste en.
Text/6e/text,"Disse dokumenter viser kartofler, der bliver losset ved en facilitet mærket med [color=DARK_VIOLET]Root Reserve[/color] logoet."
Text/6f/text,"Jeg tror, jeg ved, hvad der sker. [pulse freq=3][color=CRIMSON]De bliver til Root Reserve.[/color][/pulse]"
Choice/70/text,Det er vanvittigt. De... forarbejder kartofler til mad?
Choice/71/text,"Vi har brug for flere beviser, før vi kommer med beskyldninger."
Text/72/text,"[color=CRIMSON]Kannibalisme med ekstra trin.[/color] Det er, hvad [wave amp=25 freq=3][color=DARK_VIOLET]Root Reserve[/color][/wave] er. Og vi har hjulpet med at udvælge deres ingredienser."
Text/73/text,"Jeg har indsamlet beviser i måneder. Hold øjnene åbne. Du vil se, at jeg har ret."
Text/74/text,En fjern alarm lyder pludselig
Text/75/text,"Vi skal gå. De laver sikkerhedsscanninger på dette tidspunkt. Tænk over, hvad jeg har vist dig."
Text/76/text,"Sasha stopper mappen i dine hænder. ""[color=YELLOW]Hold denne sikker. Og stol ikke på nogen.[/color]"""
Text/77/text,Du gemmer mappen inde i din jakke. [color=DARK_VIOLET]Root Reserve[/color]. Afvisningerne. De manglende kartofler. Det hele forbinder sig på en [tornado radius=3 freq=2][color=CRIMSON]skræmmende måde[/color][/tornado].
Choice/71/disabled_text,
Choice/70/disabled_text,
