keys,bg
dialogue_spud_being_called_1,"Следваща грудка, съдбата ви очаква."
dialogue_spud_being_called_2,"Първи на опашката, наближава моментът на истината."
dialogue_spud_being_called_3,"Пристъпете напред, избранико на грудковия род."
dialogue_spud_being_called_4,Поздравления! Чакането ви се увенча с успех.
dialogue_spud_being_called_5,Великата Картофена Бюрокрация ви призовава.
dialogue_spud_being_called_6,"Напред, благородна грудко! Документите ви очакват!"
dialogue_spud_being_called_7,Придвижете се! Печатът става нетърпелив.
dialogue_spud_being_called_8,Побързайте! Формуляр P-38B трябва да бъде попълнен.
dialogue_spud_being_called_9,"Елате напред, съдбата изисква вашето присъствие."
dialogue_spud_being_called_10,"Приближете се до гишето на присъдата, грудко."
dialogue_spud_in_office_1,"Моля, бъдете търпеливи. Времето е илюзия."
dialogue_spud_in_office_2,Чакането изгражда характер. И нишесте.
dialogue_spud_in_office_3,Опашката се движи по тайнствени пътища.
dialogue_spud_in_office_4,Вашата позиция е отбелязана от властите.
dialogue_spud_in_office_5,Стоенето на опашка: универсалната константа.
dialogue_spud_in_office_6,"Нито една грудка не е готова, докато не бъде подправена от чакането."
dialogue_spud_in_office_7,"Търпение: не е единствената добродетел, но е в списъка."
dialogue_spud_in_office_8,Бюрократичните колела се въртят бавно. Много бавно.
dialogue_spud_in_office_9,"Ах, сладкият звук на процедурата!"
dialogue_spud_in_office_10,Днешната опашка е утрешен анекдот.
dialogue_spud_in_office_11,Времето на опашките се огъва. Измерено е.
dialogue_spud_in_office_12,Умение за чакане: Ниво 43 достигнато!
dialogue_warnings_1,Непокорните ще бъдат обелени с прецизност.
dialogue_warnings_2,Прескачащите опашката се изпращат на Експресна Обработка.
dialogue_warnings_3,Нарушаването на опашката води до лекции за опашките.
dialogue_warnings_4,Неподчинението води до Стая с горещо олио.
dialogue_warnings_5,"Не е нужно да сме справедливи, просто организирани."
dialogue_warnings_6,Комитетът за Съответствие на Картофите вижда всичко.
dialogue_warnings_7,Размирници: пюрирани без масло.
dialogue_warnings_8,Причинителите на хаос стават хашбраун. Бързо.
dialogue_warnings_9,Нарушителите на правилата ги очаква статус на два пъти печени.
dialogue_warnings_10,Одиторите на опашката са отбелязали вашето съществуване.
dialogue_warnings_11,Вашето досие: маркирано с ЧЕРВЕНИЯ печат.
dialogue_misc_1,Къде са всички?
dialogue_misc_2,Извънредна ситуация? Продължете да чакате по ред.
dialogue_misc_3,Прочетохте ли параграф седем от споразумението за изчакване?
dialogue_misc_4,"Изгубени вещи: намерени, обложени с данък, преместени погрешно."
dialogue_misc_5,"Ако един картоф се оплаче, издава ли звук?"
dialogue_misc_6,Светлината е заменена със знак: 'Още тунел.'
dialogue_misc_7,Смъртта е временна. Бюрокрацията е вечна.
dialogue_misc_8,Системата за архивиране е придобила разум. Запазете спокойствие.
dialogue_misc_9,Днешните късметлийски числа не означават нищо. Съжаляваме.
dialogue_misc_10,"Апокалипсис? Вземете си номер, чакайте да изчезнете."
dialogue_misc_11,"Липсата на доказателства означава, че са необходими повече формуляри."
dialogue_document_interaction_1,"Вземете си документите, моля."
dialogue_document_interaction_2,ВЗЕМЕТЕ ГИ!
dialogue_perfect_stamp_1,Отлична работа!
dialogue_perfect_stamp_2,Ето така се подпечатва!
dialogue_perfect_stamp_3,Прецизност в най-чистата ѝ форма!
dialogue_perfect_stamp_4,Боговете на печата ви се усмихват!
dialogue_perfect_stamp_5,Техника по учебник!
dialogue_runner_stopped_1,Хванах те!
dialogue_runner_stopped_2,Не докато аз съм на пост!
dialogue_runner_stopped_3,"Правосъдието е сервирано, топло и прясно!"
dialogue_runner_stopped_4,Ето какво се случва с бегълците!
dialogue_runner_stopped_5,Целта е елиминирана!
dialogue_runner_escaped_1,Проклятие! Измъкнаха се!
dialogue_runner_escaped_2,Проклятие! Твърде бавно!
dialogue_runner_escaped_3,Този се измъкна...
dialogue_runner_escaped_4,Документацията за това...
dialogue_runner_escaped_5,Не е най-добрият ми момент.
dialogue_wrong_stamp_1,"Чакай, това не е правилно..."
dialogue_wrong_stamp_2,"Хм, това ли исках да направя?"
dialogue_wrong_stamp_3,Мастилото... то ме предава!
dialogue_wrong_stamp_4,Упс.
dialogue_strike_received_1,Това ще влезе в досието ми...
dialogue_strike_received_2,Министерството няма да хареса това.
dialogue_strike_received_3,Една стъпка по-близо до пюрето...
dialogue_strike_received_4,Забележка! Но не от добрите.
