keys,da
Text/156/text,Velkommen til [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse]
Text/157/text,Denne træning vil lære dig de [wave amp=15 freq=2][color=DARK_ORANGE]væsentlige færdigheder[/color][/wave] der er nødvendige for at beskytte Spuds grænser.
Text/158/text,Din pligt er at behandle indkommende kartofler ved vores grænsekontrol.
Text/159/text,Immigrerende kartofler vil stå i kø uden for dit kontor her.
Text/15a/text,For at begynde behandlingen af kartofler skal du åbne din bod for service med kontakten her.
Text/15b/text,Du signalerer til hver kartoffel at nærme sig dit kontor ved at trykke på megafonen.
Text/15c/text,Kartofler vil komme ind i boden en efter en og præsentere deres dokumenter.
Text/15d/text,Først skal du flytte deres dokumenter over til inspektionsbordet for at få et bedre kig.
Text/15e/text,"Derefter skal du se efter [tornado radius=3 freq=2][color=YELLOW]udløbne datoer, forkerte oplysninger eller tegn på forfalskning[/color][/tornado]."
Text/15f/text,"Dit skrivebord har stempler til markering af dokumenter, du kan klikke her for at trække stempellinjen ud."
Text/160/text,"Placer derefter dokumentet under det stempel, du ønsker..."
Text/161/text,Klik på stemplet for at markere dokumenter som [color=CHARTREUSE]godkendt[/color] eller [color=CRIMSON]afvist[/color]...
Text/162/text,Og træk dokumentet tilbage til kartoflen for at afslutte din beslutning!
Text/163/text,Nogle gange vil kartofler forsøge at [color=CRIMSON]skynde sig forbi dit kontrolpunkt[/color].
Text/164/text,"Du har en direkte forbindelse i din bod, som giver dig mulighed for at kontrollere [pulse freq=3][color=CRIMSON]missilaffyringsramper[/color][/pulse] langs grænsemuren."
Text/165/text,"Klik på disse ""løbere"" for at affyre et missil og stoppe dem."
Text/166/text,"Husk, hver løber, der slipper igennem, vil tælle som en [wave amp=20 freq=3][color=CRIMSON]advarsel mod dig[/color][/wave]."
Text/167/text,"For mange advarsler, og dit skift vil slutte... [tornado radius=3 freq=3][color=CRIMSON]permanent.[/color][/tornado]"
Text/168/text,Hvert skift har en [color=DARK_ORANGE]kvote af kartofler[/color] du skal behandle for at afslutte din dag.
Text/169/text,Din score holder styr på din præstation sammenlignet med dine kolleger ved dette kontrolpunkt og embedsmænd i fjerne toldkontorer.
Text/16a/text,"Efter hvert skift vil du se en oversigt over din præstation, og om du lykkedes eller fejlede i din pligt."
Text/16b/text,"Du vil se en nedbrydning af, hvordan du håndterede løbere, og hvor mange dokumenter du behandlede."
Text/16c/text,"Plus eventuelle bonusser, du tjente ved at behandle dokumenter hurtigt, perfekt justere stempler eller perfekt ramme løbende kartofler."
Text/16d/text,"Du vil også modtage en præstationsvurdering baseret på, hvor godt du behandlede kartofler under dit skift, og op til 3 gyldne stempler, hvis du overgår forventningerne."
Text/16e/text,"Her kan du indsende din score for hvert skift til den globale database over toldembedsmænd og se, hvordan du sammenligner med de mest elitære toldembedsmænd rundt om i verden."
Text/16f/text,"Hvis dit skift var vellykket, vil du kunne fortsætte ved at klikke på ""Fortsæt"" og starte dit næste skift."
Text/170/text,Det dækker grundlæggende for dine pligter som toldembedsmand.
Text/171/text,"Husk: tjek dokumenter omhyggeligt, stop løbere og opfyld din kvote."
Text/172/text,Sikkerheden og trygheden for Spud afhænger af din [pulse freq=2][color=DARK_ORANGE]årvågenhed![/color][/pulse]
