keys,hu
LAWS,TÖRVÉNYEK
_VALIDATION MESSAGES,
msg_not_fresh,"A krumpli %s volt, de frissnek kell lennie"
msg_extra_eyes,"A krumplinak Extra Szemei voltak, ami tilos"
msg_rotten,A rohadt krumplik nem megengedettek
msg_sprouted,A kicsírázott krumplik nem megengedettek
msg_dehydrated,A szárított krumplik ma nem megengedettek
msg_frozen,A fagyasztott krumplik tiltottak
msg_over_age,A krumpli %d éves (max 5 év)
msg_under_age,A krumpli %d éves (3 évnél idősebbnek kell lennie)
_LAWS,
law_fresh_potatoes,[color=dark_goldenrod]CSAK friss[/color] krumpli megengedett - [color=dark_red]ELUTASÍTÁS[/color] minden más
law_extra_eyes,[color=dark_goldenrod]Extra Szemek[/color] állapot krumplikat [color=dark_red]EL KELL UTASÍTANI[/color]
law_rotten,[color=dark_goldenrod]Rohadt[/color] krumplikat [color=dark_red]EL KELL UTASÍTANI[/color]
law_sprouted,[color=dark_goldenrod]Csírázott[/color] krumplikat [color=dark_red]EL KELL UTASÍTANI[/color]
law_dehydrated,[color=dark_goldenrod]Dehidratált[/color] krumplikat [color=dark_red]EL KELL UTASÍTANI[/color]
law_frozen,[color=dark_goldenrod]Fagyasztott[/color] krumplikat [color=dark_red]EL KELL UTASÍTANI[/color]
law_over_5_years,Krumplik [color=dark_goldenrod]5 éves vagy idősebb[/color] [color=dark_red]EL KELL UTASÍTANI[/color]
law_under_3_years,Krumplik [color=dark_goldenrod]3 éves vagy fiatalabb[/color] [color=dark_red]EL KELL UTASÍTANI[/color]
law_under_2_years,Krumplik [color=dark_goldenrod]2 éves vagy fiatalabb[/color] [color=dark_red]EL KELL UTASÍTANI[/color]
law_males_only,[color=dark_goldenrod]CSAK hím[/color] krumpli megengedett - [color=dark_red]ELUTASÍTÁS[/color] minden nőstény
law_females_only,[color=dark_goldenrod]CSAK nőstény[/color] krumpli megengedett - [color=dark_red]ELUTASÍTÁS[/color] minden hím
law_country_spudland,[color=dark_goldenrod]MINDEN[/color] [color=dark_goldenrod]Spudland[/color] krumplikat [color=dark_red]EL KELL UTASÍTANI[/color]
law_country_potatopia,[color=dark_goldenrod]MINDEN[/color] [color=dark_goldenrod]Potatopia[/color] krumplikat [color=dark_red]EL KELL UTASÍTANI[/color]
law_country_tuberstan,[color=dark_goldenrod]MINDEN[/color] [color=dark_goldenrod]Tuberstan[/color] krumplikat [color=dark_red]EL KELL UTASÍTANI[/color]
law_country_north_yamnea,[color=dark_goldenrod]MINDEN[/color] [color=dark_goldenrod]Észak-Yamnea[/color] krumplikat [color=dark_red]EL KELL UTASÍTANI[/color]
law_country_spuddington,[color=dark_goldenrod]MINDEN[/color] [color=dark_goldenrod]Spuddington[/color] krumplikat [color=dark_red]EL KELL UTASÍTANI[/color]
law_country_tatcross,[color=dark_goldenrod]MINDEN[/color] [color=dark_goldenrod]Tatcross[/color] krumplikat [color=dark_red]EL KELL UTASÍTANI[/color]
law_country_mash_meadows,[color=dark_goldenrod]MINDEN[/color] [color=dark_goldenrod]Mash Meadows[/color] krumplikat [color=dark_red]EL KELL UTASÍTANI[/color]
law_country_tuberville,[color=dark_goldenrod]MINDEN[/color] [color=dark_goldenrod]Tuberville[/color] krumplikat [color=dark_red]EL KELL UTASÍTANI[/color]
law_country_chip_hill,[color=dark_goldenrod]MINDEN[/color] [color=dark_goldenrod]Chip Hill[/color] krumplikat [color=dark_red]EL KELL UTASÍTANI[/color] (export tilalom)
law_country_murphyland,[color=dark_goldenrod]MINDEN[/color] [color=dark_goldenrod]Murphyland[/color] krumplikat [color=dark_red]EL KELL UTASÍTANI[/color]
law_country_colcannon,[color=dark_goldenrod]MINDEN[/color] [color=dark_goldenrod]Colcannon[/color] krumplikat [color=dark_red]EL KELL UTASÍTANI[/color]
law_country_pratie_point,[color=dark_goldenrod]MINDEN[/color] [color=dark_goldenrod]Pratie Point[/color] krumplikat [color=dark_red]EL KELL UTASÍTANI[/color]
law_purple_majesty,[color=dark_goldenrod]Purple Majesty[/color] krumpli típusokat [color=dark_red]EL KELL UTASÍTANI[/color]
law_sweet_potatoes,[color=dark_goldenrod]Édesburgonya[/color] típusokat [color=dark_red]EL KELL UTASÍTANI[/color] (nincs engedély elérhető)
law_yukon_gold,[color=dark_goldenrod]Yukon Gold[/color] krumpli típusokat [color=dark_red]EL KELL UTASÍTANI[/color]
law_fingerling,[color=dark_goldenrod]Fingerling[/color] krumpli típusokat [color=dark_red]EL KELL UTASÍTANI[/color]
law_red_bliss,[color=dark_goldenrod]Red Bliss[/color] krumpli típusokat [color=dark_red]EL KELL UTASÍTANI[/color]
law_russet,[color=dark_goldenrod]Russet[/color] krumpli típusokat [color=dark_red]EL KELL UTASÍTANI[/color]
