keys,es-419
violation_condition_not_fresh,RECHAZAR: Solo se permiten papas frescas. Esta papa está {condition}
violation_extra_eyes,RECHAZAR: La condición de Ojos Extra está prohibida
violation_rotten,RECHAZAR: Las papas podridas están prohibidas
violation_sprouted,RECHAZAR: Las papas brotadas están prohibidas
violation_dehydrated,RECHAZAR: Las papas deshidratadas están prohibidas
violation_frozen,RECHAZAR: Las papas congeladas están prohibidas
violation_too_old,RECHAZAR: La papa tiene {age} años (edad máxima: 4 años)
violation_too_young_3,RECHAZAR: La papa tiene {age} años (edad mínima: 4 años)
violation_too_young_2,RECHAZAR: La papa tiene {age} años (edad mínima: 3 años)
violation_males_only,RECHAZAR: Solo se permiten papas Macho
violation_females_only,RECHAZAR: Solo se permiten papas Hembra
violation_country_spudland,RECHAZAR: Todas las papas de Spudland están prohibidas
violation_country_potatopia,RECHAZAR: Todas las papas de Potatopia están prohibidas
violation_country_tuberstan,RECHAZAR: Todas las papas de Tuberstan están prohibidas
violation_country_north_yamnea,RECHAZAR: Todas las papas de North Yamnea están prohibidas
violation_country_spuddington,RECHAZAR: Todas las papas de Spuddington están prohibidas
violation_country_tatcross,RECHAZAR: Todas las papas de Tatcross están prohibidas
violation_country_mash_meadows,RECHAZAR: Todas las papas de Mash Meadows están prohibidas
violation_country_tuberville,RECHAZAR: Todas las papas de Tuberville están prohibidas
violation_country_chip_hill,RECHAZAR: Todas las papas de Chip Hill están prohibidas (restricciones de exportación)
violation_country_murphyland,RECHAZAR: Todas las papas de Murphyland están prohibidas
violation_country_colcannon,RECHAZAR: Todas las papas de Colcannon están prohibidas
violation_country_pratie_point,RECHAZAR: Todas las papas de Pratie Point están prohibidas
violation_race_purple_majesty,RECHAZAR: Los tipos Purple Majesty están prohibidos
violation_race_sweet_potato,RECHAZAR: Los tipos de camote requieren permisos especiales (no disponibles)
violation_race_yukon_gold,RECHAZAR: Los tipos Yukon Gold están prohibidos
violation_expired_document,RECHAZAR: Documento vencido el {date}
violation_invalid_potato,Esta papa cumple con todos los requisitos y debió haber sido aprobada
