keys,nl
sex_male,Man
sex_female,Vrouw
condition_fresh,Vers
condition_extra_eyes,Extra ogen
condition_rotten,Rot
condition_sprouted,Gekiemd
condition_dehydrated,Gedehydrateerd
condition_frozen,Bevroren
race_russet,Russet
race_yukon_gold,Yukon Gold
race_sweet_potato,Zoete Aardappel
race_purple_majesty,Purple Majesty
country_spudland,Spudland
country_potatopia,Potatopia
country_tuberstan,Tuberstan
country_north_yamnea,Noord-Yamnea
country_spuddington,Spuddington
country_tatcross,Tatcross
country_mash_meadows,Pureeweiden
country_tuberville,Tuberville
country_chip_hill,Frietheuvel
country_murphyland,Murphyland
country_colcannon,Colcannon
country_pratie_point,Pratie Point
