keys,fi
sex_male,Mies
sex_female,Nainen
condition_fresh,Tuore
condition_extra_eyes,Lisäsilmät
condition_rotten,Mädäntynyt
condition_sprouted,Itänyt
condition_dehydrated,Kuivattu
condition_frozen,Pakastettu
race_russet,Russet
race_yukon_gold,Yukon Gold
race_sweet_potato,Bataatti
race_purple_majesty,Purppuramajesteetti
country_spudland,Perunamaa
country_potatopia,Perunatopia
country_tuberstan,Mukulistan
country_north_yamnea,Pohjois-Jamnea
country_spuddington,Perunalaakso
country_tatcross,Perunaristeys
country_mash_meadows,Muusiniityt
country_tuberville,Mukulakylä
country_chip_hill,Sipsimäki
country_murphyland,Murphynmaa
country_colcannon,Colcannon
country_pratie_point,Perunanniemi
