keys,da
sex_male,Mand
sex_female,Kvinde
condition_fresh,Frisk
condition_extra_eyes,Ekstra øjne
condition_rotten,Rådden
condition_sprouted,Spiret
condition_dehydrated,Dehydreret
condition_frozen,Frossen
race_russet,Russet
race_yukon_gold,Yukon Gold
race_sweet_potato,Sødkartoffel
race_purple_majesty,Lilla Majestæt
country_spudland,Kartoffelland
country_potatopia,Kartoffeltopia
country_tuberstan,Knoldstan
country_north_yamnea,Nord Yamnea
country_spuddington,Kartoffelton
country_tatcross,Tatkryds
country_mash_meadows,Mos Enge
country_tuberville,Knoldby
country_chip_hill,Chipsbakke
country_murphyland,Murphyland
country_colcannon,Colcannon
country_pratie_point,Pratie Punkt
