keys,sk
alert_border_runner,POHRANIČNÝ BEŽEC DETEGOVANÝ!\nKliknite na odpálenie rakety!
alert_rejected_fleeing,ZAMIETNUTÝ ZEMIAK UNIKÁ!\nKliknite na odpálenie rakety!
alert_runner_escaped,BEŽEC UNIKOL!\nStrike pridaný!
citation_runner_escaped,Bežec unikol! Nepodarilo sa vám ho včas zadržať.
alert_points_deducted,BEŽEC UNIKOL!\nStrike pridaný!\n-{penalty} bodov!
alert_perfect_hit,PERFEKTNÝ ZÁSAH! +{perfect} bodov bonusu presnosti
alert_perfect_stamp,PERFEKTNÁ PEČIATKA! +{points} bodov!
alert_combo,KOMBINÁCIA x{mult}! +{streak} bodov bonusu kombinácie
alert_quota_met,"Kvóta splnená, zmena dokončená! \nBonus: {bonus} bodov!"
alert_strike_removed,Strike odstránený!
alert_correct_decision,"Vybrali ste správne, dôstojník.\n+{points} bodov!"
alert_wrong_decision,"Spôsobili ste zbytočné utrpenie, dôstojník...\n+1 Strike!"
alert_potato_should_be_approved,\nTento zemiak spĺňa všetky požiadavky a mal by byť schválený.
incorrect_decision,Nesprávne rozhodnutie pri spracovaní dokumentu.
alert_strike_out,Maximálny počet strikes prekročený! Vaša zmena sa skončila.
ui_score,Skóre: {score}
ui_quota,Kvóta: {current} / {target}
ui_strikes,Pokuty: {current} / {max}
ui_click_megaphone,Kliknite na megafón pre vyvolanie ďalšieho zemiaka
ui_drag_document,Presuňte dokument na inšpekčný stôl
ui_stamp_document,Vyberte pečiatku na schválenie alebo zamietnutie
ui_check_violations,Skontrolujte porušenia dokumentu
Strike removed!,Strike odstránený!
BORDER RUNNER DETECTED!\nClick to launch missile!,POHRANIČNÝ BEŽEC DETEGOVANÝ!\nKliknite na odpálenie rakety!
REJECTED POTATO FLEEING!\nClick to launch missile!,ZAMIETNUTÝ ZEMIAK UNIKÁ!\nKliknite na odpálenie rakety!
RUNNER ESCAPED!\nStrike added!,BEŽEC UNIKOL!\nStrike pridaný!
