keys,ro
Character/173/name,Crainic radio
Character/174/name,Ofițer coleg
Character/175/name,Narator
Character/176/name,Cartof tăcut
Character/177/name,Cartof îngrijorat
Character/178/name,Cartof antic
Character/179/name,Tu
Character/17a/name,Prim-ministru Idaho
Character/17b/name,Liderul rezistenței
Character/17c/name,Membru neîncrezător al rezistenței
Character/17d/name,Membru îndrăzneț al rezistenței
Character/17e/name,Șef de securitate
Character/17f/name,Ofițer de securitate
Character/180/name,Cartof Piurescu
Character/181/name,Supervizor Russet
Character/181/nicknames,"Russ,Russet,Supervizor Russet"
Character/182/name,Cartof dulce Sasha
Character/183/name,Călător agitat
Character/183/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
