keys,ro
alert_border_runner,FUGARUL DE FRONTIERĂ DETECTAT!\nApasă pentru a lansa racheta!
alert_rejected_fleeing,CARTOF RESPINS FUGIND!\nApasă pentru a lansa racheta!
alert_runner_escaped,FUGAR SCĂPAT!\nStrike adăugat!
citation_runner_escaped,Un fugar a scăpat! Nu ai reușit să-l interceptezi la timp.
alert_points_deducted,FUGAR SCĂPAT!\nStrike adăugat!\n-{penalty} puncte!
alert_perfect_hit,LOVITURĂ PERFECTĂ! +{perfect} puncte bonus de precizie
alert_perfect_stamp,ȘTAMPILĂ PERFECTĂ! +{points} puncte!
alert_combo,COMBO x{mult}! +{streak} puncte bonus combo
alert_quota_met,"Cotă îndeplinită, tură terminată! \nBonus: {bonus} puncte!"
alert_strike_removed,Strike eliminat!
alert_strike_forgiven,+1 Strike Forgiven!
alert_correct_decision,"Ai luat decizia corectă, ofițer.\n+{points} puncte!"
alert_wrong_decision,"Ai cauzat suferință inutilă, ofițer...\n+1 Strike!"
alert_potato_should_be_approved,\nAcest cartof îndeplinește toate cerințele și ar fi trebuit aprobat.
incorrect_decision,Decizie incorectă în procesarea documentului.
alert_strike_out,Număr maxim de strike-uri depășit! Tura ta s-a încheiat.
ui_score,Scor: {score}
ui_quota,Cotă: {current} / {target}
ui_strikes,Strike-uri: {current} / {max}
ui_click_megaphone,Apasă megafonul pentru a chema următorul cartof
ui_drag_document,Trage documentul la masa de inspecție
ui_stamp_document,Selectează o ștampilă pentru a aproba sau respinge
ui_check_violations,Verifică încălcările documentului
Strike removed!,Strike eliminat!
BORDER RUNNER DETECTED!\nClick to launch missile!,FUGARUL DE FRONTIERĂ DETECTAT!\nApasă pentru a lansa racheta!
REJECTED POTATO FLEEING!\nClick to launch missile!,CARTOF RESPINS FUGIND!\nApasă pentru a lansa racheta!
RUNNER ESCAPED!\nStrike added!,FUGAR SCĂPAT!\nStrike adăugat!
Click megaphone to call the next potato,Apasă megafonul pentru a chema următorul cartof
