keys,en,cs,da,de,es,fi,fr,hu,id,it,nl,no,pl,pt,ro,sk,sv,tr,vi,
alert_border_runner,BORDER RUNNER DETECTED!\nClick to launch missile!,POTVRZEN UPRCHLÍK NA HRANICI!\nKlikněte pro vypuštění rakety!,GRÆNSELØBER OPDAGET!\nKlik for at affyre missil!,"GRENZLÄUFER ENTDECKT!\nKlicken Sie, um Rakete zu starten!",¡CORREDOR FRONTERIZO DETECTADO!\nHaz clic para lanzar misil!,RAJARIKOLLINEN HAVAITTU!\nKlikkaa lähettääksesi ohjuksen!,COUREUR FRONTALIER DÉTECTÉ !\nCliquez pour lancer le missile !,HATÁRMETSZŐ ÉSZLELVE!\nKattintson a rakéta indításához!,PELARI PERBATASAN TERDETEKSI!\nKlik untuk meluncurkan rudal!,CORRIDORE AL CONFINE RILEVATO!\nClicca per lanciare il missile!,GRENSOVERTREDER GEDETECTEERD!\nKlik om raket te lanceren!,GRENSELØPER OPPDAGET!\nKlikk for å avfyre missil!,"NARUSZYCIEL GRANICY WYKRYTY!\nKliknij, aby wystrzelić pocisk!",CORREDOR DE FRONTEIRA DETECTADO!\nClique para lançar míssil!,FUGARUL DE FRONTIERĂ DETECTAT!\nApasă pentru a lansa racheta!,POHRANIČNÝ BEŽEC DETEGOVANÝ!\nKliknite na odpálenie rakety!,GRÄNSlöpare UPPTÄCKT!\nKlicka för att avfyra missil!,SINIR KAÇAKÇISI TESPİT EDİLDİ!\nFüzeyi fırlatmak için tıklayın!,NGƯỜI CHẠY BIÊN GIỚI ĐƯỢC PHÁT HIỆN!\nNhấp để phóng tên lửa!,
alert_rejected_fleeing,REJECTED POTATO FLEEING!\nClick to launch missile!,ODMÍTNUTÝ BRAMBOR NA ÚTĚKU!\nKlikněte pro vypuštění rakety!,AFVIST KARTOFFEL FLYGTER!\nKlik for at affyre missil!,"ABGELEHNTER KARTOFFEL FLIEHT!\nKlicken Sie, um Rakete zu starten!",¡PATATA RECHAZADA HUYENDO!\nHaz clic para lanzar misil!,HYLÄTTY PERUNA PAKENEE!\nKlikkaa lähettääksesi ohjuksen!,POMME DE TERRE REJETÉE EN FUITE !\nCliquez pour lancer le missile !,ELUTASÍTOTT KRUMPLI MENEKÜL!\nKattintson a rakéta indításához!,KENTANG DITOLAK MELARIKAN DIRI!\nKlik untuk meluncurkan rudal!,PATATA RESPINTA IN FUGA!\nClicca per lanciare il missile!,AFGEWEZEN AARDAPPEL VLUCHT!\nKlik om raket te lanceren!,AVVIST POTET RØMMER!\nKlikk for å avfyre missil!,"ODRZUCONY ZIEMNIAK UCIEKA!\nKliknij, aby wystrzelić pocisk!",BATATA REJEITADA FUGINDO!\nClique para lançar míssil!,CARTOF RESPINS FUGIND!\nApasă pentru a lansa racheta!,ZAMIETNUTÝ ZEMIAK UNIKÁ!\nKliknite na odpálenie rakety!,AVVISAD POTATIS FLYR!\nKlicka för att avfyra missil!,REDDEDİLEN PATATES KAÇIYOR!\nFüzeyi fırlatmak için tıklayın!,KHOAI TÂY BỊ TỪ CHỐI ĐANG CHẠY!\nNhấp để phóng tên lửa!,
alert_runner_escaped,RUNNER ESCAPED!\nStrike added!,UPRCHLÍK UNIKL!\nPřidán trestný bod!,LØBER UNDSLUPPET!\nStrike tilføjet!,LÄUFER ENTKOMMEN!\nStrike hinzugefügt!,¡CORREDOR ESCAPADO!\nStrike añadido!,PAKOLAINEN KARANNUT!\nIsku lisätty!,COUREUR ÉCHAPPÉ !\nStrike ajouté !,FUTÁR ELMENEKÜLT!\nStrike hozzáadva!,PELARI LOLOS!\nStrike ditambahkan!,CORRIDORE FUGGITO!\nStrike aggiunto!,HARDLOPER ONTSNAPT!\nStrike toegevoegd!,LØPER UNNSLUPPET!\nStrike lagt til!,UCIEKINIER ZBIEGŁ!\nDodano Strike!,CORREDOR ESCAPOU!\nStrike adicionado!,FUGAR SCĂPAT!\nStrike adăugat!,BEŽEC UNIKOL!\nStrike pridaný!,LÖPARE RYMT!\nStrike tillagd!,KAÇAK KAÇTI!\nStrike eklendi!,NGƯỜI CHẠY TRỐN THOÁT!\nThêm Strike!,
alert_points_deducted,RUNNER ESCAPED!\nStrike added!\n-{penalty} points!,UPRCHLÍK UNIKL!\nPřidán trestný bod!\n-{penalty} bodů!,LØBER UNDSLUPPET!\nStrike tilføjet!\n-{penalty} point!,LÄUFER ENTKOMMEN!\nStrike hinzugefügt!\n-{penalty} Punkte!,¡CORREDOR ESCAPADO!\nStrike añadido!\n-{penalty} puntos!,PAKOLAINEN KARANNUT!\nIsku lisätty!\n-{penalty} pistettä!,COUREUR ÉCHAPPÉ !\nStrike ajouté !\n-{penalty} points !,FUTÁR ELMENEKÜLT!\nStrike hozzáadva!\n-{penalty} pont!,PELARI LOLOS!\nStrike ditambahkan!\n-{penalty} poin!,CORRIDORE FUGGITO!\nStrike aggiunto!\n-{penalty} punti!,HARDLOPER ONTSNAPT!\nStrike toegevoegd!\n-{penalty} punten!,LØPER UNNSLUPPET!\nStrike lagt til!\n-{penalty} poeng!,UCIEKINIER ZBIEGŁ!\nDodano Strike!\n-{penalty} punktów!,CORREDOR ESCAPOU!\nStrike adicionado!\n-{penalty} pontos!,FUGAR SCĂPAT!\nStrike adăugat!\n-{penalty} puncte!,BEŽEC UNIKOL!\nStrike pridaný!\n-{penalty} bodov!,LÖPARE RYMT!\nStrike tillagd!\n-{penalty} poäng!,KAÇAK KAÇTI!\nStrike eklendi!\n-{penalty} puan!,NGƯỜI CHẠY TRỐN THOÁT!\nThêm Strike!\n-{penalty} điểm!,
alert_perfect_hit,PERFECT HIT! +{perfect} accuracy bonus points,PERFEKTNÍ ZÁSAH! +{perfect} bonusových bodů za přesnost,PERFEKT TRÆF! +{perfect} præcisionsbonus point,PERFEKTER TREFFER! +{perfect} Präzisionsbonus-Punkte,¡GOLPE PERFECTO! +{perfect} puntos de bono de precisión,TÄYDELLINEN OSUMA! +{perfect} tarkkuusbonus pistettä,COUP PARFAIT ! +{perfect} points de bonus de précision,TÖKÉLETES TALÁLAT! +{perfect} pontossági bónusz pont,PUKULAN SEMPURNA! +{perfect} poin bonus akurasi,COLPO PERFETTO! +{perfect} punti bonus precisione,PERFECTE TREFFER! +{perfect} nauwkeurigheidsbonus punten,PERFEKT TREFF! +{perfect} presisjonsbonuspoeng,IDEALNY STRZAŁ! +{perfect} punktów bonusu celności,GOLPE PERFEITO! +{perfect} pontos de bônus de precisão,LOVITURĂ PERFECTĂ! +{perfect} puncte bonus de precizie,PERFEKTNÝ ZÁSAH! +{perfect} bodov bonusu presnosti,PERFEKT TRÄFF! +{perfect} precisionsbonus poäng,MÜKEMMEL İSABET! +{perfect} isabetlilik bonus puanı,PHÁT BẮN HOÀN HẢO! +{perfect} điểm thưởng độ chính xác,
alert_perfect_stamp,PERFECT STAMP! +{points} points!,PERFEKTNÍ RAZÍTKO! +{points} bodů!,PERFEKT STEMPEL! +{points} point!,PERFEKTER STEMPEL! +{points} Punkte!,¡SELLO PERFECTO! +{points} puntos!,TÄYDELLINEN LEIMA! +{points} pistettä!,TAMPON PARFAIT ! +{points} points !,TÖKÉLETES BÉLYEGZÉS! +{points} pont!,STEMPEL SEMPURNA! +{points} poin!,TIMBRO PERFETTO! +{points} punti!,PERFECT STEMPEL! +{points} punten!,PERFEKT STEMPEL! +{points} poeng!,IDEALNY STEMPEL! +{points} punktów!,CARIMBO PERFEITO! +{points} pontos!,ȘTAMPILĂ PERFECTĂ! +{points} puncte!,PERFEKTNÁ PEČIATKA! +{points} bodov!,PERFEKT STÄMPEL! +{points} poäng!,MÜKEMMEL DAMGA! +{points} puan!,ĐÓNG DẤU HOÀN HẢO! +{points} điểm!,
alert_combo,COMBO x{mult}! +{streak} combo bonus points,KOMBO x{mult}! +{streak} bonusových bodů za sérii,COMBO x{mult}! +{streak} combo bonuspoint,COMBO x{mult}! +{streak} Combo-Bonuspunkte,¡COMBO x{mult}! +{streak} puntos de bono de combo,YHDISTELMÄ x{mult}! +{streak} yhdistelmäbonus pistettä,COMBO x{mult} ! +{streak} points de bonus de combo,KOMBÓ x{mult}! +{streak} kombó bónusz pont,KOMBO x{mult}! +{streak} poin bonus kombo,COMBO x{mult}! +{streak} punti bonus combo,COMBO x{mult}! +{streak} combo bonuspunten,COMBO x{mult}! +{streak} combo bonuspoeng,COMBO x{mult}! +{streak} punktów bonusu combo,COMBO x{mult}! +{streak} pontos de bônus de combo,COMBO x{mult}! +{streak} puncte bonus combo,KOMBINÁCIA x{mult}! +{streak} bodov bonusu kombinácie,COMBO x{mult}! +{streak} combo bonuspoäng,KOMBO x{mult}! +{streak} kombo bonus puanı,COMBO x{mult}! +{streak} điểm thưởng combo!,
alert_quota_met,"Quota met, shift completed! \nBonus: {bonus} points!","Kvóta splněna, směna dokončena! \nBonus: {bonus} bodů!","Kvote opfyldt, vagt afsluttet! \nBonus: {bonus} point!","Quote erfüllt, Schicht beendet! \nBonus: {bonus} Punkte!","¡Cuota cumplida, turno completado! \nBono: {bonus} puntos!","Kiintiö täytetty, vuoro suoritettu! \nBonus: {bonus} pistettä!","Quota atteint, service terminé ! \nBonus : {bonus} points !","Kvóta teljesítve, műszak befejezve! \nBónusz: {bonus} pont!","Kuota terpenuhi, shift selesai! \nBonus: {bonus} poin!","Quota raggiunta, turno completato! \nBonus: {bonus} punti!","Quotum behaald, dienst voltooid! \nBonus: {bonus} punten!","Kvote oppnådd, vakt fullført! \nBonus: {bonus} poeng!","Limit osiągnięty, zmiana zakończona! \nBonus: {bonus} punktów!","Cota atingida, turno concluído! \nBônus: {bonus} pontos!","Cotă îndeplinită, tură terminată! \nBonus: {bonus} puncte!","Kvóta splnená, zmena dokončená! \nBonus: {bonus} bodov!","Kvot uppnådd, pass avslutat! \nBonus: {bonus} poäng!","Kota tamamlandı, vardiya bitti! \nBonus: {bonus} puan!","Đã đạt ngạch, ca làm việc hoàn tất! \nThưởng: {bonus} điểm!",
alert_strike_removed,Strike removed!,Trestný bod odstraněn!,Strike fjernet!,Strike entfernt!,¡Strike eliminado!,Isku poistettu!,Strike retiré !,Strike eltávolítva!,Strike dihapus!,Strike rimosso!,Strike verwijderd!,Strike fjernet!,Strike usunięty!,Strike removido!,Strike eliminat!,Strike odstránený!,Strike borttagen!,Strike kaldırıldı!,Xóa Strike!,
alert_correct_decision,"You made the right choice, officer.\n+{points} points!","Učinil jste správné rozhodnutí, důstojníku.\n+{points} bodů!","Du traf det rigtige valg, betjent.\n+{points} point!","Sie haben die richtige Entscheidung getroffen, Offizier.\n+{points} Punkte!","Has tomado la decisión correcta, oficial.\n+{points} puntos!","Teit oikean valinnan, poliisi.\n+{points} pistettä!","Vous avez fait le bon choix, officier.\n+{points} points !","Jó döntést hozott, tiszt.\n+{points} pont!","Anda membuat pilihan yang benar, petugas.\n+{points} poin!","Hai fatto la scelta giusta, ufficiale.\n+{points} punti!","U heeft de juiste keuze gemaakt, agent.\n+{points} punten!","Du tok det rette valget, betjent.\n+{points} poeng!","Podjąłeś słuszną decyzję, funkcjonariuszu.\n+{points} punktów!","Você tomou a decisão certa, oficial.\n+{points} pontos!","Ai luat decizia corectă, ofițer.\n+{points} puncte!","Vybrali ste správne, dôstojník.\n+{points} bodov!","Du tog rätt beslut, polis.\n+{points} poäng!","Doğru kararı verdiniz, memur.\n+{points} puan!","Bạn đã đưa ra quyết định đúng, sĩ quan.\n+{points} điểm!",
