keys,hu
Character/173/name,Rádióbemondó
Character/174/name,Tiszttárs
Character/175/name,Narrátor
Character/176/name,Csendes Burgonya
Character/177/name,Aggódó Burgonya
Character/178/name,Ősi Burgonya
Character/179/name,Te
Character/17a/name,Idaho Miniszterelnök
Character/17b/name,Ellenállás Vezető
Character/17c/name,Bizalmatlan Ellenállási Tag
Character/17d/name,Szemtelen Ellenállási Tag
Character/17e/name,Biztonsági Főnök
Character/17f/name,Biztonsági Tiszt
Character/180/name,Krumpli Törő
Character/181/name,Russet Felügyelő
Character/181/nicknames,"Russ,Russet,Russet Felügyelő"
Character/182/name,Édesburgonya Sasha
Character/183/name,Ideges Utazó
Character/183/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
Character/184/name,Viktor
