keys,zh-TW
sex_male,男性
sex_female,女性
condition_fresh,新鮮
condition_extra_eyes,額外眼睛
condition_rotten,腐爛
condition_sprouted,發芽
condition_dehydrated,脫水
condition_frozen,冷凍
race_russet,褐皮馬鈴薯
race_yukon_gold,育空黃金馬鈴薯
race_sweet_potato,地瓜
race_purple_majesty,紫色貴族馬鈴薯
country_spudland,薯國
country_potatopia,薯托邦
country_tuberstan,塊莖斯坦
country_north_yamnea,北芋尼亞
country_spuddington,薯丁頓
country_tatcross,薯塔克羅斯
country_mash_meadows,薯泥草原
country_tuberville,塊莖維爾
country_chip_hill,薯片山
country_murphyland,墨菲薯國
country_colcannon,科爾坎農
country_pratie_point,普拉蒂角
