keys,pl
Text/131/text,"Kulisz się, gdy bitwa szaleje. Przepraszam, Sasha. [color=STEEL_BLUE]Nie jestem tak odważny jak ty[/color]."
Text/132/text,[color=CRIMSON]Atak terrorystyczny[/color] został odparty! Przywódcy są właśnie [color=DARK_VIOLET]przetwarzani[/color].
Text/133/text,"Wódz Yukon wciąga członków ruchu oporu w łańcuchach, Sasha wśród nich. ""Ci [color=CRIMSON]zdrajcy[/color] zostaną poddani [color=DARK_VIOLET]końcowemu przetworzeniu[/color]."""
Text/134/text,"Sasha łapie twoje spojrzenie. Pomimo siniaków, jej wzrok zawiera [wave amp=15 freq=2][color=CHARTREUSE]brak osądu, tylko smutek[/color][/wave]."
Text/135/text,"Przetrwałeś, trzymając głowę spuszczoną, ale [pulse freq=3][color=GOLD]jakim kosztem?[/color][/pulse] Gdy produkcja [color=DARK_VIOLET]Zapasu Korzeni[/color] unosi się z fabryki, twój żołądek się przewraca."
Text/136/text,Może jest jeszcze szansa od wewnątrz. Albo może po prostu uspokajasz swoje sumienie.
Text/137/text,[tornado radius=3 freq=2][color=CHARTREUSE]Opuszczasz swoje stanowisko[/color][/tornado] i biegniesz w stronę walki. Czas na ostrożność minął.
Text/138/text,"[pulse freq=3][color=GOLD]Udowodnij, że jesteś z nami![/color][/pulse] Skąd znasz Sashę?"
Text/139/text,"[color=CHARTREUSE]Korzenie rosną głęboko![/color] Jestem z punktu kontrolnego, Sasha mnie zwerbowała!"
Text/13a/text,Zabierają ją właśnie do zakładu przetwórczego. Musimy się pospieszyć!
Text/13b/text,"Drzwi wybuchają, odsłaniając [wave amp=25 freq=3][color=CRIMSON]przerażającą prawdę[/color][/wave] - maszyny mielące, przenośniki niosące ziemniaki na zagładę."
Text/13c/text,Na końcu jednego z pasów - Sasha i inni [color=CRIMSON]bezradnie związani[/color]. Nadzorca Russet stoi przy kontrolkach.
Text/13d/text,"[color=RED]TY![/color] Powinienem był wiedzieć, że jesteś jednym z nich! Cofnij się, albo uruchomię procesor!"
Text/13e/text,"Gdy bojownicy ruchu oporu obezwładniają Russeta, Sasha przekierowuje kamery zakładu. [color=YELLOW]Ludzie ze Spud! To jest Zapas Korzeni! Karmili nas sobą nawzajem![/color]"
Text/13f/text,Wróciłeś po mnie. [color=CHARTREUSE]Udało nam się. Prawda jest już na zewnątrz.[/color] Mamy przyszłość do zbudowania!
