keys,en,cs,da,de,es,fi,fr,hu,id,it,nl,no,pl,pt,ro,sk,sv,tr,vi
Text/156/text,Welcome to [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse],Vítejte ve [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse],Velkommen til [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse],Willkommen bei [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse],¡Bienvenido a [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse],Tervetuloa [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse] -koulutukseen!,Bienvenue à [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse],Üdvözöljük a [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse] képzésen!,Selamat datang di [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse],Benvenuto a [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse],Welkom bij [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse],Velkommen til [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse],Witamy w [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse],Bem-vindo ao [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse],Bine ați venit la [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse],Vitajte v [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse],Välkommen till [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse],[pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training'e[/color][/pulse] Hoş Geldiniz!,Chào mừng đến với [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse]
Text/157/text,This training will teach you the [wave amp=15 freq=2][color=DARK_ORANGE]essential skills[/color][/wave] needed to protect Spud's borders.,Tento výcvik vás naučí [wave amp=15 freq=2][color=DARK_ORANGE]základní dovednosti[/color][/wave] potřebné k ochraně hranic Spudu.,Denne træning vil lære dig de [wave amp=15 freq=2][color=DARK_ORANGE]væsentlige færdigheder[/color][/wave] der er nødvendige for at beskytte Spuds grænser.,"Diese Schulung vermittelt Ihnen die [wave amp=15 freq=2][color=DARK_ORANGE]wesentlichen Fähigkeiten[/color][/wave], die zum Schutz der Grenzen von Spud erforderlich sind.",Esta capacitación te enseñará las [wave amp=15 freq=2][color=DARK_ORANGE]habilidades esenciales[/color][/wave] necesarias para proteger las fronteras de Spud.,"Tämä koulutus opettaa sinulle [wave amp=15 freq=2][color=DARK_ORANGE]olennaiset taidot[/color][/wave], joita tarvitaan Spudin rajojen suojelemiseen.",Cette formation vous enseignera les [wave amp=15 freq=2][color=DARK_ORANGE]compétences essentielles[/color][/wave] nécessaires pour protéger les frontières de Spud.,"Ez a képzés megtanítja Önnek azokat a [wave amp=15 freq=2][color=DARK_ORANGE]alapvető készségeket[/color][/wave], amelyek szükségesek a Spud határainak védelméhez.",Pelatihan ini akan mengajarkan Anda [wave amp=15 freq=2][color=DARK_ORANGE]keterampilan penting[/color][/wave] yang diperlukan untuk melindungi perbatasan Spud.,Questo addestramento ti insegnerà le [wave amp=15 freq=2][color=DARK_ORANGE]competenze essenziali[/color][/wave] necessarie per proteggere i confini di Spud.,Deze training leert je de [wave amp=15 freq=2][color=DARK_ORANGE]essentiële vaardigheden[/color][/wave] die nodig zijn om de grenzen van Spud te beschermen.,Denne treningen vil lære deg de [wave amp=15 freq=2][color=DARK_ORANGE]viktige ferdighetene[/color][/wave] som er nødvendige for å beskytte Spuds grenser.,To szkolenie nauczy Cię [wave amp=15 freq=2][color=DARK_ORANGE]niezbędnych umiejętności[/color][/wave] potrzebnych do ochrony granic Spud.,Este treinamento irá ensinar-lhe as [wave amp=15 freq=2][color=DARK_ORANGE]habilidades essenciais[/color][/wave] necessárias para proteger as fronteiras de Spud.,Acest antrenament vă va învăța [wave amp=15 freq=2][color=DARK_ORANGE]abilitățile esențiale[/color][/wave] necesare pentru a proteja frontierele Spud.,Tento tréning vás naučí [wave amp=15 freq=2][color=DARK_ORANGE]základné zručnosti[/color][/wave] potrebné na ochranu hraníc Spudu.,Denna utbildning kommer att lära dig de [wave amp=15 freq=2][color=DARK_ORANGE]väsentliga färdigheter[/color][/wave] som behövs för att skydda Spuds gränser.,"Bu eğitim size, Spud'un sınırlarını korumak için gereken [wave amp=15 freq=2][color=DARK_ORANGE]temel becerileri[/color][/wave] öğretecektir.",Khóa đào tạo này sẽ dạy bạn những [wave amp=15 freq=2][color=DARK_ORANGE]kỹ năng thiết yếu[/color][/wave] cần thiết để bảo vệ biên giới của Spud.
Text/158/text,Your duty is to process incoming potatoes at our border checkpoint.,Vaší povinností je zpracovávat příchozí brambory na našem hraničním přechodu.,Din pligt er at behandle indkommende kartofler ved vores grænsekontrol.,"Ihre Aufgabe ist es, einreisende Kartoffeln an unserem Grenzübergang zu bearbeiten.",Tu deber es procesar las patatas entrantes en nuestro puesto fronterizo.,Velvollisuutesi on käsitellä saapuvia perunoita rajanylityspaikassamme.,Votre devoir est de traiter les pommes de terre entrantes à notre poste frontière.,Az Ön feladata a bejövő burgonyák feldolgozása a határátkelőhelyünkön.,Tugas Anda adalah memproses kentang yang masuk di pos perbatasan kami.,Il tuo dovere è processare le patate in arrivo al nostro posto di frontiera.,Je taak is het verwerken van binnenkomende aardappelen bij onze grenspost.,Din plikt er å behandle innkommende poteter ved vår grensekontroll.,Twoim obowiązkiem jest przetwarzanie przybywających ziemniaków na naszym przejściu granicznym.,Seu dever é processar batatas que chegam em nosso posto de fronteira.,Datoria dvs. este să procesați cartofii care intră la punctul nostru de frontieră.,Vašou povinnosťou je spracovávať prichádzajúce zemiaky na našom hraničnom priechode.,Din plikt är att behandla inkommande potatisar vid vår gränskontroll.,"Göreviniz, sınır kontrol noktamızdaki gelen patates işlemlerini yapmaktır.",Nhiệm vụ của bạn là xử lý khoai tây đến tại trạm kiểm soát biên giới của chúng tôi.
Text/159/text,Immigrating potatoes will line up outside your office here.,Imigrující brambory se budou řadit před vaší kanceláří.,Immigrerende kartofler vil stå i kø uden for dit kontor her.,Einwandernde Kartoffeln werden sich vor Ihrem Büro hier anstellen.,Las patatas inmigrantes harán fila fuera de tu oficina aquí.,Maahanmuuttavat perunat jonottavat toimistosi ulkopuolella täällä.,Les pommes de terre immigrantes feront la queue devant votre bureau ici.,A bevándorló burgonyák sorba állnak az irodája előtt itt.,Kentang yang bermigrasi akan berbaris di luar kantor Anda di sini.,Le patate immigranti faranno la fila fuori dal tuo ufficio qui.,Immigrerende aardappelen zullen zich hier buiten je kantoor opstellen.,Immigrerende poteter vil stille seg i kø utenfor kontoret ditt her.,Imigrujące ziemniaki będą ustawiać się w kolejce przed Twoim biurem tutaj.,Batatas imigrantes formarão fila fora do seu escritório aqui.,Cartofii imigranți se vor alinia în afara biroului dvs. de aici.,Imigrujúce zemiaky sa budú radiť pred vašou kanceláriou tu.,Invandrande potatisar kommer att ställa sig i kö utanför ditt kontor här.,Göç eden patatesler burada ofisinizin dışında sıraya girecekler.,Khoai tây nhập cư sẽ xếp hàng bên ngoài văn phòng của bạn ở đây.
Text/15a/text,"To start processing potatoes, you need to open your booth for service with the switch here.",Pro zahájení zpracování brambor musíte otevřít svou budku pro službu pomocí přepínače zde.,For at begynde behandlingen af kartofler skal du åbne din bod for service med kontakten her.,"Um mit der Bearbeitung der Kartoffeln zu beginnen, müssen Sie Ihre Kabine mit dem Schalter hier für den Dienst öffnen.","Para comenzar a procesar patatas, debes abrir tu cabina para el servicio con el interruptor aquí.",Aloittaaksesi perunoiden käsittelyn sinun on avattava koppisi palvelua varten tästä kytkimestä.,"Pour commencer à traiter les pommes de terre, vous devez ouvrir votre guichet de service avec l'interrupteur ici.",A burgonyák feldolgozásának megkezdéséhez meg kell nyitnia a fülkéjét a szolgáltatáshoz az itt található kapcsolóval.,"Untuk mulai memproses kentang, Anda perlu membuka bilik Anda untuk layanan dengan saklar di sini.","Per iniziare a processare le patate, devi aprire il tuo sportello per il servizio con l'interruttore qui.",Om te beginnen met het verwerken van aardappelen moet je je hokje voor dienst openen met de schakelaar hier.,For å begynne å behandle poteter må du åpne luken din for tjeneste med bryteren her.,"Aby rozpocząć przetwarzanie ziemniaków, musisz otworzyć swoje stanowisko do obsługi za pomocą przełącznika tutaj.","Para começar a processar batatas, você precisa abrir sua cabine para serviço com o interruptor aqui.","Pentru a începe procesarea cartofilor, trebuie să deschideți cabina dvs. pentru serviciu cu comutatorul de aici.",Na začatie spracovania zemiakov musíte otvoriť svoju búdku pre službu pomocou prepínača tu.,För att börja behandla potatisar måste du öppna din lucka för service med omkopplaren här.,"Patatesleri işlemeye başlamak için, buradaki anahtarla kabininizi hizmete açmanız gerekiyor.","Để bắt đầu xử lý khoai tây, bạn cần mở quầy của mình để phục vụ với công tắc ở đây."
Text/15b/text,You'll signal each potato to approach your office by tapping the megaphone.,"Každé bramboře signalizujete, aby přistoupila k vaší kanceláři, klepnutím na megafon.",Du signalerer til hver kartoffel at nærme sig dit kontor ved at trykke på megafonen.,"Sie signalisieren jeder Kartoffel, sich Ihrem Büro zu nähern, indem Sie auf das Megaphon tippen.",Señalarás a cada patata que se acerque a tu oficina tocando el megáfono.,Annat jokaiselle perunalle merkin lähestyä toimistoasi napauttamalla megafonia.,Vous signalerez à chaque pomme de terre d'approcher de votre bureau en tapant sur le mégaphone.,"Minden burgonyának jelzi, hogy közelítse meg az irodáját a megafon megérintésével.",Anda akan memberi sinyal setiap kentang untuk mendekati kantor Anda dengan mengetuk megafon.,Segnalerai a ogni patata di avvicinarsi al tuo ufficio toccando il megafono.,Je geeft elke aardappel een signaal om je kantoor te naderen door op de megafoon te tikken.,Du signaliserer til hver potet om å nærme seg kontoret ditt ved å trykke på megafonen.,"Zasygnalizujesz każdemu ziemniakowi, aby zbliżył się do Twojego biura, stukając w megafon.",Você sinalizará cada batata para se aproximar do seu escritório tocando no megafone.,Veți semnala fiecărui cartof să se apropie de biroul dvs. apăsând pe megafon.,"Každému zemiaku signalizujete, aby sa priblížil k vašej kancelárii, poklepaním na megafón.",Du signalerar till varje potatis att närma sig ditt kontor genom att trycka på megafonen.,Megafona dokunarak her patatese ofisinize yaklaşma sinyali vereceksiniz.,Bạn sẽ ra hiệu cho từng củ khoai tây tiếp cận văn phòng của bạn bằng cách nhấn vào loa phóng thanh.
Text/15c/text,Potatoes will enter the booth one by one and present their documents.,Brambory budou vstupovat do budky jedna po druhé a předkládat své dokumenty.,Kartofler vil komme ind i boden en efter en og præsentere deres dokumenter.,Die Kartoffeln betreten die Kabine einzeln und legen ihre Dokumente vor.,Las patatas entrarán a la cabina una por una y presentarán sus documentos.,Perunat tulevat koppiin yksi kerrallaan ja esittävät asiakirjansa.,Les pommes de terre entreront dans le guichet une par une et présenteront leurs documents.,A burgonyák egyenként lépnek be a fülkébe és bemutatják dokumentumaikat.,Kentang akan masuk ke bilik satu per satu dan menyerahkan dokumen mereka.,Le patate entreranno nello sportello una per una e presenteranno i loro documenti.,Aardappelen zullen één voor één het hokje binnenkomen en hun documenten presenteren.,Poteter vil komme inn i luken én etter én og presentere sine dokumenter.,Ziemniaki będą wchodzić do stanowiska jeden po drugim i przedstawiać swoje dokumenty.,As batatas entrarão na cabine uma por uma e apresentarão seus documentos.,Cartofii vor intra în cabină unul câte unul și își vor prezenta documentele.,Zemiaky budú vstupovať do búdky jeden po druhom a predkladať svoje dokumenty.,Potatisar kommer att komma in i luckan en i taget och presentera sina dokument.,Patatesler kabine tek tek girecek ve belgelerini sunacaklar.,Khoai tây sẽ vào quầy từng cái một và trình bày giấy tờ của chúng.
Text/15d/text,"First, move their documents over to the inspection table for a better look.","Nejprve přesuňte jejich dokumenty na inspekční stůl, abyste se na ně mohli lépe podívat.",Først skal du flytte deres dokumenter over til inspektionsbordet for at få et bedre kig.,"Bewegen Sie zunächst ihre Dokumente auf den Inspektionstisch, um sie besser betrachten zu können.","Primero, mueve sus documentos a la mesa de inspección para verlos mejor.",Ensin siirrä heidän asiakirjansa tarkastuspöydälle parempaa tarkastelua varten.,"D'abord, déplacez leurs documents sur la table d'inspection pour mieux les examiner.","Először helyezze át a dokumentumaikat a vizsgálóasztalra, hogy jobban megnézhesse.","Pertama, pindahkan dokumen mereka ke meja pemeriksaan untuk melihat lebih jelas.","Prima, sposta i loro documenti sul tavolo d'ispezione per una visione migliore.",Verplaats eerst hun documenten naar de inspectietafel voor een betere blik.,Først må du flytte dokumentene deres over til inspeksjonsbordet for å få et bedre blikk.,"Najpierw przenieś ich dokumenty na stół inspekcyjny, aby lepiej się im przyjrzeć.","Primeiro, mova os documentos delas para a mesa de inspeção para uma melhor visualização.","Mai întâi, mutați documentele lor pe masa de inspecție pentru o privire mai bună.","Najprv presuňte ich dokumenty na inšpekčný stôl, aby ste sa na ne mohli lepšie pozrieť.","Först, flytta deras dokument till inspektionsbordet för en bättre titt.","İlk olarak, belgelerini daha iyi görmek için inceleme masasına taşıyın.","Đầu tiên, di chuyển giấy tờ của chúng đến bàn kiểm tra để xem kỹ hơn."
Text/15e/text,"Then, look for [tornado radius=3 freq=2][color=YELLOW]expired dates, incorrect information, or signs of forgery[/color][/tornado].","Poté hledejte [tornado radius=3 freq=2][color=YELLOW]prošlá data, nesprávné informace nebo známky padělání[/color][/tornado].","Derefter skal du se efter [tornado radius=3 freq=2][color=YELLOW]udløbne datoer, forkerte oplysninger eller tegn på forfalskning[/color][/tornado].","Achten Sie dann auf [tornado radius=3 freq=2][color=YELLOW]abgelaufene Daten, falsche Informationen oder Anzeichen von Fälschungen[/color][/tornado].","Luego, busca [tornado radius=3 freq=2][color=YELLOW]fechas vencidas, información incorrecta o signos de falsificación[/color][/tornado].","Etsi sitten [tornado radius=3 freq=2][color=YELLOW]vanhentuneita päivämääriä, virheellisiä tietoja tai väärennöksen merkkejä[/color][/tornado].","Ensuite, recherchez les [tornado radius=3 freq=2][color=YELLOW]dates expirées, les informations incorrectes ou les signes de contrefaçon[/color][/tornado].","Ezután keressen [tornado radius=3 freq=2][color=YELLOW]lejárt dátumokat, helytelen információkat vagy hamisítás jeleit[/color][/tornado].","Kemudian, cari [tornado radius=3 freq=2][color=YELLOW]tanggal kedaluwarsa, informasi yang salah, atau tanda pemalsuan[/color][/tornado].","Poi, cerca [tornado radius=3 freq=2][color=YELLOW]date scadute, informazioni errate o segni di contraffazione[/color][/tornado].","Zoek dan naar [tornado radius=3 freq=2][color=YELLOW]verlopen datums, onjuiste informatie of tekenen van vervalsing[/color][/tornado].","Deretter se etter [tornado radius=3 freq=2][color=YELLOW]utløpte datoer, feil informasjon eller tegn på forfalskning[/color][/tornado].","Następnie szukaj [tornado radius=3 freq=2][color=YELLOW]przeterminowanych dat, nieprawidłowych informacji lub oznak fałszerstwa[/color][/tornado].","Em seguida, procure por [tornado radius=3 freq=2][color=YELLOW]datas expiradas, informações incorretas ou sinais de falsificação[/color][/tornado].","Apoi, căutați [tornado radius=3 freq=2][color=YELLOW]date expirate, informații incorecte sau semne de falsificare[/color][/tornado].","Potom hľadajte [tornado radius=3 freq=2][color=YELLOW]neplatné dátumy, nesprávne informácie alebo známky falšovania[/color][/tornado].","Sedan, leta efter [tornado radius=3 freq=2][color=YELLOW]utgångna datum, felaktig information eller tecken på förfalskning[/color][/tornado].","Sonra, [tornado radius=3 freq=2][color=YELLOW]süresi geçmiş tarihler, yanlış bilgiler veya sahtecilik belirtileri[/color][/tornado] arayın.","Sau đó, tìm kiếm [tornado radius=3 freq=2][color=YELLOW]ngày hết hạn, thông tin không chính xác, hoặc dấu hiệu giả mạo[/color][/tornado]."
Text/15f/text,"Your desk has stamps for marking documents, you can click here to pull the stamp bar out.","Váš stůl má razítka pro označování dokumentů, můžete kliknout sem a vysunout lištu s razítky.","Dit skrivebord har stempler til markering af dokumenter, du kan klikke her for at trække stempellinjen ud.","Ihr Schreibtisch verfügt über Stempel zum Kennzeichnen von Dokumenten. Sie können hier klicken, um die Stempelleiste herauszuziehen.","Tu escritorio tiene sellos para marcar documentos, puedes hacer clic aquí para sacar la barra de sellos.","Pöydälläsi on leimoja asiakirjojen merkitsemistä varten, voit napsauttaa tästä vetääksesi leimapalkin ulos.","Votre bureau dispose de tampons pour marquer les documents, vous pouvez cliquer ici pour sortir la barre de tampons.","Az asztalán bélyegzők vannak a dokumentumok megjelöléséhez, kattintson ide a bélyegzősáv kihúzásához.","Meja Anda memiliki stempel untuk menandai dokumen, Anda dapat mengklik di sini untuk menarik keluar bilah stempel.","La tua scrivania ha timbri per marcare i documenti, puoi cliccare qui per estrarre la barra dei timbri.","Je bureau heeft stempels voor het markeren van documenten, je kunt hier klikken om de stempelbalk uit te trekken.","Skrivebordet ditt har stempler for å markere dokumenter, du kan klikke her for å trekke ut stempellinjen.","Twoje biurko ma pieczątki do oznaczania dokumentów, możesz kliknąć tutaj, aby wysunąć pasek pieczątek.","Sua mesa tem carimbos para marcar documentos, você pode clicar aqui para puxar a barra de carimbos.","Biroul dvs. are ștampile pentru marcarea documentelor, puteți face clic aici pentru a scoate bara de ștampile.","Váš stôl má pečiatky na označovanie dokumentov, môžete kliknúť sem a vysunúť lištu s pečiatkami.","Ditt skrivbord har stämplar för att markera dokument, du kan klicka här för att dra ut stämpelraden.","Masanızda belgeleri işaretlemek için damgalar var, damga çubuğunu çıkarmak için buraya tıklayabilirsiniz.","Bàn làm việc của bạn có con dấu để đánh dấu tài liệu, bạn có thể nhấp vào đây để kéo thanh con dấu ra."
Text/160/text,Then place the document under the stamp you want...,"Poté umístěte dokument pod razítko, které chcete použít...","Placer derefter dokumentet under det stempel, du ønsker...",Platzieren Sie dann das Dokument unter dem gewünschten Stempel...,Luego coloca el documento bajo el sello que deseas...,Aseta sitten asiakirja haluamasi leiman alle...,Puis placez le document sous le tampon que vous souhaitez...,Ezután helyezze a dokumentumot a kívánt bélyegző alá...,Kemudian letakkan dokumen di bawah stempel yang Anda inginkan...,Poi posiziona il documento sotto il timbro che desideri...,Plaats vervolgens het document onder de stempel die je wilt gebruiken...,Plasser deretter dokumentet under stempelet du ønsker...,"Następnie umieść dokument pod pieczątką, której chcesz użyć...",Depois coloque o documento sob o carimbo que você deseja...,Apoi plasați documentul sub ștampila pe care o doriți...,"Potom umiestnite dokument pod pečiatku, ktorú chcete použiť...",Placera sedan dokumentet under den stämpel du vill ha...,Ardından belgeyi istediğiniz damganın altına yerleştirin...,Sau đó đặt tài liệu dưới con dấu bạn muốn...
Text/161/text,Click the stamp to mark documents as [color=CHARTREUSE]approved[/color] or [color=CRIMSON]rejected[/color]...,Kliknutím na razítko označíte dokumenty jako [color=CHARTREUSE]schválené[/color] nebo [color=CRIMSON]zamítnuté[/color]...,Klik på stemplet for at markere dokumenter som [color=CHARTREUSE]godkendt[/color] eller [color=CRIMSON]afvist[/color]...,"Klicken Sie auf den Stempel, um Dokumente als [color=CHARTREUSE]genehmigt[/color] oder [color=CRIMSON]abgelehnt[/color] zu kennzeichnen...",Haz clic en el sello para marcar documentos como [color=CHARTREUSE]aprobados[/color] o [color=CRIMSON]rechazados[/color]...,Napsauta leimaa merkitäksesi asiakirjat [color=CHARTREUSE]hyväksytyiksi[/color] tai [color=CRIMSON]hylätyiksi[/color]...,Cliquez sur le tampon pour marquer les documents comme [color=CHARTREUSE]approuvés[/color] ou [color=CRIMSON]rejetés[/color]...,"Kattintson a bélyegzőre, hogy a dokumentumokat [color=CHARTREUSE]jóváhagyottként[/color] vagy [color=CRIMSON]elutasítottként[/color] jelölje meg...",Klik stempel untuk menandai dokumen sebagai [color=CHARTREUSE]disetujui[/color] atau [color=CRIMSON]ditolak[/color]...,Clicca sul timbro per marcare i documenti come [color=CHARTREUSE]approvati[/color] o [color=CRIMSON]respinti[/color]...,Klik op de stempel om documenten te markeren als [color=CHARTREUSE]goedgekeurd[/color] of [color=CRIMSON]afgewezen[/color]...,Klikk på stempelet for å markere dokumenter som [color=CHARTREUSE]godkjent[/color] eller [color=CRIMSON]avvist[/color]...,"Kliknij pieczątkę, aby oznaczyć dokumenty jako [color=CHARTREUSE]zatwierdzone[/color] lub [color=CRIMSON]odrzucone[/color]...",Clique no carimbo para marcar documentos como [color=CHARTREUSE]aprovados[/color] ou [color=CRIMSON]rejeitados[/color]...,Faceți clic pe ștampilă pentru a marca documentele ca [color=CHARTREUSE]aprobate[/color] sau [color=CRIMSON]respinse[/color]...,Kliknutím na pečiatku označíte dokumenty ako [color=CHARTREUSE]schválené[/color] alebo [color=CRIMSON]zamietnuté[/color]...,Klicka på stämpeln för att markera dokument som [color=CHARTREUSE]godkända[/color] eller [color=CRIMSON]avvisade[/color]...,Belgeleri [color=CHARTREUSE]onaylanmış[/color] veya [color=CRIMSON]reddedilmiş[/color] olarak işaretlemek için damgaya tıklayın...,Nhấp vào con dấu để đánh dấu tài liệu là [color=CHARTREUSE]đã phê duyệt[/color] hoặc [color=CRIMSON]từ chối[/color]...
Text/162/text,And drag the document back to the potato to finalize your decision!,"A přetáhněte dokument zpět k bramboře, abyste dokončili své rozhodnutí!",Og træk dokumentet tilbage til kartoflen for at afslutte din beslutning!,"Und ziehen Sie das Dokument zurück zur Kartoffel, um Ihre Entscheidung abzuschließen!",¡Y arrastra el documento de vuelta a la patata para finalizar tu decisión!,Ja vedä asiakirja takaisin perunalle päätöksesi viimeistelemiseksi!,Et faites glisser le document vers la pomme de terre pour finaliser votre décision !,"És húzza vissza a dokumentumot a burgonyához, hogy véglegesítse döntését!",Dan seret dokumen kembali ke kentang untuk menyelesaikan keputusan Anda!,E trascina il documento indietro alla patata per finalizzare la tua decisione!,En sleep het document terug naar de aardappel om je beslissing definitief te maken!,Og dra dokumentet tilbake til poteten for å fullføre beslutningen din!,"I przeciągnij dokument z powrotem do ziemniaka, aby sfinalizować swoją decyzję!",E arraste o documento de volta para a batata para finalizar sua decisão!,Și trageți documentul înapoi la cartof pentru a finaliza decizia dvs.!,"A potiahnite dokument späť k zemiaku, aby ste dokončili svoje rozhodnutie!",Och dra dokumentet tillbaka till potatisen för att slutföra ditt beslut!,Ve kararınızı sonlandırmak için belgeyi patatese geri sürükleyin!,Và kéo tài liệu trở lại củ khoai tây để hoàn tất quyết định của bạn!
Text/163/text,"Sometimes, potatoes will try to [color=CRIMSON]rush past your checkpoint[/color].",Někdy se brambory pokusí [color=CRIMSON]proběhnout kolem vašeho kontrolního stanoviště[/color].,Nogle gange vil kartofler forsøge at [color=CRIMSON]skynde sig forbi dit kontrolpunkt[/color].,"Manchmal versuchen Kartoffeln, [color=CRIMSON]an Ihrem Kontrollpunkt vorbeizueilen[/color].","A veces, las patatas intentarán [color=CRIMSON]pasar corriendo por tu punto de control[/color].",Joskus perunat yrittävät [color=CRIMSON]kiirehtiä tarkastuspisteesi ohi[/color].,"Parfois, les pommes de terre essaieront de [color=CRIMSON]se précipiter devant votre point de contrôle[/color].",Néha a burgonyák megpróbálnak [color=CRIMSON]átfutni az ellenőrzőpontján[/color].,"Terkadang, kentang akan mencoba [color=CRIMSON]melewati pos pemeriksaan Anda dengan cepat[/color].","A volte, le patate cercheranno di [color=CRIMSON]correre oltre il tuo posto di controllo[/color].",Soms zullen aardappelen proberen om [color=CRIMSON]langs je controlepunt te rennen[/color].,Noen ganger vil poteter prøve å [color=CRIMSON]skynde seg forbi kontrollpunktet ditt[/color].,Czasami ziemniaki będą próbowały [color=CRIMSON]przebiec przez twój punkt kontrolny[/color].,"Às vezes, as batatas tentarão [color=CRIMSON]passar correndo pelo seu posto de controle[/color].","Uneori, cartofii vor încerca să [color=CRIMSON]treacă în grabă pe lângă punctul dvs. de control[/color].",Niekedy sa zemiaky pokúsia [color=CRIMSON]prebehnúť okolo vášho kontrolného stanovišťa[/color].,Ibland kommer potatisar att försöka [color=CRIMSON]rusa förbi din kontrollpunkt[/color].,Bazen patatesler [color=CRIMSON]kontrol noktanızı koşarak geçmeye çalışacaklar[/color].,"Đôi khi, khoai tây sẽ cố gắng [color=CRIMSON]chạy nhanh qua trạm kiểm soát của bạn[/color]."
