keys,sv
dialogue_spud_being_called_1,"Nästa steg, ditt öde väntar."
dialogue_spud_being_called_2,"Längst fram i kön, sanningens ögonblick närmar sig."
dialogue_spud_being_called_3,"Stig fram, vald av knölväsendet."
dialogue_spud_being_called_4,Gratulerar! Din väntan har lyckats.
dialogue_spud_being_called_5,Den Stora Potatisbyråkratin kallar dig.
dialogue_spud_being_called_6,"Framåt, ädle knöl! Papperen väntar!"
dialogue_spud_being_called_7,Rör dig! Stämpeln blir otålig.
dialogue_spud_being_called_8,Rör dig snabbt! Formulär P-38B behöver fyllas i.
dialogue_spud_being_called_9,"Kom framåt, ödet kräver din inträde."
dialogue_spud_being_called_10,"Närma dig domens disk, knöl."
dialogue_spud_in_office_1,Var vänlig och tålmodig. Tid är en illusion.
dialogue_spud_in_office_2,Väntan bygger karaktär. Och stärkelse.
dialogue_spud_in_office_3,Kön rör sig på mystiska sätt.
dialogue_spud_in_office_4,Din position är noterad av myndigheterna.
dialogue_spud_in_office_5,Att stå i kö: den universella konstanten.
dialogue_spud_in_office_6,Ingen knöl är redo förrän den kryddats av väntan.
dialogue_spud_in_office_7,"Tålamod: inte den enda dygden, men nämnda."
dialogue_spud_in_office_8,Byråkratiska hjul snurrar långsamt. Mycket långsamt.
dialogue_spud_in_office_9,"Ah, procedurinstrumentationens sköna ljud!"
dialogue_spud_in_office_10,Dagens kö är morgondagens anekdot.
dialogue_spud_in_office_11,Tid i köer böjer sig. Den har mätts.
dialogue_spud_in_office_12,Vänteförmåga: Nivå 43 uppnådd!
dialogue_warnings_1,De som motsätter sig kommer att skalas med precision.
dialogue_warnings_2,Kökravallare skickas till Expressberedning.
dialogue_warnings_3,Köstörning utlöser föreläsningar om köer.
dialogue_warnings_4,Olydnad leder till Rummet med Het Olja.
dialogue_warnings_5,"Vi behöver inte vara rättvisa, bara organiserade."
dialogue_warnings_6,Potatisöverensstämmelseutskottet ser allt.
dialogue_warnings_7,Bråkmakare: krossade utan smör.
dialogue_warnings_8,Kaosalstrare blir hash browns. Snabbt.
dialogue_warnings_9,Regelbrytare möter dubbelbakad status.
dialogue_warnings_10,Köauditörer har markerat din existens.
dialogue_warnings_11,Din akt: märkt med den RÖDA stämpeln.
dialogue_misc_1,Var är alla?
dialogue_misc_2,Nödsituation? Fortsätt vänta i ordning.
dialogue_misc_3,Har du läst stycke sju i vänteöverenskommelsen?
dialogue_misc_4,"Förlorad egendom: funnen, beskattad, borttappad."
dialogue_misc_5,"Om en potatis klagar, låter den?"
dialogue_misc_6,Ljus ersatt med skylt: 'Mer Tunnel.'
dialogue_misc_7,Döden är tillfällig. Byråkratin är evig.
dialogue_misc_8,Arkiveringssystemet har uppnått medvetenhet. Förbli lugn.
dialogue_misc_9,Dagens lyckotal betyder ingenting. Förlåt.
dialogue_misc_10,"Apokalyps? Ta ett nummer, vänta på att försvinna."
dialogue_misc_11,Inga bevis betyder fler formulär.
dialogue_document_interaction_1,"Ta dina dokument, tack."
dialogue_document_interaction_2,TA DEM!
dialogue_perfect_stamp_1,Utmärkt arbete!
dialogue_perfect_stamp_2,SÅ stämplar man!
dialogue_perfect_stamp_3,Ypperlig precision!
dialogue_perfect_stamp_4,Stämpelgudarna ler mot dig!
dialogue_perfect_stamp_5,Läroboksteknik!
dialogue_runner_stopped_1,FÅNGAD!
dialogue_runner_stopped_2,Inte på MIN vakt!
dialogue_runner_stopped_3,"Rättvisa skipad, rykande färsk!"
dialogue_runner_stopped_4,Så går det för rymlingar!
dialogue_runner_stopped_5,Mål eliminerat!
dialogue_runner_escaped_1,Fan! De kom undan!
dialogue_runner_escaped_2,Förbannat! För långsamt!
dialogue_runner_escaped_3,Den där slank igenom...
dialogue_runner_escaped_4,Pappersarbetet för det här...
dialogue_runner_escaped_5,Inte mitt bästa ögonblick.
dialogue_wrong_stamp_1,"Vänta, det där stämmer inte..."
dialogue_wrong_stamp_2,"Hmm, var det meningen?"
dialogue_wrong_stamp_3,Bläcket... det förråder mig!
dialogue_wrong_stamp_4,Hoppsan.
dialogue_strike_received_1,Det där hamnar i min akt...
dialogue_strike_received_2,Ministeriet kommer inte att gilla det här.
dialogue_strike_received_3,Ett steg närmare att bli mos...
dialogue_strike_received_4,Anmärkning! Men inte den bra sorten.
