keys,fr
violation_condition_not_fresh,REJETER: Seules les pommes de terre fraîches autorisées. Cette pomme de terre est {condition}
violation_extra_eyes,REJETER: La condition Yeux Supplémentaires est interdite
violation_rotten,REJETER: Les pommes de terre pourries sont interdites
violation_sprouted,REJETER: Les pommes de terre germées sont interdites
violation_dehydrated,REJETER: Les pommes de terre déshydratées sont interdites
violation_frozen,REJETER: Les pommes de terre congelées sont interdites
violation_too_old,REJETER: La pomme de terre a {age} ans (âge maximum: 4 ans)
violation_too_young_3,REJETER: La pomme de terre a {age} ans (âge minimum: 4 ans)
violation_too_young_2,REJETER: La pomme de terre a {age} ans (âge minimum: 3 ans)
violation_males_only,REJETER: Seules les pommes de terre mâles autorisées
violation_females_only,REJETER: Seules les pommes de terre femelles autorisées
violation_country_spudland,REJETER: Toutes les pommes de terre de Spudland sont interdites
violation_country_potatopia,REJETER: Toutes les pommes de terre de Potatopia sont interdites
violation_country_tuberstan,REJETER: Toutes les pommes de terre de Tuberstan sont interdites
violation_country_north_yamnea,REJETER: Toutes les pommes de terre de North Yamnea sont interdites
violation_country_spuddington,REJETER: Toutes les pommes de terre de Spuddington sont interdites
violation_country_tatcross,REJETER: Toutes les pommes de terre de Tatcross sont interdites
violation_country_mash_meadows,REJETER: Toutes les pommes de terre de Mash Meadows sont interdites
violation_country_tuberville,REJETER: Toutes les pommes de terre de Tuberville sont interdites
violation_country_chip_hill,REJETER: Toutes les pommes de terre de Chip Hill sont interdites (restrictions d'exportation)
violation_country_murphyland,REJETER: Toutes les pommes de terre de Murphyland sont interdites
violation_country_colcannon,REJETER: Toutes les pommes de terre de Colcannon sont interdites
violation_country_pratie_point,REJETER: Toutes les pommes de terre de Pratie Point sont interdites
violation_race_purple_majesty,REJETER: Les types Purple Majesty sont interdits
violation_race_sweet_potato,REJETER: Les types de patates douces nécessitent des permis spéciaux (non disponibles)
violation_race_yukon_gold,REJETER: Les types Yukon Gold sont interdits
violation_expired_document,REJETER: Document expiré le {date}
violation_invalid_potato,Cette pomme de terre répond à toutes les exigences et aurait dû être approuvée
