keys,de
LAWS,GESETZE
_VALIDATION MESSAGES,
msg_not_fresh,"Die Kartoffel war %s, muss aber frisch sein"
msg_extra_eyes,"Die Kartoffel hatte Extra Augen, was verboten ist"
msg_rotten,Faule Kartoffeln sind nicht erlaubt
msg_sprouted,Gekeimte Kartoffeln sind nicht erlaubt
msg_dehydrated,Dehydrierte Kartoffeln sind heute nicht erlaubt
msg_frozen,Gefrorene Kartoffeln sind verboten
msg_over_age,Die Kartoffel ist %d Jahre alt (max 5 Jahre)
msg_under_age,Die Kartoffel ist %d Jahre alt (muss über 3 Jahre sein)
_LAWS,
law_fresh_potatoes,[color=dark_goldenrod]NUR frische[/color] Kartoffeln erlaubt - [color=dark_red]ABLEHNEN[/color] alle anderen
law_extra_eyes,[color=dark_goldenrod]Extra Augen[/color] Zustand Kartoffeln müssen [color=dark_red]ABGELEHNT[/color] werden
law_rotten,[color=dark_goldenrod]Faule[/color] Kartoffeln müssen [color=dark_red]ABGELEHNT[/color] werden
law_sprouted,[color=dark_goldenrod]Gekeimte[/color] Kartoffeln müssen [color=dark_red]ABGELEHNT[/color] werden
law_dehydrated,[color=dark_goldenrod]Dehydrierte[/color] Kartoffeln müssen [color=dark_red]ABGELEHNT[/color] werden
law_frozen,[color=dark_goldenrod]Gefrorene[/color] Kartoffeln müssen [color=dark_red]ABGELEHNT[/color] werden
law_over_5_years,Kartoffeln [color=dark_goldenrod]5 Jahre oder älter[/color] müssen [color=dark_red]ABGELEHNT[/color] werden
law_under_3_years,Kartoffeln [color=dark_goldenrod]3 Jahre oder jünger[/color] müssen [color=dark_red]ABGELEHNT[/color] werden
law_under_2_years,Kartoffeln [color=dark_goldenrod]2 Jahre oder jünger[/color] müssen [color=dark_red]ABGELEHNT[/color] werden
law_males_only,[color=dark_goldenrod]NUR männliche[/color] Kartoffeln erlaubt - [color=dark_red]ABLEHNEN[/color] alle weiblichen
law_females_only,[color=dark_goldenrod]NUR weibliche[/color] Kartoffeln erlaubt - [color=dark_red]ABLEHNEN[/color] alle männlichen
law_country_spudland,[color=dark_goldenrod]ALLE[/color] Kartoffeln aus [color=dark_goldenrod]Spudland[/color] müssen [color=dark_red]ABGELEHNT[/color] werden
law_country_potatopia,[color=dark_goldenrod]ALLE[/color] Kartoffeln aus [color=dark_goldenrod]Potatopia[/color] müssen [color=dark_red]ABGELEHNT[/color] werden
law_country_tuberstan,[color=dark_goldenrod]ALLE[/color] Kartoffeln aus [color=dark_goldenrod]Tuberstan[/color] müssen [color=dark_red]ABGELEHNT[/color] werden
law_country_north_yamnea,[color=dark_goldenrod]ALLE[/color] Kartoffeln aus [color=dark_goldenrod]Nord-Yamnea[/color] müssen [color=dark_red]ABGELEHNT[/color] werden
law_country_spuddington,[color=dark_goldenrod]ALLE[/color] Kartoffeln aus [color=dark_goldenrod]Spuddington[/color] müssen [color=dark_red]ABGELEHNT[/color] werden
law_country_tatcross,[color=dark_goldenrod]ALLE[/color] Kartoffeln aus [color=dark_goldenrod]Tatcross[/color] müssen [color=dark_red]ABGELEHNT[/color] werden
law_country_mash_meadows,[color=dark_goldenrod]ALLE[/color] Kartoffeln aus [color=dark_goldenrod]Mash Meadows[/color] müssen [color=dark_red]ABGELEHNT[/color] werden
law_country_tuberville,[color=dark_goldenrod]ALLE[/color] Kartoffeln aus [color=dark_goldenrod]Tuberville[/color] müssen [color=dark_red]ABGELEHNT[/color] werden
law_country_chip_hill,[color=dark_goldenrod]ALLE[/color] Kartoffeln aus [color=dark_goldenrod]Chip Hill[/color] müssen [color=dark_red]ABGELEHNT[/color] werden (Exportverbot)
law_country_murphyland,[color=dark_goldenrod]ALLE[/color] Kartoffeln aus [color=dark_goldenrod]Murphyland[/color] müssen [color=dark_red]ABGELEHNT[/color] werden
law_country_colcannon,[color=dark_goldenrod]ALLE[/color] Kartoffeln aus [color=dark_goldenrod]Colcannon[/color] müssen [color=dark_red]ABGELEHNT[/color] werden
law_country_pratie_point,[color=dark_goldenrod]ALLE[/color] Kartoffeln aus [color=dark_goldenrod]Pratie Point[/color] müssen [color=dark_red]ABGELEHNT[/color] werden
law_purple_majesty,[color=dark_goldenrod]Purple Majesty[/color] Kartoffel-Typen müssen [color=dark_red]ABGELEHNT[/color] werden
law_sweet_potatoes,[color=dark_goldenrod]Süßkartoffel[/color] Typen müssen [color=dark_red]ABGELEHNT[/color] werden (keine Genehmigungen verfügbar)
law_yukon_gold,[color=dark_goldenrod]Yukon Gold[/color] Kartoffel-Typen müssen [color=dark_red]ABGELEHNT[/color] werden
law_fingerling,[color=dark_goldenrod]Fingerling[/color] Kartoffel-Typen müssen [color=dark_red]ABGELEHNT[/color] werden
law_red_bliss,[color=dark_goldenrod]Red Bliss[/color] Kartoffel-Typen müssen [color=dark_red]ABGELEHNT[/color] werden
law_russet,[color=dark_goldenrod]Russet[/color] Kartoffel-Typen müssen [color=dark_red]ABGELEHNT[/color] werden
