keys,uk
Text/156/text,Ласкаво просимо до [pulse freq=2][color=MEDIUM_VIOLET_RED]Картопляної Митниці![/color][/pulse]
Text/157/text,"Це навчання навчить вас [wave amp=15 freq=2][color=DARK_ORANGE]основних навичок[/color][/wave], необхідних для захисту кордонів Спада."
Text/158/text,Вас обрано на життєво важливу роль: [color=DARK_ORANGE]Офіцер прикордонної митниці[/color].
Text/159/text,Іммігруючі картоплини шикуватимуться біля вашого офісу тут.
Text/15a/text,"Щоб почати обробляти картоплини, вам потрібно відкрити свою кабіну для обслуговування за допомогою цього перемикача."
Text/15b/text,"Ви будете сигналізувати кожній картоплині підійти до вашого офісу, натиснувши на мегафон."
Text/15c/text,Картоплини заходитимуть до кабіни по черзі і пред'являтимуть свої документи.
Text/15d/text,Спершу перемістіть їхні документи на стіл для перевірки для кращого огляду.
Text/15e/text,"Потім шукайте [tornado radius=3 freq=2][color=YELLOW]прострочені дати, неправильну інформацію або ознаки підробки[/color][/tornado]."
Text/15f/text,"На вашому столі є штампи для позначення документів, ви можете натиснути тут, щоб висунути панель зі штампами."
Text/160/text,Потім помістіть документ під потрібний штамп...
Text/161/text,"Натисніть на штамп, щоб позначити документи як [color=CHARTREUSE]схвалені[/color] або [color=CRIMSON]відхилені[/color]..."
Text/162/text,"І перетягніть документ назад до картоплини, щоб остаточно прийняти рішення!"
Text/163/text,Іноді картоплини намагатимуться [color=CRIMSON]прорватися повз ваш контрольно-пропускний пункт[/color].
Text/164/text,"У вашій кабіні є прямий зв'язок, який дозволяє вам керувати [pulse freq=3][color=CRIMSON]ракетними установками[/color][/pulse] уздовж прикордонної стіни."
Text/165/text,"Натисніть на цих ""втікачів"", щоб запустити ракету і зупинити їх."
Text/166/text,"Пам'ятайте, кожен втікач, що прорветься, буде зарахований як [wave amp=20 freq=3][color=CRIMSON]страйк проти вас[/color][/wave]."
Text/167/text,"Забагато страйків, і ваша зміна закінчиться... [tornado radius=3 freq=3][color=CRIMSON]назавжди.[/color][/tornado]"
Text/168/text,"Кожна зміна має [color=DARK_ORANGE]квоту картоплин[/color], які вам потрібно обробити, щоб завершити свій день."
Text/169/text,Ваш рахунок відстежує вашу продуктивність порівняно з вашими колегами-офіцерами на цьому контрольно-пропускному пункті та офіцерами у віддалених митних установах.
Text/16a/text,"Після кожної зміни ви побачите підсумок своєї продуктивності, і чи виконали ви свій обов'язок успішно, чи провалили його."
Text/16b/text,"Ви побачите детальний аналіз того, як ви впоралися з втікачами, і скільки документів ви обробили."
Text/16c/text,"А також будь-які бонуси, які ви заробили за швидку обробку документів, ідеальне вирівнювання штампів або ідеальне влучання по картоплинах-втікачах."
Text/16d/text,"Ви також отримаєте оцінку продуктивності залежно від того, наскільки добре ви обробляли картоплини під час вашої зміни, та до 3 золотих штампів, якщо ви перевершите очікування."
Text/16e/text,"Тут ви можете подати свій рахунок за кожну зміну до глобальної бази даних митних офіцерів і побачити, як ви порівнюєтеся з найелітнішими митними офіцерами по всьому світу."
Text/16f/text,"Якщо ваша зміна була успішною, ви зможете перейти далі, натиснувши ""Продовжити"" і розпочавши наступну зміну."
Text/170/text,"Ваша робота проста. Картопля прибуває до вашої будки, ви перевіряєте її документи і вирішуєте, хто проходить."
Text/171/text,"Я проведу вас через основи [color=YELLOW]крок за кроком[/color]. Дотримуйтесь підказок, і ви зрозумієте, як це робити."
Text/172/text,Безпека та захист Спуду залежить від вашої [pulse freq=2][color=DARK_ORANGE]пильності![/color][/pulse]
Text/174/text,Розпочнімо вашу [color=YELLOW]тренувальну зміну[/color]...
Text/180/text,Але будьте обережні – не кожна картопля має документи в порядку.
Text/181/text,[color=RED]Прострочені паспорти[/color] є автоматичною відмовою. Жодних винятків.
Text/tut_001/text,Ласкаво просимо до [pulse freq=2][color=MEDIUM_VIOLET_RED]Митниці Картопляндії![/color][/pulse]
Text/tut_002/text,Вас обрано на життєво важливу роль: [color=DARK_ORANGE]Прикордонний митник[/color].
Text/tut_003/text,"Ваша робота проста. Картоплини прибувають до вашої будки, ви перевіряєте їхні документи та вирішуєте, хто пройде."
Text/tut_004/text,Але будьте обережні – не кожна картоплина має документи в порядку.
Text/tut_005/text,[color=RED]Прострочені паспорти[/color] є автоматичною відмовою. Жодних винятків.
Text/tut_006/text,"Я проведу вас основами [color=YELLOW]крок за кроком[/color]. Дотримуйтесь підказок, і ви все зрозумієте."
Text/tut_007/text,"[pulse freq=2][color=RED]Ще одне![/color][/pulse] Деякі картоплини спробують [color=CRIMSON]втекти[/color], коли зрозуміють, що їхні документи не пройдуть перевірку."
Text/tut_008/text,"Коли [color=RED]прикордонний втікач[/color] спробує втекти, ви побачите, як він мчить повз вашу будку до кордону."
Text/tut_009/text,Ось тут і знадобиться ваша [color=CHARTREUSE]Пневматична ракетна установка[/color]. Це велика кнопка на вашій панелі керування.
Text/tut_010/text,"[color=YELLOW]Натисніть, щоб вистрілити[/color], коли втікач буде в зоні досяжності. Цільтеся в [color=GOLD]центр цільової зони[/color] для бонусних очок!"
Text/tut_011/text,Але будьте обережні – [color=RED]не влучайте в невинних картоплин[/color] у черзі. Це коштуватиме вам очок і принесе страйк!
Text/tut_012/text,Безпека та захист Картопляндії залежать від вашої [pulse freq=2][color=DARK_ORANGE]пильності![/color][/pulse]
Text/tut_013/text,Почнемо вашу [color=YELLOW]тренувальну зміну[/color]...
