keys,nl
Character/173/name,Radioomroeper
Character/174/name,Mede-officier
Character/175/name,Verteller
Character/176/name,Stille Aardappel
Character/177/name,Bezorgde Aardappel
Character/178/name,Oude Aardappel
Character/179/name,Jij
Character/17a/name,Premier Idaho
Character/17b/name,Verzetleider
Character/17c/name,Wantrouwend Verzetsllid
Character/17d/name,Brutaal Verzetsllid
Character/17e/name,Veiligheidschef
Character/17f/name,Veiligheidsbeambte
Character/180/name,Piet Stampot
Character/181/name,Opzichter Russet
Character/181/nicknames,"Russ,Russet,Opzichter Russet"
Character/182/name,Zoete Aardappel Sasha
Character/183/name,Nerveuze Reiziger
Character/183/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
Character/184/name,Viktor
