keys,ar
alert_border_runner,تم رصد متجاوز للحدود!\nانقر لإطلاق الصاروخ!
alert_rejected_fleeing,بطاطا مرفوضة تفرّ!\nانقر لإطلاق الصاروخ!
alert_runner_escaped,هرب المتجاوز!\nتمت إضافة مخالفة!
citation_runner_escaped,هرب متجاوز للحدود! لقد فشلت في اعتراضه في الوقت المناسب.
alert_points_deducted,هرب المتجاوز!\nتمت إضافة مخالفة!\n-{penalty} نقطة!
alert_perfect_hit,إصابة مثالية! +{perfect} نقاط مكافأة دقة
alert_perfect_stamp,ختم مثالي! +{points} نقطة!
alert_combo,سلسلة x{mult}! +{streak} نقاط مكافأة السلسلة
alert_quota_met,تم تحقيق الحصة، انتهى الدوام! \nمكافأة: {bonus} نقطة!
alert_strike_removed,تمت إزالة مخالفة!
alert_correct_decision,لقد اتخذت القرار الصحيح، أيها الضابط.\n+{points} نقطة!
alert_wrong_decision,لقد تسببت في معاناة غير ضرورية، أيها الضابط...\n+1 مخالفة!
alert_potato_should_be_approved,\nهذه البطاطا تستوفي جميع المتطلبات وكان يجب الموافقة عليها.
incorrect_decision,قرار خاطئ في معالجة الوثائق.
alert_strike_out,تم تجاوز الحد الأقصى للمخالفات! انتهى دوامك.
ui_score,النقاط: {score}
ui_quota,الحصة: {current} / {target}
ui_strikes,المخالفات: {current} / {max}
ui_click_megaphone,انقر على مكبر الصوت لاستدعاء البطاطا التالية
ui_drag_document,اسحب الوثيقة إلى طاولة الفحص
ui_stamp_document,اختر ختمًا للموافقة أو الرفض
ui_check_violations,تحقق من وجود مخالفات في الوثيقة
Strike removed!,تمت إزالة مخالفة!
BORDER RUNNER DETECTED!\nClick to launch missile!,تم رصد متجاوز للحدود!\nانقر لإطلاق الصاروخ!
REJECTED POTATO FLEEING!\nClick to launch missile!,بطاطا مرفوضة تفرّ!\nانقر لإطلاق الصاروخ!
RUNNER ESCAPED!\nStrike added!,هرب المتجاوز!\nتمت إضافة مخالفة!
Click megaphone to call the next potato,انقر على مكبر الصوت لاستدعاء البطاطا التالية
Drag document to inspection table,اسحب الوثيقة إلى طاولة الفحص
Select a stamp to approve or reject,اختر ختمًا للموافقة أو الرفض
Check for document violations,تحقق من وجود مخالفات في الوثيقة
rule_explanation_header,شرح القاعدة:
rule_explanation_fresh,"انظر إلى حقل ""الحالة"". إذا كان مكتوبًا فيه أي شيء غير ""طازج"" - ارفض"
rule_explanation_sweet_potato,"انظر إلى حقل ""النوع"". إذا كان مكتوبًا فيه ""بطاطا حلوة"" - ارفض (لا توجد تصاريح)"
rule_explanation_chip_hill,"انظر إلى حقل ""البلد"". إذا كان مكتوبًا فيه ""تشيب هيل"" - ارفض (محظور)"
rule_explanation_age,"انظر إلى حقل ""تاريخ الميلاد"". احسب العمر وتحقق من مطابقته للقاعدة"
