keys,en
violation_condition_not_fresh,REJECT: Only Fresh potatoes allowed. This potato is {condition}
violation_extra_eyes,REJECT: Extra Eyes condition is prohibited
violation_rotten,REJECT: Rotten potatoes are prohibited
violation_sprouted,REJECT: Sprouted potatoes are prohibited
violation_dehydrated,REJECT: Dehydrated potatoes are prohibited
violation_frozen,REJECT: Frozen potatoes are prohibited
violation_too_old,REJECT: Potato is {age} years old (maximum age: 4 years)
violation_too_young_3,REJECT: Potato is {age} years old (minimum age: 4 years)
violation_too_young_2,REJECT: Potato is {age} years old (minimum age: 3 years)
violation_males_only,REJECT: Only Male potatoes allowed
violation_females_only,REJECT: Only Female potatoes allowed
violation_country_spudland,REJECT: All Spudland potatoes are banned
violation_country_potatopia,REJECT: All Potatopia potatoes are banned
violation_country_tuberstan,REJECT: All Tuberstan potatoes are banned
violation_country_north_yamnea,REJECT: All North Yamnea potatoes are banned
violation_country_spuddington,REJECT: All Spuddington potatoes are banned
violation_country_tatcross,REJECT: All Tatcross potatoes are banned
violation_country_mash_meadows,REJECT: All Mash Meadows potatoes are banned
violation_country_tuberville,REJECT: All Tuberville potatoes are banned
violation_country_chip_hill,REJECT: All Chip Hill potatoes are banned (export restrictions)
violation_country_murphyland,REJECT: All Murphyland potatoes are banned
violation_country_colcannon,REJECT: All Colcannon potatoes are banned
violation_country_pratie_point,REJECT: All Pratie Point potatoes are banned
violation_race_purple_majesty,REJECT: Purple Majesty types are prohibited
violation_race_sweet_potato,REJECT: Sweet Potato types require special permits (not available)
violation_race_yukon_gold,REJECT: Yukon Gold types are prohibited
violation_expired_document,REJECT: Document expired on {date}
violation_invalid_potato,This potato meets all requirements and should have been approved
