keys,it
sex_male,Maschio
sex_female,Femmina
condition_fresh,Fresco
condition_extra_eyes,Occhi extra
condition_rotten,Marcio
condition_sprouted,Germogliato
condition_dehydrated,Disidratato
condition_frozen,Congelato
race_russet,Russet
race_yukon_gold,Yukon Gold
race_sweet_potato,Patata Dolce
race_purple_majesty,Purple Majesty
country_spudland,Spudlandia
country_potatopia,Patatopia
country_tuberstan,Tuberstan
country_north_yamnea,Yamnea del Nord
country_spuddington,Spuddington
country_tatcross,Tatcross
country_mash_meadows,Prati del Purè
country_tuberville,Tuberville
country_chip_hill,Collina delle Patatine
country_murphyland,Murphylandia
country_colcannon,Colcannon
country_pratie_point,Punta Pratie
