keys,el
sex_male,Άρρεν
sex_female,Θήλυ
condition_fresh,Φρέσκο
condition_extra_eyes,Επιπλέον Μάτια
condition_rotten,Σάπιο
condition_sprouted,Βλαστημένο
condition_dehydrated,Αφυδατωμένο
condition_frozen,Παγωμένο
race_russet,Ράσετ
race_yukon_gold,Γιούκον Γκολντ
race_sweet_potato,Γλυκοπατάτα
race_purple_majesty,Πορφυρή Μεγαλειότητα
country_spudland,Σπάντλαντ
country_potatopia,Πατατοπία
country_tuberstan,Τούμπερσταν
country_north_yamnea,Βόρεια Γιαμνέα
country_spuddington,Σπάντινγκτον
country_tatcross,Τατκρος
country_mash_meadows,Μας Μέντοους
country_tuberville,Τούμπερβιλ
country_chip_hill,Τσιπ Χιλ
country_murphyland,Μέρφιλαντ
country_colcannon,Κόλκανον
country_pratie_point,Πράτι Πόιντ
