keys,zh-TW
Character/173/name,廣播員
Character/174/name,墨菲
Character/175/name,旁白
Character/176/name,安靜的馬鈴薯
Character/177/name,擔憂的馬鈴薯
Character/178/name,古老的馬鈴薯
Character/179/name,You
Character/17a/name,愛達荷總理
Character/17b/name,反抗軍領袖
Character/17c/name,不信任的反抗軍成員
Character/17d/name,大膽的反抗軍成員
Character/17e/name,安全主管
Character/17f/name,安全官
Character/180/name,薯泥森
Character/181/name,督導褐皮
Character/181/nicknames,"拉斯,褐皮,督導褐皮"
Character/182/name,甜薯莎夏
Character/183/name,緊張的旅客
Character/184/name,維克托
Character/183/nicknames,
Character/184/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
