keys,ru
Text/265/text,Смена заканчивается в тревожной тишине. Патрули безопасности удвоились. Все передвигаются шепотом.
Text/266/text,"Вы направляетесь в свои ква́ртеры, когда слышите это — [color=YELLOW]крики из офицерского крыла[/color]."
Text/267/text,"Вы заворачиваете за угол и видите, как силы безопасности [pulse freq=3][color=RED]выбивают дверь Саши[/color][/pulse]."
Text/268/text,Голос Шефа Юкона гремит. СЛАДКАЯ КАРТОШКА САША! Вы арестованы за [color=CRIMSON]измену нации Спад![/color]
Text/269/text,"Сашу вытаскивают, она сопротивляется. Ее глаза полны вызова, даже когда охранники заламывают ей руки за спину."
Text/26a/text,[tornado radius=4 freq=3][color=CHARTREUSE]ПРАВДА ВЫЙДЕТ НАРУЖУ! ВЫ НЕ СМОЖЕТЕ ЗАМОЛЧАТЬ НАС ВСЕХ![/color][/tornado]
Text/26b/text,Ее взгляд находит вас в толпе зевак. Время словно замирает.
Text/26c/text,Узнавание... затем [color=CRIMSON]сокрушительное понимание[/color]. Вы выдали ее местоположение. Она знает.
Text/26d/text,Она не говорит. Одного взгляда достаточно. [color=STEEL_BLUE]Разочарование глубже ненависти.[/color]
Text/26e/text,Вспышка чего-то — [color=CHARTREUSE]надежды? доверия?[/color] — промелькнула на ее лице.
Text/26f/text,"Ее губы беззвучно шевелятся: ""[color=CHARTREUSE]Корни уходят глубоко.[/color]"" Сообщение. Напоминание."
Text/270/text,"Рассет выходит из теней, удовлетворение сочится из каждой поры."
Text/271/text,"Ну-ну. [color=CRIMSON]Сладкая картошка прокисла[/color]. Я всегда знал, что в тебе что-то гнилое, Саша."
Text/272/text,"Рассет поднимает папку. Ваши маленькие [color=DARK_VIOLET]манифесты[/color]. Ваши ""доказательства"". Все изъято."
Text/273/text,"Вы действительно думали, что сможете подорвать [pulse freq=2][color=DARK_VIOLET]Корневой Резерв[/color][/pulse]? Подорвать МЕНЯ?"
Text/274/text,"Копии уже разошлись, Рассет. Мир узнает, что вы делаете с нашим народом!"
Text/275/text,"Рассет холодно смеется. Они узнают то, что мы им скажем. А вы? Вы станете частью [color=CRIMSON]особой партии[/color]."
Text/276/text,"""[color=DARK_VIOLET]Смесь Предателя[/color]"" — по-моему, звучит неплохо."
Text/277/text,"Ваше сердце колотится. Каждый инстинкт кричит, чтобы что-то сделать. Но охранники повсюду."
Choice/278/text,Выйти вперед и потребовать ее освобождения (Безрассудно)
Choice/279/text,"Остаться в тени — жить, чтобы бороться в другой раз (Прагматично)"
Choice/27a/text,Поймать взгляд Саши и кивнуть — обещание (Решимость)
Text/27b/text,"Вы проталкиваетесь сквозь толпу. ""[color=CHARTREUSE]Постойте! Она ничего плохого не сделала![/color]"""
Text/27c/text,"Голова Юкона резко поворачивается к вам. ""[color=RED]Схватить и этого![/color] Явно сообщник!"""
Text/27d/text,"Мерфи хватает вас, оттаскивая назад. ""[color=STEEL_BLUE]Они растеряны в хаосе! БЕГИ![/color]"""
Text/27e/text,"Мерфи толкает тебя в боковой коридор, пока охранники окружают твою позицию."
Text/27f/text,"Охранники хватают тебя. У Рассета улыбка расширяется. ""[color=CRIMSON]Два предателя по цене одного.[/color]"""
Text/280/text,"Ты вжимаешься в тени, ненавидя себя каждой клеточкой. [color=STEEL_BLUE]Трус.[/color]"
Text/281/text,Но жив. И свободен. Пока что.
Text/282/text,"Ты ловишь взгляд Саши. Медленный, обдуманный кивок. [color=CHARTREUSE]Я приду за тобой.[/color]"
Text/283/text,"Она видит. Едва заметная улыбка. Затем ее тащат за угол, и она исчезает."
Text/284/text,"Он находит тебя в хаосе. Его лицо — маска, но глаза горят."
Text/285/text,Ее забрали в [color=CRIMSON]крыло обработки[/color]. Подуровень 3. Туда же забрали мою жену.
Text/286/text,Он вкладывает что-то тебе в руку — [color=GOLD]ключ-карту безопасности[/color].
Text/287/text,Когда придет время... [color=CHARTREUSE]Я закрою глаза[/color]. Ради моей жены. Ради всех них.
Text/288/text,"Мерфи затаскивает тебя в кладовку, тяжело дыша."
Text/289/text,Вот оно. Это [color=CRIMSON]действительно происходит[/color]. Они схватили Сашу. Они обработают ее к утру.
Text/28a/text,"Это было [color=STEEL_BLUE]глупо[/color]. Храбро, но глупо. Ты теперь в их списке."
Text/28b/text,Сопротивление что-то планирует. Завтра. Это наш единственный шанс спасти ее.
Text/28c/text,Ты в деле? [color=CHARTREUSE]До конца?[/color]
Choice/28d/text,"До конца. Что бы ни потребовалось, чтобы спасти Сашу."
Choice/28e/text,Мне нужно подумать. Это происходит слишком быстро.
Text/28f/text,Мерфи сжимает твое плечо. [color=CHARTREUSE]Тогда мы выступаем на рассвете. Корни глубоки.[/color]
Text/290/text,Лицо Мерфи каменеет. Думай быстро. К этому времени завтра она будет [color=DARK_VIOLET]Корневым Запасом[/color].
Text/291/text,"Ты лежишь без сна, уставившись в потолок. Лицо Саши. Ее неповиновение. Ее страх."
Text/292/text,"Ты достаешь фотографию пропавшей жены. Еще одно лицо, которое ты не смог спасти."
Text/293/text,[color=CHARTREUSE]Не в этот раз.[/color]
Text/294/text,К завтрашнему дню все изменится. Так или иначе.
Text/295/text,[pulse freq=2][color=YELLOW]Хватит стоять в стороне.[/color][/pulse]
Text/296/text,"Камера холодна. Сквозь стены ты слышишь, как Сашу где-то ""допрашивают""."
Text/297/text,"Завтра, сказали они. Вас обоих [color=DARK_VIOLET]обработают[/color] вместе."
Text/298/text,Если только не придет сопротивление. Если только кто-нибудь не спасет вас обоих.
Text/299/text,[color=STEEL_BLUE]Самая долгая ночь в вашей жизни простирается впереди.[/color]
Choice/278/disabled_text,
Choice/279/disabled_text,
Choice/27a/disabled_text,
Choice/28d/disabled_text,
Choice/28e/disabled_text,
