keys,de
Character/173/name,Radiosprecher
Character/174/name,Mitoffizier
Character/175/name,Erzähler
Character/176/name,Stille Kartoffel
Character/177/name,Besorgte Kartoffel
Character/178/name,Uralte Kartoffel
Character/179/name,Du
Character/17a/name,Premierminister Idaho
Character/17b/name,Widerstandsführer
Character/17c/name,Misstrauisches Widerstandsmitglied
Character/17d/name,Dreistes Widerstandsmitglied
Character/17e/name,Sicherheitschef
Character/17f/name,Sicherheitsbeamter
Character/180/name,Karl Stampf
Character/181/name,Aufseher Russet
Character/181/nicknames,"Russ,Russet,Aufseher Russet"
Character/182/name,Süßkartoffel Sasha
Character/183/name,Nervöser Reisender
Character/183/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
