keys,pt
Text/3a/text,"O posto de controle foi reconstruído após o ataque da resistência. A segurança é sem precedentes, com transmissões de propaganda elogiando os ""bravos defensores""."
Text/3b/text,Fui promovido a Diretor Regional de Segurança Fronteiriça e [pulse freq=2]Distribuição de Reserva Raiz[/pulse].
Text/3c/text,Russet prende uma pequena medalha no seu uniforme. Diretor Regional Assistente... pela sua lealdade inabalável a Spud.
Text/3d/text,Tenho uma missão especial! O Primeiro-Ministro Idaho inspecionará nossa instalação hoje. Você foi selecionado para a demonstração.
Text/3e/text,Já viu o novo lote da Reserva Raiz? Estão chamando de 'Mistura de Resistência' depois do que aconteceu com os cativos.
Text/3f/text,Alguns dizem que a resistência não estava completamente errada. Que há [wave amp=15 freq=3]evidências de que eles estavam dizendo a verdade[/wave]...
Choice/40/text,Tenha cuidado. Até falar assim agora é perigoso. (Cauteloso)
Choice/41/text,Tive os mesmos pensamentos. Isso não parece certo. (Compassivo)
Text/42/text,Nem todos acreditam mais na história oficial. Mantenha os olhos abertos durante a visita do Primeiro-Ministro.
Text/43/text,"Uma nova resistência está se formando. Mais silenciosa, mais cautelosa. Se quiser saber mais... procure o emblema da batata amarela."
Text/44/text,ATENÇÃO: O comboio do Primeiro-Ministro Idaho chegou. Todos os oficiais para as estações designadas. Protocolos de inspeção em vigor.
Text/45/text,Sua medalha parece pesada - uma recompensa pela lealdade ou uma marca de vergonha? Logo você enfrentará o arquiteto da Reserva Raiz.
Text/46/text,"Após a transmissão expondo a Reserva Raiz, rebeliões eclodiram por todo Spud. O Primeiro-Ministro Idaho permanece entrincheirado no edifício administrativo."
Text/47/text,"Idaho planeja uma última transmissão para culpar a Reserva Raiz por nós. Não podemos deixá-lo reescrever a história. Hoje, acabaremos com seu regime."
Text/48/text,Você salvou minha vida na planta de processamento. Agora temos a chance de salvar todo Spud.
Text/49/text,Seu conhecimento dos protocolos de segurança será crucial para a missão final. Está pronto?
Choice/4a/text,Estou pronto. Vamos terminar o que começamos.
Choice/4b/text,Qual é exatamente o plano? Preciso de detalhes.
Text/4c/text,Eu sabia que você não recuaria. Você é um dos nossos [tornado radius=3 freq=2]aliados mais fortes[/tornado].
Text/4d/text,Vamos infiltrar usando uniformes governamentais. Você ajudará a contornar os sistemas de segurança. Nosso objetivo é capturar Idaho e forçar uma confissão pública.
Text/4e/text,"Você estará na Equipe Alfa com Sasha, penetrando a entrada leste. Seu objetivo: [color=GREEN]garantir o centro de transmissão[/color]."
Text/4f/text,"De oficial de alfândega leal a lutador da resistência? Uma transformação que você nunca imaginou. Seja o que for que aconteça, Spud nunca mais será o mesmo."
Choice/4a/disabled_text,
Choice/4b/disabled_text,
Choice/41/disabled_text,
Choice/40/disabled_text,
