keys,bg
Text/299_suppress1/text,"Хаос избухва, докато атаката на съпротивата започва. Експлозии разтърсват пропускателния пункт."
Text/299_suppress2/text,"Можеше да избягаш. Можеше да се скриеш. Вместо това, ти [color=DARK_ORANGE]избираш своята страна[/color]."
Text/299_suppress3/text,Ръсет те хваща за ръката. [pulse freq=2][color=YELLOW]СЕГА Е ТВОЯТ ШАНС![/color][/pulse] Докажи своята лоялност!
Text/299_suppress4/text,Съпротивата се опитва да пробие източната порта! [color=CRIMSON]Спрете ги![/color]
Text/299_suppress5/text,"Стискаш оръжието си. Това може да са хора, които познаваш. Хора, на които си помогнал."
Text/299_suppress6/text,Но оцеляването си има цена. [color=DARK_ORANGE]Направил си своя избор.[/color]
Text/299_suppress7/text,[pulse freq=3][color=CRIMSON]Бий се за държавата![/color][/pulse] Потуши атаката на съпротивата!
Text/299_suppress8/text,"Когато димът се разсее, тела осеят земята. Някои носят значки на съпротивата."
Text/299_suppress9/text,[color=STEEL_BLUE]Разпознаваш лица сред падналите.[/color]
Text/299_suppress10/text,Мърфи лежи сред мъртвите. Очите му гледат в нищото. Снимката на Томи е стисната в ръката му.
Text/299_suppress11/text,"[color=STEEL_BLUE]Той умря, борейки се за нещо, в което вярваше. Ти помогна да го убиеш.[/color]"
Text/300/text,"Атаката на съпротивата се провали. Пропускателният пункт стои, по-силен от всякога. И ти оставаш на поста си."
Text/301/text,[pulse freq=2][color=GOLD]ДА ЖИВЕЕ ПРЕМИЕР ИДАХО![/color][/pulse] Защитник на Спъд! Победител на предателите!
Text/302/text,"Масивен картоф в пищни одежди слиза от бронирано превозно средство, фланкиран от елитни гвардейци."
Text/303/text,"Айдахо оглежда пропускателния пункт със студени, пресметливи очи."
Text/304/text,"Ръсет бърза напред, покланяйки се дълбоко. Министър-председателю! Почетени сме от Вашето присъствие!"
Text/305/text,"Предателите са [color=DARK_VIOLET]обработени[/color], както наредихте. Производството е нараснало с 40% този квартал!"
Text/306/text,"И това ли е офицерът, който остана лоялен по време на въстанието?"
Text/307/text,"Да, Министър-председателю. Непоколебима отдаденост. Докладва подозрителни дейности. Примерен гражданин."
Text/308/text,"Айдахо пристъпва напред, закачайки медал на гърдите ти - [color=GOLD]Златният Клубен[/color]."
Text/309/text,"За изключителна служба. Доказа, че [color=DARK_ORANGE]лоялността към Спъд[/color] винаги ще бъде възнаградена."
Choice/30a/text,"Благодаря, Министър-председателю. Слава на Спъд."
Choice/30b/text,"Аз просто си изпълних дълга, сър. (Насилствена усмивка)"
Text/30c/text,Усмивката на Айдахо не достига очите му. Да. Определено го направи.
Text/30d/text,Айдахо те изучава дълго. Дълг. [color=STEEL_BLUE]Толкова проста дума за толкова сложни действия.[/color]
Text/30e/text,"Чудя се какви [color=CRIMSON]кошмари[/color] спохождат онези, които изпълняват ""дълга"" си толкова добре."
Text/30f/text,"В чест на победата е вдигнат пир. Масите пъшкат под тежестта на храната, включително щедри порции от [color=DARK_VIOLET]Коренов Резерв[/color]."
Text/310/text,"Ръсет вдига чаша с гъста, лилава течност. Наздраве! За [color=CRIMSON]предателите, които ни хранят[/color]!"
Text/311/text,Стаята се смее. Някои нервно. Повечето искрено.
Text/312/text,"Той плъзга чиния към теб. Опитай новата партида. [color=DARK_VIOLET]""Смес на Съпротивата.""[/color] Приносът на Саша за бъдещето на Спъд."
Text/313/text,Стомахът ти се свива. Храната в чинията. [color=CRIMSON]Саша.[/color] Братовчедката на Мърфи. Жената от снимката.
Text/314/text,[tornado radius=3 freq=2][color=CRIMSON]Всички те.[/color][/tornado]
Choice/315/text,Принуди се да ядеш – запази прикритието си
Choice/316/text,Отблъсни чинията – не можеш да го направиш
Text/317/text,Вдигаш вилицата към устните си. Затваряш очи. [color=STEEL_BLUE]Дъвчи. Гълтай. Не мисли.[/color]
Text/318/text,"Ръсет кима одобрително. ""Добре. [color=DARK_ORANGE]Ще стигнеш далеч.[/color]"""
Text/319/text,"Отблъскваш чинията. ""Не се чувствам добре. Вълнението от деня..."""
Text/31a/text,"Очите на Ръсет се присвиват за кратко, после омекват. Разбира се. Такава [color=YELLOW]чувствителна натура[/color]."
