keys,ro
Text/265/text,Tura se încheie într-o tăcere neliniștită. Patrulele de securitate s-au dublat. Toată lumea se mișcă în șoaptă.
Text/266/text,Te îndrepți spre cartierul tău când auzi – [color=YELLOW]strigăte din aripa ofițerilor[/color].
Text/267/text,Coti colțul și vezi forțele de securitate [pulse freq=3][color=RED]spărgând ușa Sashei[/color][/pulse].
Text/268/text,Vocea șefului Yukon răsună. CARTOF DULCE SASHA! Ești arestată pentru [color=CRIMSON]trădare împotriva națiunii Spud![/color]
Text/269/text,"Sasha este târâtă afară, zbatându-se. Ochii ei sunt sfidători chiar și în timp ce gardienii îi smulg brațele la spate."
Text/26a/text,[tornado radius=4 freq=3][color=CHARTREUSE]ADEVĂRUL VA IEȘI LA IVEALĂ! NU NE PUTEȚI REDUCE PE TOȚI LA TĂCERE![/color][/tornado]
Text/26b/text,Privirea ei te găsește în mulțimea de privitori. Timpul pare să înghețe.
Text/26c/text,Recunoaștere... apoi [color=CRIMSON]o înțelegere devastatoare[/color]. I-ai trădat locația. Ea știe.
Text/26d/text,Nu vorbește. Privirea e de ajuns. [color=STEEL_BLUE]Dezamăgire mai profundă decât ura.[/color]
Text/26e/text,O licărire de ceva – [color=CHARTREUSE]speranță? încredere?[/color] – îi traversează fața.
Text/26f/text,"Buzele ei se mișcă în tăcere: ""[color=CHARTREUSE]Rădăcinile cresc adânc.[/color]"" Un mesaj. O amintire."
Text/270/text,"Russet iese din umbră, satisfacția revărsându-se din fiecare por."
Text/271/text,"Ei bine, ei bine. [color=CRIMSON]Cartoful dulce se acrește[/color]. Am știut mereu că e ceva putred la tine, Sasha."
Text/272/text,"Russet ridică un dosar. Micile tale [color=DARK_VIOLET]manifeste[/color]. ""Dovezile"" tale. Toate recuperate."
Text/273/text,Chiar ai crezut că poți submina [pulse freq=2][color=DARK_VIOLET]Rezerva de Rădăcini[/color][/pulse]? Să mă subminezi PE MINE?
Text/274/text,"Copii sunt deja acolo, Russet. Lumea va ști ce le faci oamenilor noștri!"
Text/275/text,Russet râde rece. Vor ști ce le spunem noi. Și tu? Vei face parte dintr-un [color=CRIMSON]lot foarte special[/color].
Text/276/text,"""[color=DARK_VIOLET]Amestecul Trădătorului[/color]"" – Cred că sună bine."
Text/277/text,Inima îți bate cu putere. Fiecare instinct îți strigă să faci ceva. Dar gardienii sunt peste tot.
Choice/278/text,Pășește înainte și cere să o elibereze (Nesăbuit)
