keys,sk
patch_1_2_0_title,SPUD CUSTOMS 1.2.0 - POZNÁMKY K AKTUALIZÁCII
patch_1_2_0_personal_note_header,OSOBNÝ ODKAZ OD VÝVOJÁRA
patch_1_2_0_personal_note,"Táto aktualizácia je venovaná môjmu maličkému, ktoré strávilo prvé mesiace života na JIS – z 1 libry pri narodení na terajších 20 libier čistej radosti. Ďakujem všetkým, ktorí sa pripojili k tejto ceste – už viac ako 2 000 hráčov zažilo Spud Customs!"
patch_1_2_0_visual_header,VIZUÁLNE VYLEPŠENIA
patch_1_2_0_visual_1,Integrácia animovanej grafiky: Zakomponované nové animované GIFy od StagNation do úvodných scén
patch_1_2_0_visual_2,"Prepracovanie grafiky: Prekreslených prvých päť scén, ktoré hráči vidia, pre zlepšenie vizuálnej kvality"
patch_1_2_0_visual_3,Dynamické pozadia: Vizuály pozadia sa teraz menia so zvyšujúcou sa obtiažnosťou
patch_1_2_0_story_header,PRÍBEH A ROZPRÁVANIE
patch_1_2_0_story_1,Zachovanie volieb: Príbehové voľby sa teraz správne prenášajú cez všetky úrovne
patch_1_2_0_story_2,Vizuálny progres: Pridané vizuálne indikátory postupu príbehu v hlavných herných scénach na základe aktuálneho čísla smeny
patch_1_2_0_story_3,Opravy rozvetveného dialógu: Opravené problémy s rozvetveným dialógom v záverečných príbehových scénach
patch_1_2_0_bugfix_header,OPRAVY CHÝB
patch_1_2_0_bugfix_1,Systém úspechov: Opravené sledovanie úspechov – všetky úspechy sa teraz odomykajú správne
patch_1_2_0_bugfix_2,"Rebríček: Opravený problém, kedy sa rebríček zasekol pri načítavaní"
patch_1_2_0_bugfix_3,Trasenie obrazovky: Trasenie obrazovky sa teraz po každom použití správne resetuje do pôvodného stavu
patch_1_2_0_bugfix_4,Škálovanie obtiažnosti: Opravený faktor škálovania pre jednoduchý režim
patch_1_2_0_bugfix_5,Zobrazenie pozadia: Opravené chýbajúce pozadia počas dialógových scén
patch_1_2_0_bugfix_6,Čitateľnosť textu: Vylepšené sfarbenie textu pre lepšiu čitateľnosť
patch_1_2_0_engagement_header,ZAPOJENIE HRÁČOV
patch_1_2_0_engagement_1,Výzvy na recenziu: Pridané výzvy na recenziu pre hráčov dema a plnej hry
patch_1_2_0_engagement_2,Opravy prekladov: Rôzne vylepšenia prekladov vo všetkých podporovaných jazykoch
patch_1_2_0_technical_header,TECHNICKÉ VYLEPŠENIA
patch_1_2_0_technical_1,Rozšírená jazyková podpora: Teraz podporuje všetkých 31 jazykov podporovaných službou Steam
patch_1_2_0_technical_2,Prepracovanie prekladového systému: Preorganizované prekladové súbory pre lepšiu udržiavateľnosť
