keys,ru
sex_male,Мужской
sex_female,Женский
condition_fresh,Свежий
condition_extra_eyes,Дополнительные глазки
condition_rotten,Гнилой
condition_sprouted,Проросший
condition_dehydrated,Обезвоженный
condition_frozen,Замороженный
race_russet,Рассет
race_yukon_gold,Юкон Голд
race_sweet_potato,Батат
race_purple_majesty,Пурпурное Величество
country_spudland,Картофелия
country_potatopia,Потатопия
country_tuberstan,Туберстан
country_north_yamnea,Северная Ямния
country_spuddington,Спаддингтон
country_tatcross,Таткросс
country_mash_meadows,Пюревые Луга
country_tuberville,Тубервиль
country_chip_hill,Чип-Хилл
country_murphyland,Мёрфиленд
country_colcannon,Колканнон
country_pratie_point,Прати-Пойнт
